"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Dec 2019 17:33:00.533,1 Dec 2019 17:38:17.569,317.035
2,1 Dec 2019 19:06:06.597,1 Dec 2019 19:16:43.174,636.578
3,1 Dec 2019 20:43:02.265,1 Dec 2019 20:53:06.078,603.813
4,1 Dec 2019 22:21:25.671,1 Dec 2019 22:29:44.173,498.502
5,1 Dec 2019 23:59:01.760,2 Dec 2019 00:07:45.850,524.090
6,2 Dec 2019 01:35:25.916,2 Dec 2019 01:45:56.966,631.051
7,2 Dec 2019 03:12:02.037,2 Dec 2019 03:22:06.926,604.888
8,2 Dec 2019 18:14:34.754,2 Dec 2019 18:24:37.073,602.320
9,2 Dec 2019 19:50:43.672,2 Dec 2019 20:01:13.611,629.938
10,2 Dec 2019 21:28:54.124,2 Dec 2019 21:37:37.828,523.704
11,2 Dec 2019 23:06:55.520,2 Dec 2019 23:15:13.985,498.465
12,3 Dec 2019 00:43:33.417,3 Dec 2019 00:53:37.828,604.410
13,3 Dec 2019 02:19:55.905,3 Dec 2019 02:30:34.281,638.375
14,3 Dec 2019 03:58:19.099,3 Dec 2019 04:03:43.034,323.935
15,3 Dec 2019 17:23:24.109,3 Dec 2019 17:32:16.807,532.698
16,3 Dec 2019 18:58:34.925,3 Dec 2019 19:09:19.300,644.375
17,3 Dec 2019 20:36:20.685,3 Dec 2019 20:45:37.437,556.751
18,3 Dec 2019 22:14:39.734,3 Dec 2019 22:22:46.352,486.618
19,3 Dec 2019 23:51:38.698,4 Dec 2019 00:01:09.582,570.884
20,4 Dec 2019 01:27:56.348,4 Dec 2019 01:38:43.753,647.406
21,4 Dec 2019 03:05:13.100,4 Dec 2019 03:13:28.680,495.580
22,4 Dec 2019 16:32:47.517,4 Dec 2019 16:39:29.009,401.492
23,4 Dec 2019 18:06:38.372,4 Dec 2019 18:17:20.817,642.445
24,4 Dec 2019 19:43:49.618,4 Dec 2019 19:53:40.638,591.020
25,4 Dec 2019 21:22:14.298,4 Dec 2019 21:30:25.911,491.613
26,4 Dec 2019 22:59:39.460,4 Dec 2019 23:08:35.554,536.094
27,5 Dec 2019 00:36:00.070,5 Dec 2019 00:46:38.251,638.181
28,5 Dec 2019 02:12:44.196,5 Dec 2019 02:22:27.188,582.993
29,5 Dec 2019 17:14:56.628,5 Dec 2019 17:25:15.258,618.630
30,5 Dec 2019 18:51:24.574,5 Dec 2019 19:01:45.066,620.493
31,5 Dec 2019 20:29:41.358,5 Dec 2019 20:38:13.462,512.104
32,5 Dec 2019 22:07:33.272,5 Dec 2019 22:15:59.817,506.545
33,5 Dec 2019 23:44:04.626,5 Dec 2019 23:54:20.071,615.444
34,6 Dec 2019 01:20:30.967,6 Dec 2019 01:30:59.412,628.444
35,6 Dec 2019 02:59:50.472,6 Dec 2019 03:03:00.360,189.889
36,6 Dec 2019 16:23:33.722,6 Dec 2019 16:32:58.132,564.409
37,6 Dec 2019 17:59:08.445,6 Dec 2019 18:09:48.498,640.052
38,6 Dec 2019 19:37:04.795,6 Dec 2019 19:46:07.781,542.985
39,6 Dec 2019 21:15:18.047,6 Dec 2019 21:23:26.766,488.719
40,6 Dec 2019 22:52:07.809,6 Dec 2019 23:01:51.673,583.863
41,7 Dec 2019 00:28:26.089,7 Dec 2019 00:39:12.144,646.055
42,7 Dec 2019 02:06:01.966,7 Dec 2019 02:13:25.823,443.857
