"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Dec 2019 17:35:32.145,1 Dec 2019 17:40:17.013,284.868
2,1 Dec 2019 19:08:23.467,1 Dec 2019 19:18:56.542,633.075
3,1 Dec 2019 20:45:20.059,1 Dec 2019 20:55:17.962,597.903
4,1 Dec 2019 22:23:53.720,1 Dec 2019 22:31:49.710,475.990
5,2 Dec 2019 00:01:38.675,2 Dec 2019 00:09:53.241,494.567
6,2 Dec 2019 01:38:01.200,2 Dec 2019 01:48:19.222,618.022
7,2 Dec 2019 03:14:30.825,2 Dec 2019 03:24:47.011,616.186
8,2 Dec 2019 18:16:53.335,2 Dec 2019 18:26:49.921,596.586
9,2 Dec 2019 19:53:00.745,2 Dec 2019 20:03:26.987,626.242
10,2 Dec 2019 21:31:18.738,2 Dec 2019 21:39:45.799,507.061
11,2 Dec 2019 23:09:31.636,2 Dec 2019 23:17:19.335,467.700
12,3 Dec 2019 00:46:10.175,3 Dec 2019 00:55:55.684,585.509
13,3 Dec 2019 02:22:27.769,3 Dec 2019 02:33:09.073,641.304
14,3 Dec 2019 04:00:27.960,3 Dec 2019 04:06:50.777,382.817
15,3 Dec 2019 17:25:45.579,3 Dec 2019 17:34:27.993,522.414
16,3 Dec 2019 19:00:52.093,3 Dec 2019 19:11:33.706,641.613
17,3 Dec 2019 20:38:42.498,3 Dec 2019 20:47:47.929,545.431
18,3 Dec 2019 22:17:13.833,3 Dec 2019 22:24:51.369,457.536
19,3 Dec 2019 23:54:16.607,4 Dec 2019 00:03:23.315,546.708
20,4 Dec 2019 01:30:30.597,4 Dec 2019 01:41:13.844,643.246
21,4 Dec 2019 03:07:36.159,4 Dec 2019 03:16:20.376,524.217
22,4 Dec 2019 16:35:14.983,4 Dec 2019 16:41:35.369,380.386
23,4 Dec 2019 18:08:56.355,4 Dec 2019 18:19:35.761,639.406
24,4 Dec 2019 19:46:09.560,4 Dec 2019 19:55:53.388,583.828
25,4 Dec 2019 21:24:45.364,4 Dec 2019 21:32:32.257,466.893
26,4 Dec 2019 23:02:18.010,4 Dec 2019 23:10:45.746,507.736
27,5 Dec 2019 00:38:36.324,5 Dec 2019 00:49:03.893,627.569
28,5 Dec 2019 02:15:13.094,5 Dec 2019 02:25:11.231,598.137
29,5 Dec 2019 17:17:16.151,5 Dec 2019 17:27:30.148,613.997
30,5 Dec 2019 18:53:43.599,5 Dec 2019 19:03:59.649,616.050
31,5 Dec 2019 20:32:09.062,5 Dec 2019 20:40:22.187,493.125
32,5 Dec 2019 22:10:11.632,5 Dec 2019 22:18:07.552,475.920
33,5 Dec 2019 23:46:42.616,5 Dec 2019 23:56:41.409,598.793
34,6 Dec 2019 01:23:03.537,6 Dec 2019 01:33:37.926,634.390
35,6 Dec 2019 03:01:42.126,6 Dec 2019 03:06:29.604,287.478
36,6 Dec 2019 16:25:55.731,6 Dec 2019 16:35:12.070,556.339
37,6 Dec 2019 18:01:27.417,6 Dec 2019 18:12:04.461,637.045
38,6 Dec 2019 19:39:29.560,6 Dec 2019 19:48:19.231,529.671
39,6 Dec 2019 21:17:55.040,6 Dec 2019 21:25:33.642,458.602
40,6 Dec 2019 22:54:47.261,6 Dec 2019 23:04:08.917,561.656
41,7 Dec 2019 00:31:01.425,7 Dec 2019 00:41:45.956,644.532
42,7 Dec 2019 02:08:23.400,7 Dec 2019 02:16:23.735,480.335
43,7 Dec 2019 15:35:04.682,7 Dec 2019 15:42:31.347,446.665
44,7 Dec 2019 17:09:23.311,7 Dec 2019 17:20:05.554,642.243
45,7 Dec 2019 18:46:51.692,7 Dec 2019 18:56:20.655,568.964
46,7 Dec 2019 20:25:27.371,7 Dec 2019 20:33:07.800,460.429
47,7 Dec 2019 22:02:47.869,7 Dec 2019 22:11:29.674,521.805
48,7 Dec 2019 23:39:03.266,7 Dec 2019 23:49:38.299,635.033
49,8 Dec 2019 01:15:48.962,8 Dec 2019 01:25:23.762,574.800
50,8 Dec 2019 14:45:26.137,8 Dec 2019 14:48:44.275,198.137
51,8 Dec 2019 16:17:33.689,8 Dec 2019 16:28:00.232,626.543
52,8 Dec 2019 17:54:19.517,8 Dec 2019 18:04:23.825,604.308
53,8 Dec 2019 19:32:50.440,8 Dec 2019 19:40:51.301,480.861
54,8 Dec 2019 21:10:41.737,8 Dec 2019 21:18:47.952,486.215
55,8 Dec 2019 22:47:06.539,8 Dec 2019 22:57:17.215,610.676
56,9 Dec 2019 00:23:32.079,9 Dec 2019 00:33:55.801,623.721
57,9 Dec 2019 02:03:30.782,9 Dec 2019 02:05:16.149,105.367
58,9 Dec 2019 15:26:01.959,9 Dec 2019 15:35:44.587,582.628
59,9 Dec 2019 17:01:56.165,9 Dec 2019 17:12:26.390,630.225
60,9 Dec 2019 18:40:08.395,9 Dec 2019 18:48:42.855,514.460
61,9 Dec 2019 20:18:26.181,9 Dec 2019 20:26:08.691,462.509
62,9 Dec 2019 21:55:09.027,9 Dec 2019 22:04:45.043,576.016
63,9 Dec 2019 23:31:24.535,9 Dec 2019 23:42:07.449,642.914
64,10 Dec 2019 01:09:07.730,10 Dec 2019 01:16:12.101,424.370
65,10 Dec 2019 14:34:54.894,10 Dec 2019 14:43:11.257,496.362
66,10 Dec 2019 16:09:44.079,10 Dec 2019 16:20:26.117,642.038
67,10 Dec 2019 17:47:26.198,10 Dec 2019 17:56:39.878,553.679
68,10 Dec 2019 19:25:59.555,10 Dec 2019 19:33:36.334,456.779
69,10 Dec 2019 21:03:08.417,10 Dec 2019 21:12:04.746,536.329
70,10 Dec 2019 22:39:22.130,10 Dec 2019 22:50:02.365,640.235
71,11 Dec 2019 00:16:18.876,11 Dec 2019 00:25:24.217,545.342
72,11 Dec 2019 13:44:33.308,11 Dec 2019 13:49:58.837,325.529
73,11 Dec 2019 15:17:45.558,11 Dec 2019 15:28:20.518,634.960
74,11 Dec 2019 16:54:48.286,11 Dec 2019 17:04:39.624,591.338
75,11 Dec 2019 18:33:22.590,11 Dec 2019 18:41:13.224,470.635
76,11 Dec 2019 20:11:02.108,11 Dec 2019 20:19:20.227,498.119
77,11 Dec 2019 21:47:22.069,11 Dec 2019 21:57:42.978,620.909
78,11 Dec 2019 23:23:53.586,11 Dec 2019 23:34:02.540,608.953
79,12 Dec 2019 14:26:03.491,12 Dec 2019 14:36:06.266,602.775
80,12 Dec 2019 16:02:18.134,12 Dec 2019 16:12:39.625,621.491
81,12 Dec 2019 17:40:38.721,12 Dec 2019 17:48:58.930,500.209
82,12 Dec 2019 19:18:47.300,12 Dec 2019 19:26:36.281,468.981
83,12 Dec 2019 20:55:22.057,12 Dec 2019 21:05:11.525,589.468
84,12 Dec 2019 22:31:40.051,12 Dec 2019 22:42:18.265,638.214
85,13 Dec 2019 00:09:52.164,13 Dec 2019 00:15:42.514,350.350
86,13 Dec 2019 13:34:42.938,13 Dec 2019 13:43:37.732,534.795
87,13 Dec 2019 15:09:58.422,13 Dec 2019 15:20:37.617,639.195
88,13 Dec 2019 16:47:52.831,13 Dec 2019 16:56:51.163,538.333
89,13 Dec 2019 18:26:21.779,13 Dec 2019 18:33:57.767,455.988
90,13 Dec 2019 20:03:19.838,13 Dec 2019 20:12:30.709,550.872
91,13 Dec 2019 21:39:33.014,13 Dec 2019 21:50:16.040,643.025
