"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Dec 2019 17:35:32.145,148.915,-0.056,2309.984404
1 Dec 2019 17:35:33.000,148.774,-0.032,2307.424238
1 Dec 2019 17:35:34.000,148.609,-0.005,2304.446568
1 Dec 2019 17:35:35.000,148.443,0.022,2301.486239
1 Dec 2019 17:35:36.000,148.277,0.048,2298.543322
1 Dec 2019 17:35:37.000,148.110,0.075,2295.617889
1 Dec 2019 17:35:38.000,147.943,0.102,2292.710010
1 Dec 2019 17:35:39.000,147.776,0.128,2289.819757
1 Dec 2019 17:35:40.000,147.608,0.155,2286.947200
1 Dec 2019 17:35:41.000,147.439,0.181,2284.092412
1 Dec 2019 17:35:42.000,147.270,0.207,2281.255461
1 Dec 2019 17:35:43.000,147.101,0.233,2278.436419
1 Dec 2019 17:35:44.000,146.932,0.259,2275.635357
1 Dec 2019 17:35:45.000,146.761,0.284,2272.852345
1 Dec 2019 17:35:46.000,146.591,0.310,2270.087454
1 Dec 2019 17:35:47.000,146.420,0.335,2267.340754
1 Dec 2019 17:35:48.000,146.249,0.361,2264.612314
1 Dec 2019 17:35:49.000,146.077,0.386,2261.902205
1 Dec 2019 17:35:50.000,145.905,0.411,2259.210496
1 Dec 2019 17:35:51.000,145.732,0.436,2256.537259
1 Dec 2019 17:35:52.000,145.559,0.460,2253.882562
1 Dec 2019 17:35:53.000,145.386,0.485,2251.246475
1 Dec 2019 17:35:54.000,145.212,0.509,2248.629067
1 Dec 2019 17:35:55.000,145.038,0.534,2246.030407
1 Dec 2019 17:35:56.000,144.863,0.558,2243.450564
1 Dec 2019 17:35:57.000,144.688,0.582,2240.889607
1 Dec 2019 17:35:58.000,144.513,0.606,2238.347602
1 Dec 2019 17:35:59.000,144.337,0.629,2235.824622
1 Dec 2019 17:36:00.000,144.161,0.653,2233.320733
1 Dec 2019 17:36:01.000,143.984,0.676,2230.836003
1 Dec 2019 17:36:02.000,143.807,0.700,2228.370500
1 Dec 2019 17:36:03.000,143.629,0.723,2225.924291
1 Dec 2019 17:36:04.000,143.452,0.746,2223.497441
1 Dec 2019 17:36:05.000,143.273,0.769,2221.090022
1 Dec 2019 17:36:06.000,143.095,0.791,2218.702098
1 Dec 2019 17:36:07.000,142.916,0.814,2216.333736
1 Dec 2019 17:36:08.000,142.736,0.836,2213.985003
1 Dec 2019 17:36:09.000,142.557,0.858,2211.655961
1 Dec 2019 17:36:10.000,142.376,0.880,2209.346682
1 Dec 2019 17:36:11.000,142.196,0.902,2207.057228
1 Dec 2019 17:36:12.000,142.015,0.924,2204.787664
1 Dec 2019 17:36:13.000,141.834,0.945,2202.538055
1 Dec 2019 17:36:14.000,141.652,0.967,2200.308467
1 Dec 2019 17:36:15.000,141.470,0.988,2198.098964
1 Dec 2019 17:36:16.000,141.288,1.009,2195.909609
1 Dec 2019 17:36:17.000,141.105,1.030,2193.740464
1 Dec 2019 17:36:18.000,140.922,1.050,2191.591597
1 Dec 2019 17:36:19.000,140.738,1.071,2189.463068
1 Dec 2019 17:36:20.000,140.554,1.091,2187.354940
1 Dec 2019 17:36:21.000,140.370,1.111,2185.267273
1 Dec 2019 17:36:22.000,140.185,1.131,2183.200133
1 Dec 2019 17:36:23.000,140.001,1.151,2181.153580
1 Dec 2019 17:36:24.000,139.815,1.171,2179.127672
1 Dec 2019 17:36:25.000,139.630,1.190,2177.122474
1 Dec 2019 17:36:26.000,139.444,1.210,2175.138046
1 Dec 2019 17:36:27.000,139.257,1.229,2173.174444
1 Dec 2019 17:36:28.000,139.071,1.248,2171.231733
1 Dec 2019 17:36:29.000,138.884,1.266,2169.309969
1 Dec 2019 17:36:30.000,138.696,1.285,2167.409209
1 Dec 2019 17:36:31.000,138.509,1.303,2165.529516
1 Dec 2019 17:36:32.000,138.321,1.322,2163.670943
1 Dec 2019 17:36:33.000,138.132,1.340,2161.833551
1 Dec 2019 17:36:34.000,137.944,1.357,2160.017397
1 Dec 2019 17:36:35.000,137.755,1.375,2158.222533
1 Dec 2019 17:36:36.000,137.565,1.393,2156.449021
1 Dec 2019 17:36:37.000,137.376,1.410,2154.696911
1 Dec 2019 17:36:38.000,137.186,1.427,2152.966263
1 Dec 2019 17:36:39.000,136.996,1.444,2151.257129
1 Dec 2019 17:36:40.000,136.805,1.460,2149.569561
1 Dec 2019 17:36:41.000,136.614,1.477,2147.903617
1 Dec 2019 17:36:42.000,136.423,1.493,2146.259346
1 Dec 2019 17:36:43.000,136.232,1.509,2144.636805
1 Dec 2019 17:36:44.000,136.040,1.525,2143.036040
1 Dec 2019 17:36:45.000,135.848,1.541,2141.457109
1 Dec 2019 17:36:46.000,135.655,1.556,2139.900057
1 Dec 2019 17:36:47.000,135.463,1.572,2138.364939
1 Dec 2019 17:36:48.000,135.270,1.587,2136.851801
1 Dec 2019 17:36:49.000,135.077,1.602,2135.360696
1 Dec 2019 17:36:50.000,134.883,1.616,2133.891669
1 Dec 2019 17:36:51.000,134.690,1.631,2132.444772
1 Dec 2019 17:36:52.000,134.496,1.645,2131.020048
1 Dec 2019 17:36:53.000,134.302,1.659,2129.617549
1 Dec 2019 17:36:54.000,134.107,1.673,2128.237315
1 Dec 2019 17:36:55.000,133.912,1.687,2126.879398
1 Dec 2019 17:36:56.000,133.717,1.700,2125.543838
1 Dec 2019 17:36:57.000,133.522,1.713,2124.230685
1 Dec 2019 17:36:58.000,133.327,1.726,2122.939976
1 Dec 2019 17:36:59.000,133.131,1.739,2121.671761
1 Dec 2019 17:37:00.000,132.935,1.752,2120.426076
1 Dec 2019 17:37:01.000,132.739,1.764,2119.202967
1 Dec 2019 17:37:02.000,132.542,1.776,2118.002477
1 Dec 2019 17:37:03.000,132.346,1.788,2116.824641
1 Dec 2019 17:37:04.000,132.149,1.800,2115.669505
1 Dec 2019 17:37:05.000,131.952,1.811,2114.537102
1 Dec 2019 17:37:06.000,131.754,1.823,2113.427475
1 Dec 2019 17:37:07.000,131.557,1.834,2112.340663
1 Dec 2019 17:37:08.000,131.359,1.845,2111.276698
1 Dec 2019 17:37:09.000,131.161,1.855,2110.235620
1 Dec 2019 17:37:10.000,130.963,1.866,2109.217467
1 Dec 2019 17:37:11.000,130.765,1.876,2108.222269
1 Dec 2019 17:37:12.000,130.566,1.886,2107.250063
1 Dec 2019 17:37:13.000,130.368,1.896,2106.300885
1 Dec 2019 17:37:14.000,130.169,1.905,2105.374763
1 Dec 2019 17:37:15.000,129.970,1.915,2104.471731
1 Dec 2019 17:37:16.000,129.770,1.924,2103.591825
1 Dec 2019 17:37:17.000,129.571,1.933,2102.735069
1 Dec 2019 17:37:18.000,129.372,1.941,2101.901496
1 Dec 2019 17:37:19.000,129.172,1.950,2101.091135
1 Dec 2019 17:37:20.000,128.972,1.958,2100.304018
1 Dec 2019 17:37:21.000,128.772,1.966,2099.540166
1 Dec 2019 17:37:22.000,128.572,1.973,2098.799611
1 Dec 2019 17:37:23.000,128.371,1.981,2098.082380
1 Dec 2019 17:37:24.000,128.171,1.988,2097.388493
1 Dec 2019 17:37:25.000,127.970,1.995,2096.717979
1 Dec 2019 17:37:26.000,127.770,2.002,2096.070860
1 Dec 2019 17:37:27.000,127.569,2.009,2095.447161
1 Dec 2019 17:37:28.000,127.368,2.015,2094.846905
1 Dec 2019 17:37:29.000,127.167,2.021,2094.270110
1 Dec 2019 17:37:30.000,126.966,2.027,2093.716799
