"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,16 Dec 2019 16:47:57.962,16 Dec 2019 16:55:23.658,445.696
2,16 Dec 2019 18:25:03.836,16 Dec 2019 18:33:53.556,529.720
3,16 Dec 2019 20:01:13.271,16 Dec 2019 20:11:52.760,639.490
4,16 Dec 2019 21:38:05.721,16 Dec 2019 21:47:15.488,549.767
5,17 Dec 2019 11:05:46.692,17 Dec 2019 11:11:21.461,334.769
6,17 Dec 2019 12:39:01.001,17 Dec 2019 12:49:37.405,636.404
7,17 Dec 2019 14:16:04.401,17 Dec 2019 14:25:52.435,588.034
8,17 Dec 2019 15:54:40.858,17 Dec 2019 16:02:21.676,460.818
9,17 Dec 2019 17:32:19.549,17 Dec 2019 17:40:28.280,488.731
10,17 Dec 2019 19:08:35.431,17 Dec 2019 19:18:53.435,618.003
11,17 Dec 2019 20:45:02.439,17 Dec 2019 20:55:14.942,612.503
12,18 Dec 2019 11:46:40.341,18 Dec 2019 11:56:44.829,604.488
13,18 Dec 2019 13:22:54.206,18 Dec 2019 13:33:14.625,620.418
14,18 Dec 2019 15:01:16.158,18 Dec 2019 15:09:29.248,493.090
15,18 Dec 2019 16:39:26.028,18 Dec 2019 16:47:03.788,457.760
16,18 Dec 2019 18:15:57.565,18 Dec 2019 18:25:41.372,583.807
17,18 Dec 2019 19:52:11.042,18 Dec 2019 20:02:51.015,639.973
18,18 Dec 2019 21:30:13.232,18 Dec 2019 21:36:23.007,369.775
19,19 Dec 2019 10:54:42.136,19 Dec 2019 11:03:37.206,535.070
20,19 Dec 2019 12:29:55.054,19 Dec 2019 12:40:34.537,639.483
21,19 Dec 2019 14:07:49.354,19 Dec 2019 14:16:43.687,534.334
22,19 Dec 2019 15:46:20.709,19 Dec 2019 15:53:45.498,444.789
23,19 Dec 2019 17:23:17.254,19 Dec 2019 17:32:19.441,542.187
24,19 Dec 2019 18:59:26.158,19 Dec 2019 19:10:08.439,642.281
25,19 Dec 2019 20:36:29.447,19 Dec 2019 20:45:10.171,520.724
26,20 Dec 2019 10:03:20.072,20 Dec 2019 10:10:00.182,400.110
27,20 Dec 2019 11:37:09.356,20 Dec 2019 11:47:49.676,640.320
28,20 Dec 2019 13:14:25.656,20 Dec 2019 13:24:01.857,576.201
29,20 Dec 2019 14:53:03.307,20 Dec 2019 15:00:36.989,453.682
30,20 Dec 2019 16:30:31.745,20 Dec 2019 16:38:51.554,499.809
31,20 Dec 2019 18:06:44.495,20 Dec 2019 18:17:10.002,625.508
32,20 Dec 2019 19:43:17.383,20 Dec 2019 19:53:15.003,597.619
33,21 Dec 2019 10:44:39.813,21 Dec 2019 10:54:56.900,617.086
34,21 Dec 2019 12:21:09.210,21 Dec 2019 12:31:20.924,611.715
35,21 Dec 2019 13:59:36.839,21 Dec 2019 14:07:38.577,481.738
36,21 Dec 2019 15:37:37.911,21 Dec 2019 15:45:22.779,464.868
37,21 Dec 2019 17:14:03.519,21 Dec 2019 17:23:58.036,594.517
38,21 Dec 2019 18:50:19.756,21 Dec 2019 19:00:54.073,634.318
