"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,16 Dec 2019 17:24:24.653,16 Dec 2019 17:32:33.380,488.728
2,16 Dec 2019 19:01:10.916,16 Dec 2019 19:10:58.192,587.276
3,16 Dec 2019 20:37:29.277,16 Dec 2019 20:48:13.332,644.055
4,16 Dec 2019 22:15:13.058,16 Dec 2019 22:22:14.311,421.253
5,17 Dec 2019 11:41:27.214,17 Dec 2019 11:49:25.723,478.508
6,17 Dec 2019 13:16:02.856,17 Dec 2019 13:26:47.181,644.325
7,17 Dec 2019 14:53:32.595,17 Dec 2019 15:03:04.367,571.772
8,17 Dec 2019 16:31:55.525,17 Dec 2019 16:40:00.337,484.812
9,17 Dec 2019 18:09:05.930,17 Dec 2019 18:18:17.981,552.052
10,17 Dec 2019 19:45:23.228,17 Dec 2019 19:56:06.762,643.534
11,17 Dec 2019 21:22:21.088,17 Dec 2019 21:31:24.383,543.294
12,18 Dec 2019 10:51:14.305,18 Dec 2019 10:56:00.743,286.438
13,18 Dec 2019 12:24:04.806,18 Dec 2019 12:34:37.430,632.625
14,18 Dec 2019 14:00:55.555,18 Dec 2019 14:11:00.273,604.717
15,18 Dec 2019 15:39:17.620,18 Dec 2019 15:47:35.526,497.906
16,18 Dec 2019 17:16:55.443,18 Dec 2019 17:25:34.097,518.654
17,18 Dec 2019 18:53:19.493,18 Dec 2019 19:03:46.460,626.968
18,18 Dec 2019 20:29:52.822,18 Dec 2019 20:40:00.840,608.017
19,19 Dec 2019 11:32:23.654,19 Dec 2019 11:42:18.866,595.212
20,19 Dec 2019 13:08:26.354,19 Dec 2019 13:18:56.553,630.200
21,19 Dec 2019 14:46:34.114,19 Dec 2019 14:55:18.661,524.547
22,19 Dec 2019 16:24:37.047,19 Dec 2019 16:32:50.946,493.900
23,19 Dec 2019 18:01:15.745,19 Dec 2019 18:11:14.775,599.030
24,19 Dec 2019 19:37:36.336,19 Dec 2019 19:48:15.026,638.691
25,19 Dec 2019 21:15:48.572,19 Dec 2019 21:21:36.268,347.696
26,20 Dec 2019 10:41:05.068,20 Dec 2019 10:49:45.281,520.212
27,20 Dec 2019 12:16:07.628,20 Dec 2019 12:26:50.959,643.331
28,20 Dec 2019 13:53:49.382,20 Dec 2019 14:03:07.852,558.469
29,20 Dec 2019 15:32:09.075,20 Dec 2019 15:40:12.790,483.715
30,20 Dec 2019 17:09:09.767,20 Dec 2019 17:18:34.446,564.679
31,20 Dec 2019 18:45:26.341,20 Dec 2019 18:56:11.727,645.386
32,20 Dec 2019 20:22:37.544,20 Dec 2019 20:31:04.127,506.584
33,21 Dec 2019 09:50:24.140,21 Dec 2019 09:56:41.059,376.919
34,21 Dec 2019 11:24:01.758,21 Dec 2019 11:34:41.093,639.335
35,21 Dec 2019 13:01:07.749,21 Dec 2019 13:11:00.660,592.910
36,21 Dec 2019 14:39:31.647,21 Dec 2019 14:47:42.442,490.795
37,21 Dec 2019 16:16:59.170,21 Dec 2019 16:25:48.952,529.782
38,21 Dec 2019 17:53:19.620,21 Dec 2019 18:03:53.776,634.156
39,21 Dec 2019 19:30:00.145,21 Dec 2019 19:39:48.619,588.474
40,22 Dec 2019 10:32:11.510,22 Dec 2019 10:42:23.869,612.359
41,22 Dec 2019 12:08:32.840,22 Dec 2019 12:18:54.673,621.833
42,22 Dec 2019 13:46:47.215,22 Dec 2019 13:55:20.418,513.202
43,22 Dec 2019 15:24:41.492,22 Dec 2019 15:33:02.541,501.049
44,22 Dec 2019 17:01:13.721,22 Dec 2019 17:11:23.525,609.804
45,22 Dec 2019 18:37:37.681,22 Dec 2019 18:48:07.866,630.186
46,22 Dec 2019 20:16:34.027,22 Dec 2019 20:20:34.059,240.032
47,23 Dec 2019 09:40:41.310,23 Dec 2019 09:49:54.379,553.069
