"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,16 Dec 2019 17:27:00.297,16 Dec 2019 17:34:38.459,458.162
2,16 Dec 2019 19:03:48.504,16 Dec 2019 19:13:14.157,565.653
3,16 Dec 2019 20:40:02.506,16 Dec 2019 20:50:45.944,643.438
4,16 Dec 2019 22:17:30.945,16 Dec 2019 22:25:12.334,461.390
5,17 Dec 2019 11:43:50.769,17 Dec 2019 11:51:35.073,464.304
6,17 Dec 2019 13:18:20.182,17 Dec 2019 13:29:01.675,641.494
7,17 Dec 2019 14:55:53.224,17 Dec 2019 15:05:15.704,562.480
8,17 Dec 2019 16:34:28.104,17 Dec 2019 16:42:05.434,457.330
9,17 Dec 2019 18:11:44.004,17 Dec 2019 18:20:29.510,525.507
10,17 Dec 2019 19:47:58.166,17 Dec 2019 19:58:34.297,636.131
11,17 Dec 2019 21:24:47.011,17 Dec 2019 21:34:11.562,564.551
12,18 Dec 2019 10:53:49.473,18 Dec 2019 10:57:58.590,249.117
13,18 Dec 2019 12:26:22.765,18 Dec 2019 12:36:51.667,628.902
14,18 Dec 2019 14:03:14.225,18 Dec 2019 14:13:13.153,598.928
15,18 Dec 2019 15:41:46.329,18 Dec 2019 15:49:42.036,475.707
16,18 Dec 2019 17:19:33.283,18 Dec 2019 17:27:41.955,488.672
17,18 Dec 2019 18:55:55.774,18 Dec 2019 19:06:09.031,613.256
18,18 Dec 2019 20:32:22.744,18 Dec 2019 20:42:41.078,618.334
19,19 Dec 2019 11:34:42.999,19 Dec 2019 11:44:32.070,589.070
20,19 Dec 2019 13:10:43.935,19 Dec 2019 13:21:10.472,626.536
21,19 Dec 2019 14:48:58.953,19 Dec 2019 14:57:27.242,508.289
22,19 Dec 2019 16:27:13.555,19 Dec 2019 16:34:56.453,462.898
23,19 Dec 2019 18:03:53.067,19 Dec 2019 18:13:32.480,579.413
24,19 Dec 2019 19:40:08.823,19 Dec 2019 19:50:49.594,640.770
25,19 Dec 2019 21:18:00.279,19 Dec 2019 21:24:41.510,401.231
26,20 Dec 2019 10:43:27.044,20 Dec 2019 10:51:56.144,509.100
27,20 Dec 2019 12:18:24.892,20 Dec 2019 12:29:05.394,640.502
28,20 Dec 2019 13:56:10.987,20 Dec 2019 14:05:18.491,547.504
29,20 Dec 2019 15:34:42.941,20 Dec 2019 15:42:17.659,454.718
30,20 Dec 2019 17:11:47.739,20 Dec 2019 17:20:47.522,539.783
31,20 Dec 2019 18:48:00.697,20 Dec 2019 18:58:41.091,640.393
32,20 Dec 2019 20:25:01.241,20 Dec 2019 20:33:54.545,533.304
33,21 Dec 2019 09:52:52.495,21 Dec 2019 09:58:45.670,353.175
34,21 Dec 2019 11:26:19.390,21 Dec 2019 11:36:55.476,636.085
35,21 Dec 2019 13:03:27.020,21 Dec 2019 13:13:12.998,585.978
36,21 Dec 2019 14:42:01.824,21 Dec 2019 14:49:48.272,466.448
37,21 Dec 2019 16:19:37.201,21 Dec 2019 16:27:57.989,500.789
38,21 Dec 2019 17:55:55.427,21 Dec 2019 18:06:18.120,622.694
39,21 Dec 2019 19:32:28.802,21 Dec 2019 19:42:31.151,602.349
40,22 Dec 2019 10:34:30.212,22 Dec 2019 10:44:37.520,607.308
41,22 Dec 2019 12:10:50.692,22 Dec 2019 12:21:08.222,617.530
42,22 Dec 2019 13:49:13.400,22 Dec 2019 13:57:28.151,494.752
43,22 Dec 2019 15:27:18.615,22 Dec 2019 15:35:08.648,470.033
44,22 Dec 2019 17:03:50.665,22 Dec 2019 17:13:42.931,592.266
45,22 Dec 2019 18:40:09.295,22 Dec 2019 18:50:44.363,635.068
