"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,16 Dec 2019 16:46:55.147,16 Dec 2019 16:54:34.664,459.517
2,16 Dec 2019 18:24:18.965,16 Dec 2019 18:32:49.242,510.277
3,16 Dec 2019 20:00:32.432,16 Dec 2019 20:11:00.555,628.122
4,16 Dec 2019 21:37:09.958,16 Dec 2019 21:46:55.354,585.396
5,17 Dec 2019 12:38:37.484,17 Dec 2019 12:48:54.403,616.919
6,17 Dec 2019 14:15:09.660,17 Dec 2019 14:25:18.198,608.538
7,17 Dec 2019 15:53:34.870,17 Dec 2019 16:01:39.069,484.199
8,17 Dec 2019 17:31:30.065,17 Dec 2019 17:39:25.750,475.685
9,17 Dec 2019 19:07:55.038,17 Dec 2019 19:17:55.325,600.287
10,17 Dec 2019 20:44:14.430,17 Dec 2019 20:54:42.197,627.767
11,17 Dec 2019 22:23:12.836,17 Dec 2019 22:27:03.843,231.006
12,18 Dec 2019 11:46:30.732,18 Dec 2019 11:55:54.029,563.296
13,18 Dec 2019 13:22:07.341,18 Dec 2019 13:32:39.534,632.193
14,18 Dec 2019 15:00:10.325,18 Dec 2019 15:08:51.312,520.987
15,18 Dec 2019 16:38:30.635,18 Dec 2019 16:46:06.017,455.382
16,18 Dec 2019 18:15:16.231,18 Dec 2019 18:24:39.074,562.842
17,18 Dec 2019 19:51:27.422,18 Dec 2019 20:02:08.692,641.270
18,18 Dec 2019 21:28:52.802,18 Dec 2019 21:36:33.274,460.473
19,19 Dec 2019 10:54:52.997,19 Dec 2019 11:02:31.645,458.648
20,19 Dec 2019 12:29:17.367,19 Dec 2019 12:39:57.181,639.814
21,19 Dec 2019 14:06:46.813,19 Dec 2019 14:16:08.464,561.650
22,19 Dec 2019 15:45:19.381,19 Dec 2019 15:52:54.412,455.030
23,19 Dec 2019 17:22:33.450,19 Dec 2019 17:31:15.187,521.736
24,19 Dec 2019 18:58:44.918,19 Dec 2019 19:09:18.298,633.381
25,19 Dec 2019 20:35:30.192,19 Dec 2019 20:44:54.921,564.729
26,20 Dec 2019 10:04:21.915,20 Dec 2019 10:08:09.002,227.087
27,20 Dec 2019 11:36:42.288,20 Dec 2019 11:47:08.319,626.032
28,20 Dec 2019 13:13:28.834,20 Dec 2019 13:23:27.626,598.792
29,20 Dec 2019 14:51:57.920,20 Dec 2019 14:59:52.644,474.724
