"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
16 Dec 2019 17:27:55.648,321.111,-0.124,2336.345447
16 Dec 2019 17:27:56.000,321.158,-0.110,2334.698365
16 Dec 2019 17:27:57.000,321.291,-0.068,2330.027013
16 Dec 2019 17:27:58.000,321.425,-0.026,2325.366283
16 Dec 2019 17:27:59.000,321.560,0.016,2320.716240
16 Dec 2019 17:28:00.000,321.695,0.058,2316.076958
16 Dec 2019 17:28:01.000,321.830,0.099,2311.448503
16 Dec 2019 17:28:02.000,321.966,0.141,2306.830947
16 Dec 2019 17:28:03.000,322.103,0.183,2302.224365
16 Dec 2019 17:28:04.000,322.240,0.225,2297.628822
16 Dec 2019 17:28:05.000,322.378,0.266,2293.044395
16 Dec 2019 17:28:06.000,322.516,0.308,2288.471151
16 Dec 2019 17:28:07.000,322.655,0.350,2283.909169
16 Dec 2019 17:28:08.000,322.794,0.391,2279.358515
16 Dec 2019 17:28:09.000,322.934,0.433,2274.819268
16 Dec 2019 17:28:10.000,323.075,0.475,2270.291496
16 Dec 2019 17:28:11.000,323.216,0.516,2265.775280
16 Dec 2019 17:28:12.000,323.357,0.558,2261.270687
16 Dec 2019 17:28:13.000,323.499,0.599,2256.777799
16 Dec 2019 17:28:14.000,323.642,0.641,2252.296685
16 Dec 2019 17:28:15.000,323.785,0.682,2247.827426
16 Dec 2019 17:28:16.000,323.929,0.724,2243.370093
16 Dec 2019 17:28:17.000,324.073,0.765,2238.924767
16 Dec 2019 17:28:18.000,324.218,0.807,2234.491521
16 Dec 2019 17:28:19.000,324.363,0.848,2230.070436
16 Dec 2019 17:28:20.000,324.509,0.890,2225.661586
16 Dec 2019 17:28:21.000,324.656,0.931,2221.265052
16 Dec 2019 17:28:22.000,324.803,0.972,2216.880909
16 Dec 2019 17:28:23.000,324.951,1.013,2212.509240
16 Dec 2019 17:28:24.000,325.099,1.055,2208.150121
16 Dec 2019 17:28:25.000,325.248,1.096,2203.803631
16 Dec 2019 17:28:26.000,325.397,1.137,2199.469853
16 Dec 2019 17:28:27.000,325.547,1.178,2195.148864
16 Dec 2019 17:28:28.000,325.698,1.219,2190.840749
16 Dec 2019 17:28:29.000,325.849,1.260,2186.545584
16 Dec 2019 17:28:30.000,326.001,1.301,2182.263455
16 Dec 2019 17:28:31.000,326.153,1.342,2177.994439
16 Dec 2019 17:28:32.000,326.306,1.383,2173.738624
16 Dec 2019 17:28:33.000,326.460,1.424,2169.496090
16 Dec 2019 17:28:34.000,326.614,1.465,2165.266917
16 Dec 2019 17:28:35.000,326.769,1.506,2161.051193
16 Dec 2019 17:28:36.000,326.924,1.547,2156.848998
16 Dec 2019 17:28:37.000,327.080,1.587,2152.660421
16 Dec 2019 17:28:38.000,327.236,1.628,2148.485542
16 Dec 2019 17:28:39.000,327.393,1.669,2144.324446
16 Dec 2019 17:28:40.000,327.551,1.709,2140.177222
16 Dec 2019 17:28:41.000,327.709,1.750,2136.043951
16 Dec 2019 17:28:42.000,327.868,1.790,2131.924723
16 Dec 2019 17:28:43.000,328.028,1.831,2127.819623
16 Dec 2019 17:28:44.000,328.188,1.871,2123.728735
16 Dec 2019 17:28:45.000,328.349,1.911,2119.652151
16 Dec 2019 17:28:46.000,328.510,1.952,2115.589955
16 Dec 2019 17:28:47.000,328.672,1.992,2111.542234
16 Dec 2019 17:28:48.000,328.835,2.032,2107.509079
16 Dec 2019 17:28:49.000,328.998,2.072,2103.490578
16 Dec 2019 17:28:50.000,329.162,2.112,2099.486817
16 Dec 2019 17:28:51.000,329.326,2.152,2095.497889
16 Dec 2019 17:28:52.000,329.491,2.192,2091.523882
16 Dec 2019 17:28:53.000,329.657,2.232,2087.564883
16 Dec 2019 17:28:54.000,329.823,2.272,2083.620987
16 Dec 2019 17:28:55.000,329.990,2.311,2079.692283
16 Dec 2019 17:28:56.000,330.158,2.351,2075.778858
16 Dec 2019 17:28:57.000,330.326,2.390,2071.880809
16 Dec 2019 17:28:58.000,330.495,2.430,2067.998224
16 Dec 2019 17:28:59.000,330.664,2.469,2064.131194
16 Dec 2019 17:29:00.000,330.834,2.509,2060.279815
16 Dec 2019 17:29:01.000,331.005,2.548,2056.444177
16 Dec 2019 17:29:02.000,331.176,2.587,2052.624372
16 Dec 2019 17:29:03.000,331.348,2.626,2048.820493
16 Dec 2019 17:29:04.000,331.521,2.665,2045.032635
16 Dec 2019 17:29:05.000,331.694,2.704,2041.260892
16 Dec 2019 17:29:06.000,331.868,2.743,2037.505356
16 Dec 2019 17:29:07.000,332.043,2.782,2033.766120
16 Dec 2019 17:29:08.000,332.218,2.820,2030.043282
16 Dec 2019 17:29:09.000,332.394,2.859,2026.336935
16 Dec 2019 17:29:10.000,332.570,2.897,2022.647174
16 Dec 2019 17:29:11.000,332.747,2.936,2018.974093
16 Dec 2019 17:29:12.000,332.925,2.974,2015.317790
16 Dec 2019 17:29:13.000,333.104,3.012,2011.678360
16 Dec 2019 17:29:14.000,333.283,3.050,2008.055899
16 Dec 2019 17:29:15.000,333.462,3.088,2004.450500
16 Dec 2019 17:29:16.000,333.643,3.126,2000.862264
16 Dec 2019 17:29:17.000,333.824,3.164,1997.291287
16 Dec 2019 17:29:18.000,334.005,3.202,1993.737664
16 Dec 2019 17:29:19.000,334.187,3.239,1990.201493
16 Dec 2019 17:29:20.000,334.370,3.277,1986.682871
16 Dec 2019 17:29:21.000,334.554,3.314,1983.181895
16 Dec 2019 17:29:22.000,334.738,3.351,1979.698665
16 Dec 2019 17:29:23.000,334.923,3.388,1976.233277
16 Dec 2019 17:29:24.000,335.109,3.425,1972.785830
16 Dec 2019 17:29:25.000,335.295,3.462,1969.356422
16 Dec 2019 17:29:26.000,335.482,3.499,1965.945151
16 Dec 2019 17:29:27.000,335.669,3.536,1962.552115
16 Dec 2019 17:29:28.000,335.857,3.572,1959.177414
16 Dec 2019 17:29:29.000,336.046,3.609,1955.821147
16 Dec 2019 17:29:30.000,336.235,3.645,1952.483412
16 Dec 2019 17:29:31.000,336.425,3.681,1949.164309
16 Dec 2019 17:29:32.000,336.616,3.717,1945.863937
16 Dec 2019 17:29:33.000,336.807,3.753,1942.582395
16 Dec 2019 17:29:34.000,336.999,3.789,1939.319782
16 Dec 2019 17:29:35.000,337.192,3.824,1936.076198
16 Dec 2019 17:29:36.000,337.385,3.860,1932.851744
16 Dec 2019 17:29:37.000,337.579,3.895,1929.646516
16 Dec 2019 17:29:38.000,337.774,3.930,1926.460618
16 Dec 2019 17:29:39.000,337.969,3.965,1923.294147
