"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
16 Dec 2019 17:24:15.319,317.004,-0.056,2326.344986
16 Dec 2019 17:24:16.000,317.095,-0.027,2323.172278
16 Dec 2019 17:24:17.000,317.230,0.015,2318.519628
16 Dec 2019 17:24:18.000,317.365,0.057,2313.877755
16 Dec 2019 17:24:19.000,317.501,0.098,2309.246725
16 Dec 2019 17:24:20.000,317.637,0.140,2304.626614
16 Dec 2019 17:24:21.000,317.774,0.182,2300.017488
16 Dec 2019 17:24:22.000,317.911,0.224,2295.419423
16 Dec 2019 17:24:23.000,318.049,0.265,2290.832486
16 Dec 2019 17:24:24.000,318.187,0.307,2286.256755
16 Dec 2019 17:24:25.000,318.326,0.349,2281.692297
16 Dec 2019 17:24:26.000,318.466,0.391,2277.139190
16 Dec 2019 17:24:27.000,318.606,0.432,2272.597503
16 Dec 2019 17:24:28.000,318.746,0.474,2268.067315
16 Dec 2019 17:24:29.000,318.887,0.516,2263.548694
16 Dec 2019 17:24:30.000,319.029,0.557,2259.041720
16 Dec 2019 17:24:31.000,319.171,0.599,2254.546464
16 Dec 2019 17:24:32.000,319.314,0.640,2250.063005
16 Dec 2019 17:24:33.000,319.457,0.682,2245.591415
16 Dec 2019 17:24:34.000,319.601,0.723,2241.131775
16 Dec 2019 17:24:35.000,319.745,0.765,2236.684156
16 Dec 2019 17:24:36.000,319.890,0.806,2232.248640
16 Dec 2019 17:24:37.000,320.036,0.848,2227.825300
16 Dec 2019 17:24:38.000,320.182,0.889,2223.414218
16 Dec 2019 17:24:39.000,320.329,0.931,2219.015468
16 Dec 2019 17:24:40.000,320.476,0.972,2214.629133
16 Dec 2019 17:24:41.000,320.624,1.013,2210.255287
16 Dec 2019 17:24:42.000,320.772,1.054,2205.894014
16 Dec 2019 17:24:43.000,320.921,1.096,2201.545390
16 Dec 2019 17:24:44.000,321.071,1.137,2197.209499
16 Dec 2019 17:24:45.000,321.221,1.178,2192.886416
16 Dec 2019 17:24:46.000,321.371,1.219,2188.576228
16 Dec 2019 17:24:47.000,321.523,1.260,2184.279014
16 Dec 2019 17:24:48.000,321.675,1.301,2179.994852
16 Dec 2019 17:24:49.000,321.827,1.342,2175.723829
16 Dec 2019 17:24:50.000,321.980,1.383,2171.466024
16 Dec 2019 17:24:51.000,322.134,1.424,2167.221523
16 Dec 2019 17:24:52.000,322.288,1.465,2162.990406
16 Dec 2019 17:24:53.000,322.443,1.506,2158.772759
16 Dec 2019 17:24:54.000,322.598,1.547,2154.568666
16 Dec 2019 17:24:55.000,322.755,1.588,2150.378208
16 Dec 2019 17:24:56.000,322.911,1.628,2146.201474
16 Dec 2019 17:24:57.000,323.068,1.669,2142.038545
16 Dec 2019 17:24:58.000,323.226,1.710,2137.889511
16 Dec 2019 17:24:59.000,323.385,1.750,2133.754455
16 Dec 2019 17:25:00.000,323.544,1.791,2129.633461
16 Dec 2019 17:25:01.000,323.704,1.831,2125.526621
16 Dec 2019 17:25:02.000,323.864,1.872,2121.434018
16 Dec 2019 17:25:03.000,324.025,1.912,2117.355739
16 Dec 2019 17:25:04.000,324.186,1.952,2113.291874
16 Dec 2019 17:25:05.000,324.348,1.992,2109.242508
16 Dec 2019 17:25:06.000,324.511,2.033,2105.207734
16 Dec 2019 17:25:07.000,324.675,2.073,2101.187637
16 Dec 2019 17:25:08.000,324.839,2.113,2097.182305
16 Dec 2019 17:25:09.000,325.003,2.153,2093.191832
16 Dec 2019 17:25:10.000,325.168,2.193,2089.216304
16 Dec 2019 17:25:11.000,325.334,2.233,2085.255810
16 Dec 2019 17:25:12.000,325.501,2.272,2081.310445
16 Dec 2019 17:25:13.000,325.668,2.312,2077.380297
16 Dec 2019 17:25:14.000,325.836,2.352,2073.465457
16 Dec 2019 17:25:15.000,326.004,2.391,2069.566014
16 Dec 2019 17:25:16.000,326.173,2.431,2065.682065
16 Dec 2019 17:25:17.000,326.343,2.470,2061.813699
16 Dec 2019 17:25:18.000,326.513,2.510,2057.961007
16 Dec 2019 17:25:19.000,326.684,2.549,2054.124085
16 Dec 2019 17:25:20.000,326.855,2.588,2050.303023
16 Dec 2019 17:25:21.000,327.027,2.627,2046.497917
16 Dec 2019 17:25:22.000,327.200,2.666,2042.708856
16 Dec 2019 17:25:23.000,327.374,2.705,2038.935939
16 Dec 2019 17:25:24.000,327.548,2.744,2035.179257
16 Dec 2019 17:25:25.000,327.723,2.783,2031.438904
16 Dec 2019 17:25:26.000,327.898,2.822,2027.714978
16 Dec 2019 17:25:27.000,328.074,2.860,2024.007572
16 Dec 2019 17:25:28.000,328.251,2.899,2020.316781
16 Dec 2019 17:25:29.000,328.428,2.937,2016.642700
16 Dec 2019 17:25:30.000,328.606,2.975,2012.985424
16 Dec 2019 17:25:31.000,328.784,3.014,2009.345051
16 Dec 2019 17:25:32.000,328.964,3.052,2005.721678
16 Dec 2019 17:25:33.000,329.144,3.090,2002.115399
16 Dec 2019 17:25:34.000,329.324,3.128,1998.526310
16 Dec 2019 17:25:35.000,329.505,3.166,1994.954511
16 Dec 2019 17:25:36.000,329.687,3.203,1991.400098
16 Dec 2019 17:25:37.000,329.870,3.241,1987.863168
16 Dec 2019 17:25:38.000,330.053,3.278,1984.343818
16 Dec 2019 17:25:39.000,330.237,3.316,1980.842147
16 Dec 2019 17:25:40.000,330.421,3.353,1977.358250
16 Dec 2019 17:25:41.000,330.606,3.390,1973.892229
16 Dec 2019 17:25:42.000,330.792,3.427,1970.444181
16 Dec 2019 17:25:43.000,330.978,3.464,1967.014205
16 Dec 2019 17:25:44.000,331.165,3.501,1963.602398
16 Dec 2019 17:25:45.000,331.353,3.538,1960.208860
16 Dec 2019 17:25:46.000,331.541,3.574,1956.833689
16 Dec 2019 17:25:47.000,331.730,3.611,1953.476983
16 Dec 2019 17:25:48.000,331.920,3.647,1950.138845
16 Dec 2019 17:25:49.000,332.110,3.683,1946.819373
16 Dec 2019 17:25:50.000,332.301,3.719,1943.518665
16 Dec 2019 17:25:51.000,332.493,3.755,1940.236821
16 Dec 2019 17:25:52.000,332.685,3.791,1936.973941
16 Dec 2019 17:25:53.000,332.878,3.827,1933.730125
16 Dec 2019 17:25:54.000,333.072,3.862,1930.505472
16 Dec 2019 17:25:55.000,333.266,3.897,1927.300083
16 Dec 2019 17:25:56.000,333.461,3.933,1924.114058
16 Dec 2019 17:25:57.000,333.656,3.968,1920.947495
16 Dec 2019 17:25:58.000,333.852,4.003,1917.800495
16 Dec 2019 17:25:59.000,334.049,4.038,1914.673160
16 Dec 2019 17:26:00.000,334.247,4.072,1911.565588
16 Dec 2019 17:26:01.000,334.445,4.107,1908.477880
16 Dec 2019 17:26:02.000,334.643,4.141,1905.410137
16 Dec 2019 17:26:03.000,334.843,4.175,1902.362457
16 Dec 2019 17:26:04.000,335.043,4.209,1899.334941
16 Dec 2019 17:26:05.000,335.244,4.243,1896.327690
16 Dec 2019 17:26:06.000,335.445,4.277,1893.340803
16 Dec 2019 17:26:07.000,335.647,4.310,1890.374380
16 Dec 2019 17:26:08.000,335.849,4.344,1887.428521
16 Dec 2019 17:26:09.000,336.053,4.377,1884.503326
16 Dec 2019 17:26:10.000,336.256,4.410,1881.598895
16 Dec 2019 17:26:11.000,336.461,4.443,1878.715327
16 Dec 2019 17:26:12.000,336.666,4.475,1875.852722
16 Dec 2019 17:26:13.000,336.872,4.508,1873.011180
16 Dec 2019 17:26:14.000,337.078,4.540,1870.190800
16 Dec 2019 17:26:15.000,337.285,4.572,1867.391680
