"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
16 Dec 2019 16:46:55.147,308.717,-0.056,2319.348187
16 Dec 2019 16:46:56.000,308.831,-0.019,2315.333252
16 Dec 2019 16:46:57.000,308.965,0.023,2310.638293
16 Dec 2019 16:46:58.000,309.100,0.065,2305.954029
16 Dec 2019 16:46:59.000,309.235,0.107,2301.280535
16 Dec 2019 16:47:00.000,309.371,0.150,2296.617877
16 Dec 2019 16:47:01.000,309.507,0.192,2291.966132
16 Dec 2019 16:47:02.000,309.644,0.234,2287.325365
16 Dec 2019 16:47:03.000,309.782,0.276,2282.695653
16 Dec 2019 16:47:04.000,309.920,0.318,2278.077071
16 Dec 2019 16:47:05.000,310.058,0.360,2273.469685
16 Dec 2019 16:47:06.000,310.197,0.403,2268.873575
16 Dec 2019 16:47:07.000,310.337,0.445,2264.288809
16 Dec 2019 16:47:08.000,310.477,0.487,2259.715467
16 Dec 2019 16:47:09.000,310.617,0.529,2255.153619
16 Dec 2019 16:47:10.000,310.759,0.571,2250.603343
16 Dec 2019 16:47:11.000,310.900,0.613,2246.064712
16 Dec 2019 16:47:12.000,311.043,0.655,2241.537805
16 Dec 2019 16:47:13.000,311.186,0.697,2237.022693
16 Dec 2019 16:47:14.000,311.329,0.739,2232.519460
16 Dec 2019 16:47:15.000,311.473,0.781,2228.028176
16 Dec 2019 16:47:16.000,311.618,0.823,2223.548924
16 Dec 2019 16:47:17.000,311.763,0.865,2219.081777
16 Dec 2019 16:47:18.000,311.909,0.907,2214.626818
16 Dec 2019 16:47:19.000,312.055,0.949,2210.184122
16 Dec 2019 16:47:20.000,312.202,0.990,2205.753771
16 Dec 2019 16:47:21.000,312.350,1.032,2201.335841
16 Dec 2019 16:47:22.000,312.498,1.074,2196.930417
16 Dec 2019 16:47:23.000,312.646,1.116,2192.537573
16 Dec 2019 16:47:24.000,312.796,1.158,2188.157396
16 Dec 2019 16:47:25.000,312.946,1.199,2183.789961
16 Dec 2019 16:47:26.000,313.096,1.241,2179.435356
16 Dec 2019 16:47:27.000,313.247,1.282,2175.093659
16 Dec 2019 16:47:28.000,313.399,1.324,2170.764951
16 Dec 2019 16:47:29.000,313.551,1.366,2166.449319
16 Dec 2019 16:47:30.000,313.704,1.407,2162.146841
16 Dec 2019 16:47:31.000,313.857,1.449,2157.857607
16 Dec 2019 16:47:32.000,314.011,1.490,2153.581694
16 Dec 2019 16:47:33.000,314.166,1.531,2149.319192
16 Dec 2019 16:47:34.000,314.321,1.573,2145.070181
16 Dec 2019 16:47:35.000,314.477,1.614,2140.834751
16 Dec 2019 16:47:36.000,314.634,1.655,2136.612985
16 Dec 2019 16:47:37.000,314.791,1.696,2132.404966
16 Dec 2019 16:47:38.000,314.948,1.738,2128.210786
16 Dec 2019 16:47:39.000,315.107,1.779,2124.030526
16 Dec 2019 16:47:40.000,315.265,1.820,2119.864279
16 Dec 2019 16:47:41.000,315.425,1.861,2115.712129
16 Dec 2019 16:47:42.000,315.585,1.902,2111.574162
16 Dec 2019 16:47:43.000,315.746,1.943,2107.450470
16 Dec 2019 16:47:44.000,315.907,1.984,2103.341141
16 Dec 2019 16:47:45.000,316.069,2.024,2099.246259
16 Dec 2019 16:47:46.000,316.232,2.065,2095.165921
16 Dec 2019 16:47:47.000,316.395,2.106,2091.100209
16 Dec 2019 16:47:48.000,316.559,2.146,2087.049221
16 Dec 2019 16:47:49.000,316.724,2.187,2083.013042
16 Dec 2019 16:47:50.000,316.889,2.227,2078.991763
16 Dec 2019 16:47:51.000,317.055,2.268,2074.985478
16 Dec 2019 16:47:52.000,317.221,2.308,2070.994276
16 Dec 2019 16:47:53.000,317.388,2.349,2067.018248
16 Dec 2019 16:47:54.000,317.556,2.389,2063.057491
16 Dec 2019 16:47:55.000,317.725,2.429,2059.112093
16 Dec 2019 16:47:56.000,317.894,2.469,2055.182147
16 Dec 2019 16:47:57.000,318.063,2.509,2051.267749
