"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Dec 2019 17:32:12.392,1 Dec 2019 17:39:06.680,414.288
2,1 Dec 2019 19:06:11.071,1 Dec 2019 19:16:55.368,644.296
3,1 Dec 2019 20:43:32.934,1 Dec 2019 20:53:11.063,578.129
4,1 Dec 2019 22:22:13.742,1 Dec 2019 22:29:51.725,457.983
5,1 Dec 2019 23:59:44.110,2 Dec 2019 00:08:11.295,507.185
6,2 Dec 2019 01:36:00.470,2 Dec 2019 01:46:31.454,630.984
7,2 Dec 2019 03:12:38.403,2 Dec 2019 03:22:36.379,597.976
8,2 Dec 2019 18:14:30.403,2 Dec 2019 18:24:53.834,623.431
9,2 Dec 2019 19:51:07.351,2 Dec 2019 20:01:20.275,612.924
10,2 Dec 2019 21:29:39.479,2 Dec 2019 21:37:43.261,483.782
11,2 Dec 2019 23:07:41.473,2 Dec 2019 23:15:34.175,472.702
12,3 Dec 2019 00:44:09.721,3 Dec 2019 00:54:11.705,601.984
13,3 Dec 2019 02:20:30.815,3 Dec 2019 02:31:06.886,636.071
14,3 Dec 2019 03:59:18.570,3 Dec 2019 04:03:48.390,269.820
15,3 Dec 2019 17:23:08.699,3 Dec 2019 17:32:40.817,572.118
16,3 Dec 2019 18:58:51.394,3 Dec 2019 19:09:28.331,636.937
17,3 Dec 2019 20:37:01.320,3 Dec 2019 20:45:42.471,521.151
18,3 Dec 2019 22:15:28.588,3 Dec 2019 22:23:01.093,452.505
19,3 Dec 2019 23:52:17.641,4 Dec 2019 00:01:41.569,563.928
20,4 Dec 2019 01:28:31.072,4 Dec 2019 01:39:18.462,647.389
21,4 Dec 2019 03:05:56.633,4 Dec 2019 03:13:51.416,474.782
22,4 Dec 2019 16:32:14.044,4 Dec 2019 16:40:07.613,473.569
23,4 Dec 2019 18:06:47.355,4 Dec 2019 18:17:33.000,645.645
24,4 Dec 2019 19:44:24.325,4 Dec 2019 19:53:46.533,562.208
25,4 Dec 2019 21:23:04.197,4 Dec 2019 21:30:36.228,452.031
26,4 Dec 2019 23:00:21.846,4 Dec 2019 23:09:04.233,522.387
27,5 Dec 2019 00:36:35.613,5 Dec 2019 00:47:14.137,638.524
28,5 Dec 2019 02:13:23.086,5 Dec 2019 02:22:56.445,573.359
29,5 Dec 2019 15:42:15.884,5 Dec 2019 15:46:44.177,268.293
30,5 Dec 2019 17:14:57.515,5 Dec 2019 17:25:31.729,634.214
31,5 Dec 2019 18:51:52.729,5 Dec 2019 19:01:52.692,599.963
32,5 Dec 2019 20:30:29.812,5 Dec 2019 20:38:21.207,471.396
33,5 Dec 2019 22:08:19.605,5 Dec 2019 22:16:23.907,484.302
34,5 Dec 2019 23:44:41.892,5 Dec 2019 23:54:56.131,614.239
35,6 Dec 2019 01:21:08.057,6 Dec 2019 01:31:32.718,624.660
36,6 Dec 2019 16:23:24.956,6 Dec 2019 16:33:20.908,595.951
37,6 Dec 2019 17:59:29.765,6 Dec 2019 18:09:58.562,628.797
38,6 Dec 2019 19:37:49.545,6 Dec 2019 19:46:14.843,505.299
39,6 Dec 2019 21:16:08.040,6 Dec 2019 21:23:45.664,457.624
40,6 Dec 2019 22:52:47.708,6 Dec 2019 23:02:26.699,578.991
41,7 Dec 2019 00:29:02.869,7 Dec 2019 00:39:48.269,645.400
42,7 Dec 2019 02:06:51.216,7 Dec 2019 02:13:46.471,415.255
43,7 Dec 2019 15:32:15.502,7 Dec 2019 15:40:54.123,518.621
44,7 Dec 2019 17:07:17.914,7 Dec 2019 17:18:01.909,643.995
45,7 Dec 2019 18:45:08.533,7 Dec 2019 18:54:14.470,545.936
46,7 Dec 2019 20:23:45.142,7 Dec 2019 20:31:14.288,449.145
47,7 Dec 2019 22:00:50.766,7 Dec 2019 22:09:48.686,537.920
48,7 Dec 2019 23:37:03.188,7 Dec 2019 23:47:46.848,643.659
49,8 Dec 2019 01:14:02.472,8 Dec 2019 01:23:04.670,542.198
50,8 Dec 2019 14:41:45.273,8 Dec 2019 14:47:54.620,369.347
51,8 Dec 2019 16:15:19.390,8 Dec 2019 16:26:00.352,640.962
52,8 Dec 2019 17:52:31.421,8 Dec 2019 18:02:17.234,585.814
53,8 Dec 2019 19:31:11.246,8 Dec 2019 19:38:52.539,461.293
54,8 Dec 2019 21:08:48.449,8 Dec 2019 21:17:05.928,497.479
55,8 Dec 2019 22:45:06.174,8 Dec 2019 22:55:30.883,624.710
56,9 Dec 2019 00:21:38.835,9 Dec 2019 00:31:47.745,608.910
57,9 Dec 2019 15:23:36.841,9 Dec 2019 15:33:50.803,613.963
58,9 Dec 2019 17:00:01.843,9 Dec 2019 17:10:20.586,618.743
59,9 Dec 2019 18:38:29.637,9 Dec 2019 18:46:40.208,490.571
60,9 Dec 2019 20:16:37.854,9 Dec 2019 20:24:23.256,465.402
61,9 Dec 2019 21:53:09.534,9 Dec 2019 22:03:02.535,593.001
62,9 Dec 2019 23:29:27.603,9 Dec 2019 23:40:07.744,640.141
63,10 Dec 2019 01:07:47.591,10 Dec 2019 01:13:22.783,335.192
64,10 Dec 2019 14:32:14.696,10 Dec 2019 14:41:28.245,553.549
65,10 Dec 2019 16:07:42.529,10 Dec 2019 16:18:22.254,639.725
66,10 Dec 2019 17:45:45.297,10 Dec 2019 17:54:35.003,529.706
67,10 Dec 2019 19:24:16.453,10 Dec 2019 19:31:45.801,449.348
68,10 Dec 2019 21:01:11.035,10 Dec 2019 21:10:24.397,553.362
69,10 Dec 2019 22:37:23.302,10 Dec 2019 22:48:09.533,646.231
70,11 Dec 2019 00:14:37.291,11 Dec 2019 00:23:00.396,503.105
71,11 Dec 2019 13:41:23.282,11 Dec 2019 13:48:41.726,438.443
72,11 Dec 2019 15:15:35.730,11 Dec 2019 15:26:19.967,644.237
73,11 Dec 2019 16:53:03.209,11 Dec 2019 17:02:34.003,570.794
74,11 Dec 2019 18:31:43.515,11 Dec 2019 18:39:17.308,453.793
75,11 Dec 2019 20:09:08.189,11 Dec 2019 20:17:39.905,511.716
76,11 Dec 2019 21:45:22.658,11 Dec 2019 21:55:55.871,633.213
77,11 Dec 2019 23:22:03.440,11 Dec 2019 23:31:51.747,588.307
78,12 Dec 2019 12:51:55.217,12 Dec 2019 12:54:38.036,162.820
79,12 Dec 2019 14:23:43.848,12 Dec 2019 14:34:10.964,627.116
80,12 Dec 2019 16:00:27.427,12 Dec 2019 16:10:34.516,607.089
81,12 Dec 2019 17:39:01.283,12 Dec 2019 17:46:58.695,477.412
82,12 Dec 2019 19:16:58.158,12 Dec 2019 19:24:53.579,475.421
83,12 Dec 2019 20:53:23.237,12 Dec 2019 21:03:28.955,605.717
84,12 Dec 2019 22:29:45.428,12 Dec 2019 22:40:16.805,631.377
85,13 Dec 2019 00:08:57.054,13 Dec 2019 00:12:29.103,212.049
86,13 Dec 2019 13:32:10.412,13 Dec 2019 13:41:51.164,580.752
87,13 Dec 2019 15:08:00.989,13 Dec 2019 15:18:34.187,633.198
88,13 Dec 2019 16:46:14.331,13 Dec 2019 16:54:48.245,513.913
89,13 Dec 2019 18:24:38.097,13 Dec 2019 18:32:10.614,452.517
90,13 Dec 2019 20:01:22.813,13 Dec 2019 20:10:51.152,568.339
91,13 Dec 2019 21:37:36.058,13 Dec 2019 21:48:22.131,646.073
92,13 Dec 2019 23:15:08.677,13 Dec 2019 23:22:42.527,453.850
93,14 Dec 2019 12:41:02.637,14 Dec 2019 12:49:12.730,490.093
94,14 Dec 2019 14:15:46.289,14 Dec 2019 14:26:30.762,644.473
95,14 Dec 2019 15:53:27.854,14 Dec 2019 16:02:43.114,555.259
96,14 Dec 2019 17:32:06.417,14 Dec 2019 17:39:35.528,449.112
97,14 Dec 2019 19:09:19.009,14 Dec 2019 19:18:05.557,526.547
98,14 Dec 2019 20:45:31.448,14 Dec 2019 20:56:11.038,639.590
99,14 Dec 2019 22:22:22.223,14 Dec 2019 22:31:44.417,562.194
100,15 Dec 2019 11:50:44.085,15 Dec 2019 11:55:51.490,307.405
101,15 Dec 2019 13:23:45.595,15 Dec 2019 13:34:21.726,636.131
102,15 Dec 2019 15:00:46.309,15 Dec 2019 15:10:40.467,594.158
103,15 Dec 2019 16:39:24.196,15 Dec 2019 16:47:10.394,466.197
104,15 Dec 2019 18:17:09.096,15 Dec 2019 18:25:16.314,487.219
105,15 Dec 2019 19:53:28.929,15 Dec 2019 20:03:45.831,616.902
106,15 Dec 2019 21:29:56.512,15 Dec 2019 21:40:15.321,618.809
107,16 Dec 2019 12:32:01.858,16 Dec 2019 12:42:03.629,601.770
108,16 Dec 2019 14:08:13.111,16 Dec 2019 14:18:37.820,624.709
109,16 Dec 2019 15:46:35.363,16 Dec 2019 15:54:54.315,498.952
110,16 Dec 2019 17:24:50.106,16 Dec 2019 17:32:28.508,458.402
111,16 Dec 2019 19:01:26.242,16 Dec 2019 19:11:08.767,582.525
112,16 Dec 2019 20:37:41.565,16 Dec 2019 20:48:24.574,643.009
113,16 Dec 2019 22:15:38.667,16 Dec 2019 22:22:09.075,390.409
114,17 Dec 2019 11:40:40.436,17 Dec 2019 11:49:30.497,530.060
115,17 Dec 2019 13:15:50.849,17 Dec 2019 13:26:32.907,642.058
116,17 Dec 2019 14:53:45.110,17 Dec 2019 15:02:44.674,539.563

