"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,16 Dec 2019 17:27:55.648,16 Dec 2019 17:35:36.335,460.687
2,16 Dec 2019 19:04:29.872,16 Dec 2019 19:14:16.429,586.557
3,16 Dec 2019 20:40:46.180,16 Dec 2019 20:51:28.196,642.016
4,16 Dec 2019 22:18:51.572,16 Dec 2019 22:25:01.850,370.278
5,17 Dec 2019 11:43:40.723,17 Dec 2019 11:52:39.995,539.272
6,17 Dec 2019 13:18:58.136,17 Dec 2019 13:29:38.981,640.845
7,17 Dec 2019 14:56:55.858,17 Dec 2019 15:05:51.065,535.207
8,17 Dec 2019 16:35:29.246,17 Dec 2019 16:42:56.806,447.560
9,17 Dec 2019 18:12:27.754,17 Dec 2019 18:21:33.748,545.994
10,17 Dec 2019 19:48:39.487,17 Dec 2019 19:59:24.221,644.734
11,17 Dec 2019 21:25:46.652,17 Dec 2019 21:34:26.306,519.654
12,18 Dec 2019 10:52:53.278,18 Dec 2019 10:59:44.389,411.111
13,18 Dec 2019 12:26:50.406,18 Dec 2019 12:37:32.795,642.390
14,18 Dec 2019 14:04:11.356,18 Dec 2019 14:13:47.465,576.110
15,18 Dec 2019 15:42:51.529,18 Dec 2019 15:50:26.801,455.272
16,18 Dec 2019 17:20:20.993,18 Dec 2019 17:28:45.484,504.491
17,18 Dec 2019 18:56:36.195,18 Dec 2019 19:07:05.245,629.049
18,18 Dec 2019 20:33:12.990,18 Dec 2019 20:43:09.857,596.867
19,19 Dec 2019 11:34:58.228,19 Dec 2019 11:45:19.485,621.258
20,19 Dec 2019 13:11:33.865,19 Dec 2019 13:21:45.124,611.259
21,19 Dec 2019 14:50:05.208,19 Dec 2019 14:58:06.749,481.541
22,19 Dec 2019 16:28:06.685,19 Dec 2019 16:35:56.327,469.642
23,19 Dec 2019 18:04:33.920,19 Dec 2019 18:14:33.451,599.531
24,19 Dec 2019 19:40:53.816,19 Dec 2019 19:51:28.605,634.789
25,19 Dec 2019 21:19:39.280,19 Dec 2019 21:24:11.161,271.881
26,20 Dec 2019 10:43:25.497,20 Dec 2019 10:52:54.585,569.088
27,20 Dec 2019 12:19:06.308,20 Dec 2019 12:29:41.716,635.408
28,20 Dec 2019 13:57:15.113,20 Dec 2019 14:05:54.622,519.509
29,20 Dec 2019 15:35:42.062,20 Dec 2019 15:43:11.527,449.466
30,20 Dec 2019 17:12:30.423,20 Dec 2019 17:21:51.319,560.897
31,20 Dec 2019 18:48:42.697,20 Dec 2019 18:59:28.355,645.658
32,20 Dec 2019 20:26:06.423,20 Dec 2019 20:34:02.139,475.716
33,21 Dec 2019 09:52:20.625,21 Dec 2019 10:00:09.045,468.420
34,21 Dec 2019 11:26:51.017,21 Dec 2019 11:37:34.963,643.945
35,21 Dec 2019 13:04:26.419,21 Dec 2019 13:13:47.505,561.085
36,21 Dec 2019 14:43:05.851,21 Dec 2019 14:50:35.341,449.490
37,21 Dec 2019 16:20:23.260,21 Dec 2019 16:29:02.111,518.851
38,21 Dec 2019 17:56:36.016,21 Dec 2019 18:07:12.184,636.169
39,21 Dec 2019 19:33:21.842,21 Dec 2019 19:42:55.380,573.537
40,22 Dec 2019 09:02:15.534,22 Dec 2019 09:06:30.343,254.809
41,22 Dec 2019 10:34:50.325,22 Dec 2019 10:45:22.244,631.919
42,22 Dec 2019 12:11:43.437,22 Dec 2019 12:21:42.578,599.141
43,22 Dec 2019 13:50:19.666,22 Dec 2019 13:58:09.349,469.683
44,22 Dec 2019 15:28:09.626,22 Dec 2019 15:36:10.174,480.548
45,22 Dec 2019 17:04:31.191,22 Dec 2019 17:14:42.356,611.165
46,22 Dec 2019 18:40:55.885,22 Dec 2019 18:51:19.907,624.022
47,22 Dec 2019 20:21:17.016,22 Dec 2019 20:22:16.167,59.151
