"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Feb 2020 17:17:32.547,3 Feb 2020 17:28:02.442,629.895
2,3 Feb 2020 18:54:18.063,3 Feb 2020 19:04:16.615,598.552
3,3 Feb 2020 20:32:48.187,3 Feb 2020 20:40:35.638,467.451
4,3 Feb 2020 22:10:33.665,3 Feb 2020 22:18:28.004,474.339
5,3 Feb 2020 23:46:49.495,3 Feb 2020 23:56:54.192,604.697
6,4 Feb 2020 01:23:07.362,4 Feb 2020 01:33:27.368,620.006
7,4 Feb 2020 03:03:07.085,4 Feb 2020 03:04:33.912,86.827
8,4 Feb 2020 16:24:20.276,4 Feb 2020 16:34:06.641,586.364
9,4 Feb 2020 18:00:11.314,4 Feb 2020 18:10:39.749,628.435
10,4 Feb 2020 19:38:21.542,4 Feb 2020 19:46:47.009,505.467
11,4 Feb 2020 21:16:36.847,4 Feb 2020 21:24:05.097,448.251
12,4 Feb 2020 22:53:12.185,4 Feb 2020 23:02:38.732,566.547
13,5 Feb 2020 00:29:19.229,5 Feb 2020 00:39:58.610,639.381
14,5 Feb 2020 02:06:52.366,5 Feb 2020 02:14:02.015,429.648
15,5 Feb 2020 15:31:34.991,5 Feb 2020 15:39:50.970,495.978
16,5 Feb 2020 17:06:16.996,5 Feb 2020 17:16:59.269,642.273
17,5 Feb 2020 18:43:54.446,5 Feb 2020 18:53:04.197,549.752
18,5 Feb 2020 20:22:26.641,5 Feb 2020 20:29:50.214,443.573
19,5 Feb 2020 21:59:31.002,5 Feb 2020 22:08:13.795,522.792
20,5 Feb 2020 23:35:36.444,5 Feb 2020 23:46:10.804,634.361
21,6 Feb 2020 01:12:22.367,6 Feb 2020 01:21:33.989,551.622
22,6 Feb 2020 14:39:41.976,6 Feb 2020 14:44:49.419,307.443
23,6 Feb 2020 16:12:37.783,6 Feb 2020 16:23:12.255,634.472
24,6 Feb 2020 17:49:32.255,6 Feb 2020 17:59:23.822,591.567
25,6 Feb 2020 19:28:04.080,6 Feb 2020 19:35:46.015,461.934
26,6 Feb 2020 21:05:42.737,6 Feb 2020 21:13:44.176,481.439
27,6 Feb 2020 22:41:55.753,6 Feb 2020 22:52:06.743,610.990
28,7 Feb 2020 00:18:16.610,7 Feb 2020 00:28:29.579,612.969
29,7 Feb 2020 15:19:17.124,7 Feb 2020 15:29:14.681,597.557
30,7 Feb 2020 16:55:19.023,7 Feb 2020 17:05:42.969,623.946
31,7 Feb 2020 18:33:33.763,7 Feb 2020 18:41:51.467,497.704
32,7 Feb 2020 20:11:43.874,7 Feb 2020 20:19:15.857,451.983
33,7 Feb 2020 21:48:14.478,7 Feb 2020 21:57:49.081,574.604
34,7 Feb 2020 23:24:22.580,7 Feb 2020 23:35:00.521,637.940
35,8 Feb 2020 01:02:09.114,8 Feb 2020 01:08:44.057,394.943
36,8 Feb 2020 14:26:21.560,8 Feb 2020 14:34:59.317,517.757
37,8 Feb 2020 16:01:17.789,8 Feb 2020 16:11:58.982,641.194
38,8 Feb 2020 17:39:01.851,8 Feb 2020 17:48:03.422,541.572
39,8 Feb 2020 19:17:31.795,8 Feb 2020 19:24:54.689,442.894
40,8 Feb 2020 20:54:29.873,8 Feb 2020 21:03:21.147,531.274
41,8 Feb 2020 22:30:34.677,8 Feb 2020 22:41:11.689,637.012
42,9 Feb 2020 00:07:26.914,9 Feb 2020 00:16:21.746,534.832
43,9 Feb 2020 13:34:10.123,9 Feb 2020 13:40:06.389,356.266
44,9 Feb 2020 15:07:31.206,9 Feb 2020 15:18:09.037,637.832
45,9 Feb 2020 16:44:33.968,9 Feb 2020 16:54:18.442,584.475
46,9 Feb 2020 18:23:06.833,9 Feb 2020 18:30:44.044,457.211
47,9 Feb 2020 20:00:38.796,9 Feb 2020 20:08:47.503,488.707
48,9 Feb 2020 21:36:49.431,9 Feb 2020 21:47:06.047,616.616
49,9 Feb 2020 23:13:13.553,9 Feb 2020 23:23:18.548,604.995
50,10 Feb 2020 14:14:02.495,10 Feb 2020 14:24:09.387,606.892
51,10 Feb 2020 15:50:14.434,10 Feb 2020 16:00:33.486,619.052
52,10 Feb 2020 17:28:33.044,10 Feb 2020 17:36:43.499,490.455
53,10 Feb 2020 19:06:37.719,10 Feb 2020 19:14:13.999,456.280
54,10 Feb 2020 20:43:04.082,10 Feb 2020 20:52:46.225,582.143
55,10 Feb 2020 22:19:13.490,10 Feb 2020 22:29:49.213,635.723
56,10 Feb 2020 23:57:15.508,11 Feb 2020 00:03:11.091,355.584
57,11 Feb 2020 13:20:57.374,11 Feb 2020 13:29:53.616,536.242
58,11 Feb 2020 14:56:06.443,11 Feb 2020 15:06:45.875,639.432
59,11 Feb 2020 16:33:56.522,11 Feb 2020 16:42:50.136,533.614
60,11 Feb 2020 18:12:23.699,11 Feb 2020 18:19:46.713,443.013
61,11 Feb 2020 19:49:15.923,11 Feb 2020 19:58:15.388,539.465
62,11 Feb 2020 21:25:20.388,11 Feb 2020 21:35:59.345,638.957
63,11 Feb 2020 23:02:19.458,11 Feb 2020 23:10:56.045,516.587
64,12 Feb 2020 12:28:30.892,12 Feb 2020 12:35:05.941,395.049
65,12 Feb 2020 14:02:12.690,12 Feb 2020 14:12:52.829,640.139
66,12 Feb 2020 15:39:23.125,12 Feb 2020 15:49:00.443,577.318
67,12 Feb 2020 17:17:56.410,12 Feb 2020 17:25:29.656,453.246
68,12 Feb 2020 18:55:21.868,12 Feb 2020 19:03:37.891,496.024
69,12 Feb 2020 20:31:30.505,12 Feb 2020 20:41:52.112,621.607
70,12 Feb 2020 22:07:58.166,12 Feb 2020 22:17:54.287,596.121
71,13 Feb 2020 13:08:36.223,13 Feb 2020 13:18:50.821,614.597
72,13 Feb 2020 14:44:57.443,13 Feb 2020 14:55:11.295,613.852
73,13 Feb 2020 16:23:19.315,13 Feb 2020 16:31:23.063,483.748
74,13 Feb 2020 18:01:18.409,13 Feb 2020 18:08:59.416,461.006
75,13 Feb 2020 19:37:40.994,13 Feb 2020 19:47:30.133,589.139
76,13 Feb 2020 21:13:51.933,13 Feb 2020 21:24:24.703,632.770
77,13 Feb 2020 22:52:12.295,13 Feb 2020 22:57:22.339,310.044
78,14 Feb 2020 12:15:22.108,14 Feb 2020 12:24:34.095,551.987
79,14 Feb 2020 13:50:42.860,14 Feb 2020 14:01:19.939,637.079
80,14 Feb 2020 15:28:38.373,14 Feb 2020 15:37:24.290,525.916
81,14 Feb 2020 17:07:02.362,14 Feb 2020 17:14:26.185,443.822
82,14 Feb 2020 18:43:49.161,14 Feb 2020 18:52:56.471,547.310
83,14 Feb 2020 20:19:53.548,14 Feb 2020 20:30:33.769,640.221
84,14 Feb 2020 21:56:59.999,14 Feb 2020 22:05:16.865,496.867
85,15 Feb 2020 11:22:42.695,15 Feb 2020 11:29:49.566,426.871
86,15 Feb 2020 12:56:42.118,15 Feb 2020 13:07:23.649,641.530
87,15 Feb 2020 14:33:59.640,15 Feb 2020 14:43:29.801,570.160
88,15 Feb 2020 16:12:32.779,15 Feb 2020 16:20:02.777,449.999
89,15 Feb 2020 17:49:51.979,15 Feb 2020 17:58:15.259,503.280
90,15 Feb 2020 19:25:58.955,15 Feb 2020 19:36:24.914,625.960
91,15 Feb 2020 21:02:30.405,15 Feb 2020 21:12:16.803,586.398
92,16 Feb 2020 10:32:23.536,16 Feb 2020 10:32:50.966,27.429
93,16 Feb 2020 12:02:58.142,16 Feb 2020 12:13:19.047,620.905
94,16 Feb 2020 13:39:27.968,16 Feb 2020 13:49:36.367,608.399
95,16 Feb 2020 15:17:52.524,16 Feb 2020 15:25:50.109,477.586
96,16 Feb 2020 16:55:45.977,16 Feb 2020 17:03:32.008,466.030
97,16 Feb 2020 18:32:05.203,16 Feb 2020 18:42:00.791,595.588
98,16 Feb 2020 20:08:17.879,16 Feb 2020 20:18:46.997,629.118
99,16 Feb 2020 21:47:00.951,16 Feb 2020 21:51:16.297,255.346
100,17 Feb 2020 11:09:35.519,17 Feb 2020 11:19:00.911,565.392
101,17 Feb 2020 12:45:06.946,17 Feb 2020 12:55:41.171,634.225
102,17 Feb 2020 14:23:07.339,17 Feb 2020 14:31:45.850,518.511
103,17 Feb 2020 16:01:27.786,17 Feb 2020 16:08:53.013,445.227
104,17 Feb 2020 17:38:09.585,17 Feb 2020 17:47:24.348,554.763
105,17 Feb 2020 19:14:14.129,17 Feb 2020 19:24:54.967,640.838
106,17 Feb 2020 20:51:28.551,17 Feb 2020 20:59:24.152,475.601
107,18 Feb 2020 10:16:44.619,18 Feb 2020 10:24:18.101,453.482
108,18 Feb 2020 11:50:59.381,18 Feb 2020 12:01:41.499,642.118
109,18 Feb 2020 13:28:23.435,18 Feb 2020 13:37:46.488,563.053
110,18 Feb 2020 15:06:55.925,18 Feb 2020 15:14:23.344,447.420

