"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,7 Jan 2020 03:07:20.376,7 Jan 2020 03:13:08.506,348.130
2,7 Jan 2020 04:40:41.839,7 Jan 2020 04:51:19.113,637.273
3,7 Jan 2020 06:17:41.704,7 Jan 2020 06:27:38.664,596.960
4,7 Jan 2020 07:56:04.656,7 Jan 2020 08:04:16.613,491.957
5,7 Jan 2020 09:33:35.442,7 Jan 2020 09:42:19.061,523.619
6,7 Jan 2020 11:09:56.266,7 Jan 2020 11:20:25.907,629.641
7,7 Jan 2020 12:46:33.124,7 Jan 2020 12:56:27.248,594.124
8,8 Jan 2020 03:48:42.668,8 Jan 2020 03:58:49.151,606.482
9,8 Jan 2020 05:24:56.268,8 Jan 2020 05:35:21.398,625.130
10,8 Jan 2020 07:03:07.731,8 Jan 2020 07:11:44.381,516.651
11,8 Jan 2020 08:41:05.013,8 Jan 2020 08:49:21.380,496.367
12,8 Jan 2020 10:17:38.879,8 Jan 2020 10:27:42.648,603.768
13,8 Jan 2020 11:54:00.562,8 Jan 2020 12:04:32.420,631.858
14,8 Jan 2020 13:32:36.605,8 Jan 2020 13:37:21.472,284.867
15,9 Jan 2020 02:57:04.763,9 Jan 2020 03:06:05.800,541.037
16,9 Jan 2020 04:32:20.977,9 Jan 2020 04:43:02.760,641.783
17,9 Jan 2020 06:10:08.583,9 Jan 2020 06:19:18.832,550.249
18,9 Jan 2020 07:48:25.104,9 Jan 2020 07:56:27.976,482.873
19,9 Jan 2020 09:25:19.755,9 Jan 2020 09:34:49.999,570.244
20,9 Jan 2020 11:01:35.596,9 Jan 2020 11:12:19.012,643.415
21,9 Jan 2020 12:38:55.584,9 Jan 2020 12:46:54.099,478.516
22,10 Jan 2020 02:05:59.982,10 Jan 2020 02:12:56.650,416.669
23,10 Jan 2020 03:39:58.279,10 Jan 2020 03:50:40.359,642.080
24,10 Jan 2020 05:17:11.744,10 Jan 2020 05:26:57.503,585.758
25,10 Jan 2020 06:55:35.368,10 Jan 2020 07:03:42.144,486.776
26,10 Jan 2020 08:32:56.495,10 Jan 2020 08:41:51.350,534.855
27,10 Jan 2020 10:09:14.607,10 Jan 2020 10:19:50.226,635.619
28,10 Jan 2020 11:45:59.243,10 Jan 2020 11:55:32.341,573.098
29,11 Jan 2020 01:17:00.485,11 Jan 2020 01:17:49.016,48.531
30,11 Jan 2020 02:47:50.827,11 Jan 2020 02:58:11.265,620.438
31,11 Jan 2020 04:24:21.109,11 Jan 2020 04:34:37.900,616.791
32,11 Jan 2020 06:02:37.853,11 Jan 2020 06:11:04.890,507.038
33,11 Jan 2020 07:40:26.544,11 Jan 2020 07:48:50.908,504.364
34,11 Jan 2020 09:16:54.975,11 Jan 2020 09:27:08.510,613.536
35,11 Jan 2020 10:53:20.531,11 Jan 2020 11:03:42.701,622.170
36,11 Jan 2020 12:33:01.933,11 Jan 2020 12:35:16.314,134.382
37,12 Jan 2020 01:56:02.627,12 Jan 2020 02:05:31.003,568.376
38,12 Jan 2020 03:31:39.752,12 Jan 2020 03:42:17.690,637.937
39,12 Jan 2020 05:09:36.560,12 Jan 2020 05:18:35.041,538.482
40,12 Jan 2020 06:47:47.639,12 Jan 2020 06:55:53.280,485.641
41,12 Jan 2020 08:24:34.375,12 Jan 2020 08:34:16.406,582.031
42,12 Jan 2020 10:00:51.143,12 Jan 2020 10:11:32.916,641.773
43,12 Jan 2020 11:38:29.489,12 Jan 2020 11:45:38.974,429.485
44,13 Jan 2020 01:04:42.073,13 Jan 2020 01:12:30.632,468.559
45,13 Jan 2020 02:39:10.198,13 Jan 2020 02:49:54.556,644.358
46,13 Jan 2020 04:16:36.094,13 Jan 2020 04:26:10.279,574.185
47,13 Jan 2020 05:54:58.749,13 Jan 2020 06:03:02.350,483.600
48,13 Jan 2020 07:32:10.455,13 Jan 2020 07:41:17.037,546.581
49,13 Jan 2020 09:08:26.809,13 Jan 2020 09:19:06.758,639.950
50,13 Jan 2020 10:45:20.914,13 Jan 2020 10:54:28.230,547.316
51,14 Jan 2020 00:14:20.302,14 Jan 2020 00:18:38.471,258.169
52,14 Jan 2020 01:46:54.956,14 Jan 2020 01:57:25.811,630.855
53,14 Jan 2020 03:23:40.636,14 Jan 2020 03:33:48.067,607.431
54,14 Jan 2020 05:02:01.108,14 Jan 2020 05:10:19.943,498.835
55,14 Jan 2020 06:39:40.700,14 Jan 2020 06:48:14.369,513.670
56,14 Jan 2020 08:16:04.660,14 Jan 2020 08:26:26.840,622.180
57,14 Jan 2020 09:52:35.198,14 Jan 2020 10:02:44.538,609.341
58,15 Jan 2020 00:54:57.407,15 Jan 2020 01:04:47.650,590.243
59,15 Jan 2020 02:30:53.515,15 Jan 2020 02:41:26.024,632.509
60,15 Jan 2020 04:08:58.192,15 Jan 2020 04:17:45.539,527.347
61,15 Jan 2020 05:47:02.645,15 Jan 2020 05:55:12.985,490.340
62,15 Jan 2020 07:23:42.311,15 Jan 2020 07:33:35.600,593.289
63,15 Jan 2020 09:00:00.937,15 Jan 2020 09:10:38.724,637.787
64,15 Jan 2020 10:38:03.358,15 Jan 2020 10:44:10.360,367.002
65,16 Jan 2020 00:03:23.841,16 Jan 2020 00:11:53.248,509.407
66,16 Jan 2020 01:38:17.425,16 Jan 2020 01:49:01.836,644.410
67,16 Jan 2020 03:15:54.584,16 Jan 2020 03:25:17.061,562.477
68,16 Jan 2020 04:54:14.714,16 Jan 2020 05:02:17.179,482.465
69,16 Jan 2020 06:31:17.444,16 Jan 2020 06:40:35.944,558.500
70,16 Jan 2020 08:07:32.946,16 Jan 2020 08:18:15.450,642.505
71,16 Jan 2020 09:44:38.571,16 Jan 2020 09:53:14.509,515.938
72,16 Jan 2020 23:12:32.240,16 Jan 2020 23:18:24.072,351.832
73,17 Jan 2020 00:45:54.809,17 Jan 2020 00:56:32.995,638.187
74,17 Jan 2020 02:22:54.688,17 Jan 2020 02:32:51.979,597.291
75,17 Jan 2020 04:01:17.324,17 Jan 2020 04:09:29.579,492.256
76,17 Jan 2020 05:38:47.579,17 Jan 2020 05:47:31.566,523.988
77,17 Jan 2020 07:15:08.021,17 Jan 2020 07:25:37.555,629.534
78,17 Jan 2020 08:51:44.741,17 Jan 2020 09:01:37.781,593.040
79,17 Jan 2020 23:53:48.615,18 Jan 2020 00:03:56.190,607.575
80,18 Jan 2020 01:30:02.143,18 Jan 2020 01:40:27.835,625.692
81,18 Jan 2020 03:08:13.303,18 Jan 2020 03:16:50.395,517.093
82,18 Jan 2020 04:46:10.164,18 Jan 2020 04:54:26.923,496.759
83,18 Jan 2020 06:22:43.668,18 Jan 2020 06:32:47.470,603.802
84,18 Jan 2020 07:59:05.069,18 Jan 2020 08:09:36.386,631.317
85,18 Jan 2020 09:37:41.704,18 Jan 2020 09:42:23.763,282.059
86,18 Jan 2020 23:02:03.811,18 Jan 2020 23:11:05.947,542.136
87,19 Jan 2020 00:37:19.808,19 Jan 2020 00:48:02.312,642.504
88,19 Jan 2020 02:15:07.049,19 Jan 2020 02:24:17.929,550.881
89,19 Jan 2020 03:53:23.205,19 Jan 2020 04:01:26.561,483.355
90,19 Jan 2020 05:30:17.563,19 Jan 2020 05:39:47.912,570.349
91,19 Jan 2020 07:06:33.089,19 Jan 2020 07:17:16.238,643.149
92,19 Jan 2020 08:43:52.846,19 Jan 2020 08:51:50.582,477.736
93,19 Jan 2020 22:10:52.290,19 Jan 2020 22:17:49.806,417.516
94,19 Jan 2020 23:44:50.170,19 Jan 2020 23:55:33.001,642.830
95,20 Jan 2020 01:22:03.131,20 Jan 2020 01:31:49.704,586.574
96,20 Jan 2020 03:00:26.362,20 Jan 2020 03:08:33.803,487.441
97,20 Jan 2020 04:37:47.285,20 Jan 2020 04:46:42.308,535.023
98,20 Jan 2020 06:14:05.124,20 Jan 2020 06:24:40.592,635.468
99,20 Jan 2020 07:50:49.367,20 Jan 2020 08:00:22.246,572.880
100,20 Jan 2020 21:21:47.592,20 Jan 2020 21:22:33.699,46.107
101,20 Jan 2020 22:52:35.905,20 Jan 2020 23:02:56.939,621.034
102,21 Jan 2020 00:29:05.485,21 Jan 2020 00:39:23.202,617.717
103,21 Jan 2020 02:07:21.712,21 Jan 2020 02:15:49.661,507.949
104,21 Jan 2020 03:45:10.262,21 Jan 2020 03:53:34.910,504.647
105,21 Jan 2020 05:21:38.516,21 Jan 2020 05:31:51.924,613.408
106,21 Jan 2020 06:58:03.659,21 Jan 2020 07:08:25.808,622.149
107,21 Jan 2020 08:37:43.140,21 Jan 2020 08:40:00.614,137.474

