"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Feb 2020 17:17:34.525,3 Feb 2020 17:27:47.955,613.430
2,3 Feb 2020 18:53:52.664,3 Feb 2020 19:04:11.295,618.631
3,3 Feb 2020 20:32:02.099,3 Feb 2020 20:40:30.726,508.627
4,3 Feb 2020 22:09:49.281,3 Feb 2020 22:18:07.063,497.781
5,3 Feb 2020 23:46:14.513,3 Feb 2020 23:56:20.826,606.313
6,4 Feb 2020 01:22:32.892,4 Feb 2020 01:32:56.449,623.557
7,4 Feb 2020 03:01:34.312,4 Feb 2020 03:05:03.823,209.512
8,4 Feb 2020 16:24:33.484,4 Feb 2020 16:33:45.890,552.406
9,4 Feb 2020 17:59:53.950,4 Feb 2020 18:10:32.500,638.550
10,4 Feb 2020 19:37:40.424,4 Feb 2020 19:46:43.323,542.899
11,4 Feb 2020 21:15:49.414,4 Feb 2020 21:23:50.487,481.073
12,4 Feb 2020 22:52:35.058,4 Feb 2020 23:02:07.439,572.380
13,5 Feb 2020 00:28:45.723,5 Feb 2020 00:39:25.611,639.888
14,5 Feb 2020 02:06:07.812,5 Feb 2020 02:13:43.197,455.385
15,5 Feb 2020 15:32:05.288,5 Feb 2020 15:39:17.886,432.598
16,5 Feb 2020 17:06:08.027,5 Feb 2020 17:16:49.374,641.347
17,5 Feb 2020 18:43:19.989,5 Feb 2020 18:53:00.305,580.316
18,5 Feb 2020 20:21:38.089,5 Feb 2020 20:29:41.183,483.094
19,5 Feb 2020 21:58:50.873,5 Feb 2020 22:07:46.277,535.404
20,5 Feb 2020 23:35:02.824,5 Feb 2020 23:45:36.895,634.070
21,6 Feb 2020 01:11:44.617,6 Feb 2020 01:21:07.566,562.949
22,6 Feb 2020 14:41:19.358,6 Feb 2020 14:43:13.909,114.551
23,6 Feb 2020 16:12:37.880,6 Feb 2020 16:22:58.653,620.773
24,6 Feb 2020 17:49:05.353,6 Feb 2020 17:59:18.801,613.448
25,6 Feb 2020 19:27:17.320,6 Feb 2020 19:35:40.642,503.322
26,6 Feb 2020 21:04:59.048,6 Feb 2020 21:13:22.064,503.016
27,6 Feb 2020 22:41:21.081,6 Feb 2020 22:51:33.155,612.075
28,7 Feb 2020 00:17:41.794,7 Feb 2020 00:27:59.205,617.410
29,7 Feb 2020 01:57:43.791,7 Feb 2020 01:58:59.756,75.965
30,7 Feb 2020 15:19:27.946,7 Feb 2020 15:28:55.399,567.453
31,7 Feb 2020 16:55:00.124,7 Feb 2020 17:05:36.131,636.007
32,7 Feb 2020 18:32:51.552,7 Feb 2020 18:41:47.671,536.119
33,7 Feb 2020 20:10:56.922,7 Feb 2020 20:19:00.054,483.132
34,7 Feb 2020 21:47:37.828,7 Feb 2020 21:57:17.271,579.443
35,7 Feb 2020 23:23:48.976,7 Feb 2020 23:34:27.827,638.851
36,8 Feb 2020 01:01:22.206,8 Feb 2020 01:08:27.712,425.506
37,8 Feb 2020 14:26:47.753,8 Feb 2020 14:34:29.453,461.700
38,8 Feb 2020 16:01:07.218,8 Feb 2020 16:11:49.649,642.432
39,8 Feb 2020 17:38:26.073,8 Feb 2020 17:47:59.649,573.576
40,8 Feb 2020 19:16:43.262,8 Feb 2020 19:24:44.735,481.473
41,8 Feb 2020 20:53:50.358,8 Feb 2020 21:02:52.794,542.436
42,8 Feb 2020 22:30:01.146,8 Feb 2020 22:40:37.868,636.722
43,9 Feb 2020 00:06:48.316,9 Feb 2020 00:15:56.337,548.021
44,9 Feb 2020 13:35:17.068,9 Feb 2020 13:39:00.451,223.382
45,9 Feb 2020 15:07:29.546,9 Feb 2020 15:17:56.234,626.688
46,9 Feb 2020 16:44:05.642,9 Feb 2020 16:54:13.677,608.036
47,9 Feb 2020 18:22:19.529,9 Feb 2020 18:30:38.149,498.621
48,9 Feb 2020 19:59:55.780,9 Feb 2020 20:08:24.288,508.508
49,9 Feb 2020 21:36:15.018,9 Feb 2020 21:46:32.305,617.287
50,9 Feb 2020 23:12:38.354,9 Feb 2020 23:22:48.760,610.406
51,10 Feb 2020 14:14:11.156,10 Feb 2020 14:23:51.366,580.209
