"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,16 Dec 2019 17:24:15.319,16 Dec 2019 17:31:52.533,457.214
2,16 Dec 2019 19:01:05.831,16 Dec 2019 19:10:27.764,561.932
3,16 Dec 2019 20:37:19.519,16 Dec 2019 20:48:02.989,643.470
4,16 Dec 2019 22:14:43.151,16 Dec 2019 22:22:36.998,473.847
5,17 Dec 2019 11:41:15.709,17 Dec 2019 11:48:47.043,451.334
6,17 Dec 2019 13:15:37.304,17 Dec 2019 13:26:18.643,641.339
7,17 Dec 2019 14:53:06.887,17 Dec 2019 15:02:33.004,566.116
8,17 Dec 2019 16:31:42.177,17 Dec 2019 16:39:20.437,458.261
9,17 Dec 2019 18:09:00.921,17 Dec 2019 18:17:42.725,521.804
10,17 Dec 2019 19:45:15.513,17 Dec 2019 19:55:50.052,634.539
11,17 Dec 2019 21:22:01.775,17 Dec 2019 21:31:32.882,571.107
12,18 Dec 2019 10:51:26.548,18 Dec 2019 10:54:59.130,212.582
13,18 Dec 2019 12:23:41.415,18 Dec 2019 12:34:07.998,626.583
14,18 Dec 2019 14:00:28.622,18 Dec 2019 14:10:30.606,601.984
15,18 Dec 2019 15:38:59.741,18 Dec 2019 15:46:57.990,478.250
16,18 Dec 2019 17:16:49.532,18 Dec 2019 17:24:55.217,485.685
17,18 Dec 2019 18:53:13.240,18 Dec 2019 19:03:23.712,610.473
18,18 Dec 2019 20:29:38.800,18 Dec 2019 20:40:00.280,621.481
19,18 Dec 2019 22:09:59.980,18 Dec 2019 22:10:56.384,56.404
20,19 Dec 2019 11:32:03.578,19 Dec 2019 11:41:47.328,583.750
21,19 Dec 2019 13:07:59.338,19 Dec 2019 13:18:27.871,628.533
22,19 Dec 2019 14:46:12.156,19 Dec 2019 14:54:43.948,511.792
23,19 Dec 2019 16:24:28.914,19 Dec 2019 16:32:10.238,461.324
24,19 Dec 2019 18:01:10.461,19 Dec 2019 18:10:46.327,575.866
25,19 Dec 2019 19:37:25.630,19 Dec 2019 19:48:07.169,641.539
26,19 Dec 2019 21:15:10.658,19 Dec 2019 21:22:08.264,417.605
27,20 Dec 2019 10:40:50.427,20 Dec 2019 10:49:09.393,498.966
28,20 Dec 2019 12:15:41.510,20 Dec 2019 12:26:22.535,641.025
29,20 Dec 2019 13:53:24.447,20 Dec 2019 14:02:35.699,551.252
30,20 Dec 2019 15:31:57.333,20 Dec 2019 15:39:32.330,454.997
31,20 Dec 2019 17:09:04.831,20 Dec 2019 17:18:00.855,536.024
32,20 Dec 2019 18:45:17.948,20 Dec 2019 18:55:57.316,639.367
33,20 Dec 2019 20:22:15.286,20 Dec 2019 20:31:16.905,541.618
34,21 Dec 2019 09:50:22.088,21 Dec 2019 09:55:53.472,331.384
35,21 Dec 2019 11:23:37.456,21 Dec 2019 11:34:12.111,634.655
36,21 Dec 2019 13:00:41.121,21 Dec 2019 13:10:30.458,589.336
37,21 Dec 2019 14:39:15.439,21 Dec 2019 14:47:03.937,468.498
38,21 Dec 2019 16:16:53.742,21 Dec 2019 16:25:11.222,497.479
39,21 Dec 2019 17:53:12.895,21 Dec 2019 18:03:33.211,620.316
40,21 Dec 2019 19:29:44.485,21 Dec 2019 19:39:51.099,606.613
41,22 Dec 2019 10:31:50.050,22 Dec 2019 10:41:53.289,603.239
42,22 Dec 2019 12:08:05.728,22 Dec 2019 12:18:25.721,619.992
43,22 Dec 2019 13:46:26.651,22 Dec 2019 13:54:44.677,498.026
44,22 Dec 2019 15:24:34.353,22 Dec 2019 15:32:22.256,467.903
45,22 Dec 2019 17:01:08.149,22 Dec 2019 17:10:57.114,588.965
46,22 Dec 2019 18:37:25.912,22 Dec 2019 18:48:02.559,636.647
47,22 Dec 2019 20:15:40.163,22 Dec 2019 20:21:23.302,343.139
48,23 Dec 2019 09:40:24.301,23 Dec 2019 09:49:20.477,536.176
49,23 Dec 2019 11:15:40.971,23 Dec 2019 11:26:19.202,638.231
50,23 Dec 2019 12:53:35.896,23 Dec 2019 13:02:32.248,536.352
51,23 Dec 2019 14:32:04.386,23 Dec 2019 14:39:38.887,454.501
52,23 Dec 2019 16:09:01.433,23 Dec 2019 16:18:11.728,550.294
53,23 Dec 2019 17:45:14.175,23 Dec 2019 17:55:56.085,641.910
54,23 Dec 2019 19:22:25.225,23 Dec 2019 19:30:50.153,504.928
55,24 Dec 2019 08:49:32.678,24 Dec 2019 08:56:20.598,407.920
56,24 Dec 2019 10:23:29.163,24 Dec 2019 10:34:08.558,639.395
57,24 Dec 2019 12:00:47.995,24 Dec 2019 12:10:23.835,575.840
58,24 Dec 2019 13:39:23.484,24 Dec 2019 13:47:04.509,461.025
59,24 Dec 2019 15:16:50.230,24 Dec 2019 15:25:20.611,510.381
60,24 Dec 2019 16:53:06.028,24 Dec 2019 17:03:34.472,628.444
61,24 Dec 2019 18:29:45.138,24 Dec 2019 18:39:32.483,587.345
62,25 Dec 2019 09:31:32.867,25 Dec 2019 09:41:50.848,617.982
63,25 Dec 2019 11:08:06.877,25 Dec 2019 11:18:16.794,609.917
64,25 Dec 2019 12:46:34.154,25 Dec 2019 12:54:39.728,485.574
65,25 Dec 2019 14:24:31.729,25 Dec 2019 14:32:28.342,476.614
66,25 Dec 2019 16:00:59.010,25 Dec 2019 16:10:59.993,600.983
67,25 Dec 2019 17:37:20.488,25 Dec 2019 17:47:49.074,628.586
68,25 Dec 2019 19:16:20.295,25 Dec 2019 19:20:13.500,233.205
69,26 Dec 2019 08:39:56.040,26 Dec 2019 08:49:21.568,565.528
70,26 Dec 2019 10:15:35.511,26 Dec 2019 10:26:08.786,633.274
71,26 Dec 2019 11:53:41.000,26 Dec 2019 12:02:22.767,521.767
72,26 Dec 2019 13:32:03.290,26 Dec 2019 13:39:39.994,456.704
73,26 Dec 2019 15:08:50.854,26 Dec 2019 15:18:15.141,564.287
74,26 Dec 2019 16:45:04.289,26 Dec 2019 16:55:46.291,642.003
75,26 Dec 2019 18:22:32.559,26 Dec 2019 18:30:11.703,459.144
76,27 Dec 2019 07:48:47.242,27 Dec 2019 07:56:31.572,464.329
77,27 Dec 2019 09:23:16.311,27 Dec 2019 09:33:57.521,641.210
78,27 Dec 2019 11:00:49.047,27 Dec 2019 11:10:10.839,561.792
79,27 Dec 2019 12:39:23.694,27 Dec 2019 12:46:59.726,456.033
80,27 Dec 2019 14:16:39.151,27 Dec 2019 14:25:23.146,523.995
81,27 Dec 2019 15:52:52.733,27 Dec 2019 16:03:27.438,634.705
82,27 Dec 2019 17:29:41.090,27 Dec 2019 17:39:04.162,563.072
83,28 Dec 2019 06:58:39.346,28 Dec 2019 07:02:47.381,248.034
84,28 Dec 2019 08:31:11.660,28 Dec 2019 08:41:40.331,628.672
85,28 Dec 2019 10:08:02.598,28 Dec 2019 10:18:01.195,598.597
86,28 Dec 2019 11:46:34.416,28 Dec 2019 11:54:29.203,474.786
87,28 Dec 2019 13:24:21.155,28 Dec 2019 13:32:28.246,487.091
