"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Dec 2019 18:38:07.242,1 Dec 2019 18:47:59.700,592.458
2,1 Dec 2019 20:14:09.870,1 Dec 2019 20:24:35.667,625.798
3,1 Dec 2019 21:52:24.734,1 Dec 2019 22:00:51.709,506.975
4,1 Dec 2019 23:30:36.770,1 Dec 2019 23:38:21.329,464.559
5,2 Dec 2019 01:07:14.034,2 Dec 2019 01:16:55.780,581.746
6,2 Dec 2019 02:43:29.017,2 Dec 2019 02:54:09.296,640.279
7,2 Dec 2019 04:21:23.160,2 Dec 2019 04:27:54.436,391.276
8,2 Dec 2019 17:46:31.235,2 Dec 2019 17:55:05.230,513.996
9,2 Dec 2019 19:21:30.884,2 Dec 2019 19:32:11.457,640.573
10,2 Dec 2019 20:59:17.006,2 Dec 2019 21:08:23.360,546.355
11,2 Dec 2019 22:37:47.092,2 Dec 2019 22:45:22.484,455.392
12,3 Dec 2019 00:14:49.498,3 Dec 2019 00:23:51.455,541.957
13,3 Dec 2019 01:51:01.245,3 Dec 2019 02:01:42.217,640.972
14,3 Dec 2019 03:28:02.057,3 Dec 2019 03:36:51.489,529.432
15,3 Dec 2019 16:55:35.822,3 Dec 2019 17:01:36.445,360.624
16,3 Dec 2019 18:29:05.257,3 Dec 2019 18:39:42.036,636.779
17,3 Dec 2019 20:06:12.799,3 Dec 2019 20:15:58.068,585.269
18,3 Dec 2019 21:44:46.265,3 Dec 2019 21:52:32.759,466.494
19,3 Dec 2019 23:22:19.374,3 Dec 2019 23:30:41.868,502.494
20,4 Dec 2019 00:58:36.123,4 Dec 2019 01:08:59.859,623.736
21,4 Dec 2019 02:35:08.860,4 Dec 2019 02:45:09.860,601.000
22,4 Dec 2019 17:36:55.839,4 Dec 2019 17:47:04.126,608.287
23,4 Dec 2019 19:13:15.919,4 Dec 2019 19:23:33.199,617.279
24,4 Dec 2019 20:51:37.475,4 Dec 2019 20:59:52.130,494.655
25,4 Dec 2019 22:29:40.748,4 Dec 2019 22:37:31.903,471.155
26,5 Dec 2019 00:06:11.210,5 Dec 2019 00:16:04.538,593.328
27,5 Dec 2019 01:42:28.764,5 Dec 2019 01:53:03.683,634.919
28,5 Dec 2019 03:20:52.965,5 Dec 2019 03:26:08.568,315.603
29,5 Dec 2019 16:45:07.431,5 Dec 2019 16:54:12.349,544.918
30,5 Dec 2019 18:20:29.253,5 Dec 2019 18:31:06.380,637.127
31,5 Dec 2019 19:58:25.706,5 Dec 2019 20:07:18.397,532.691
32,5 Dec 2019 21:36:51.127,5 Dec 2019 21:44:26.712,455.584
33,5 Dec 2019 23:13:44.162,5 Dec 2019 23:22:58.964,554.802
34,6 Dec 2019 00:49:55.740,6 Dec 2019 01:00:38.360,642.620
35,6 Dec 2019 02:27:09.744,6 Dec 2019 02:35:23.650,493.905
36,6 Dec 2019 15:53:51.575,6 Dec 2019 16:00:54.535,422.960
37,6 Dec 2019 17:27:55.208,6 Dec 2019 17:38:35.198,639.990
38,6 Dec 2019 19:05:16.017,6 Dec 2019 19:14:48.663,572.646
39,6 Dec 2019 20:43:49.876,6 Dec 2019 20:51:30.050,460.174
40,6 Dec 2019 22:21:12.424,6 Dec 2019 22:29:46.704,514.281
41,6 Dec 2019 23:57:26.289,7 Dec 2019 00:07:56.900,630.611
42,7 Dec 2019 01:34:06.108,7 Dec 2019 01:43:48.524,582.416
43,7 Dec 2019 15:04:25.641,7 Dec 2019 15:05:52.730,87.089
44,7 Dec 2019 16:35:36.407,7 Dec 2019 16:45:56.696,620.289
45,7 Dec 2019 18:12:12.559,7 Dec 2019 18:22:20.173,607.614
46,7 Dec 2019 19:50:39.302,7 Dec 2019 19:58:42.856,483.555
47,7 Dec 2019 21:28:33.094,7 Dec 2019 21:36:32.400,479.306
48,7 Dec 2019 23:04:57.809,7 Dec 2019 23:15:01.655,603.846
49,8 Dec 2019 00:41:18.844,8 Dec 2019 00:51:45.759,626.916
50,8 Dec 2019 02:20:30.693,8 Dec 2019 02:23:53.185,202.492
51,8 Dec 2019 15:43:36.783,8 Dec 2019 15:53:06.388,569.605
52,8 Dec 2019 17:19:18.494,8 Dec 2019 17:29:50.487,631.993
