"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Feb 2020 16:56:47.496,3 Feb 2020 17:06:45.379,597.882
2,3 Feb 2020 18:32:50.943,3 Feb 2020 18:43:18.860,627.917
3,3 Feb 2020 20:10:59.422,3 Feb 2020 20:19:37.157,517.735
4,3 Feb 2020 21:49:01.321,3 Feb 2020 21:57:07.157,485.836
5,3 Feb 2020 23:25:36.558,3 Feb 2020 23:35:30.142,593.584
6,4 Feb 2020 01:01:54.050,4 Feb 2020 01:12:28.420,634.370
7,4 Feb 2020 02:40:05.564,4 Feb 2020 02:45:45.267,339.703
8,4 Feb 2020 16:04:48.459,4 Feb 2020 16:13:31.402,522.944
9,4 Feb 2020 17:39:50.551,4 Feb 2020 17:50:33.225,642.674
10,4 Feb 2020 19:17:32.243,4 Feb 2020 19:26:46.206,553.963
11,4 Feb 2020 20:55:51.994,4 Feb 2020 21:03:47.564,475.570
12,4 Feb 2020 22:32:50.198,4 Feb 2020 22:42:08.073,557.876
13,5 Feb 2020 00:09:03.431,5 Feb 2020 00:19:44.516,641.085
14,5 Feb 2020 01:46:11.537,5 Feb 2020 01:54:35.543,504.005
15,5 Feb 2020 15:13:28.204,5 Feb 2020 15:19:45.446,377.242
16,5 Feb 2020 16:47:03.445,5 Feb 2020 16:57:42.794,639.349
17,5 Feb 2020 18:24:08.113,5 Feb 2020 18:33:58.744,590.631
18,5 Feb 2020 20:02:32.202,5 Feb 2020 20:10:36.155,483.953
19,5 Feb 2020 21:39:58.684,5 Feb 2020 21:48:40.331,521.647
20,5 Feb 2020 23:16:16.001,5 Feb 2020 23:26:44.954,628.953
21,6 Feb 2020 00:52:52.811,6 Feb 2020 01:02:39.809,586.998
22,6 Feb 2020 15:54:32.563,6 Feb 2020 16:04:44.286,611.723
23,6 Feb 2020 17:30:50.960,6 Feb 2020 17:41:12.157,621.197
24,6 Feb 2020 19:09:04.699,6 Feb 2020 19:17:33.381,508.682
25,6 Feb 2020 20:46:59.266,6 Feb 2020 20:55:11.561,492.295
26,6 Feb 2020 22:23:29.128,6 Feb 2020 22:33:32.242,603.114
27,6 Feb 2020 23:59:49.296,7 Feb 2020 00:10:17.543,628.248
28,7 Feb 2020 01:38:35.269,7 Feb 2020 01:42:50.963,255.695
29,7 Feb 2020 15:02:22.688,7 Feb 2020 15:11:32.381,549.693
30,7 Feb 2020 16:37:43.838,7 Feb 2020 16:48:24.029,640.191
31,7 Feb 2020 18:15:34.075,7 Feb 2020 18:24:37.522,543.446
32,7 Feb 2020 19:53:49.678,7 Feb 2020 20:01:46.652,476.974
33,7 Feb 2020 21:30:40.391,7 Feb 2020 21:40:09.140,568.748
34,7 Feb 2020 23:06:53.795,7 Feb 2020 23:17:35.330,641.536
35,8 Feb 2020 00:44:15.018,8 Feb 2020 00:52:03.784,468.766
36,8 Feb 2020 14:10:45.048,8 Feb 2020 14:17:55.250,430.202
37,8 Feb 2020 15:44:49.323,8 Feb 2020 15:55:31.878,642.555
38,8 Feb 2020 17:22:05.229,8 Feb 2020 17:31:45.952,580.723
39,8 Feb 2020 19:00:29.309,8 Feb 2020 19:08:29.318,480.008
40,8 Feb 2020 20:37:47.244,8 Feb 2020 20:46:39.160,531.915
41,8 Feb 2020 22:14:02.368,8 Feb 2020 22:24:36.623,634.255
42,8 Feb 2020 23:50:46.040,9 Feb 2020 00:00:14.756,568.716
43,9 Feb 2020 13:20:45.816,9 Feb 2020 13:22:46.173,120.356
44,9 Feb 2020 14:52:10.147,9 Feb 2020 15:02:32.693,622.545
45,9 Feb 2020 16:28:42.363,9 Feb 2020 16:38:55.984,613.621
46,9 Feb 2020 18:07:00.177,9 Feb 2020 18:15:20.775,500.597
47,9 Feb 2020 19:44:46.959,9 Feb 2020 19:53:06.746,499.788
48,9 Feb 2020 21:21:12.212,9 Feb 2020 21:31:23.997,611.786
49,9 Feb 2020 22:57:35.770,9 Feb 2020 23:07:55.823,620.053
50,10 Feb 2020 00:37:27.631,10 Feb 2020 00:39:14.703,107.072
51,10 Feb 2020 13:59:50.365,10 Feb 2020 14:09:21.915,571.550
52,10 Feb 2020 15:35:28.765,10 Feb 2020 15:46:05.156,636.391
53,10 Feb 2020 17:13:26.518,10 Feb 2020 17:22:19.810,533.293
54,10 Feb 2020 18:51:37.016,10 Feb 2020 18:59:36.858,479.842
55,10 Feb 2020 20:28:20.877,10 Feb 2020 20:38:00.105,579.228
56,10 Feb 2020 22:04:35.110,10 Feb 2020 22:15:15.477,640.368
57,10 Feb 2020 23:42:12.207,10 Feb 2020 23:49:18.914,426.707
58,11 Feb 2020 13:07:58.469,11 Feb 2020 13:15:50.459,471.989
59,11 Feb 2020 14:42:27.106,11 Feb 2020 14:53:11.018,643.912
60,11 Feb 2020 16:19:53.313,11 Feb 2020 16:29:23.921,570.608
61,11 Feb 2020 17:58:16.190,11 Feb 2020 18:06:13.720,477.530
62,11 Feb 2020 19:35:25.867,11 Feb 2020 19:44:28.219,542.352
63,11 Feb 2020 21:11:39.477,11 Feb 2020 21:22:17.756,638.279
64,11 Feb 2020 22:48:31.151,11 Feb 2020 22:57:38.303,547.152
65,12 Feb 2020 12:17:06.001,12 Feb 2020 12:21:26.210,260.209
66,12 Feb 2020 13:49:40.015,12 Feb 2020 14:00:10.759,630.745
67,12 Feb 2020 15:26:25.022,12 Feb 2020 15:36:30.374,605.352
68,12 Feb 2020 17:04:45.745,12 Feb 2020 17:12:59.335,493.590
69,12 Feb 2020 18:42:24.475,12 Feb 2020 18:50:52.555,508.080
70,12 Feb 2020 20:18:45.852,12 Feb 2020 20:29:05.370,619.517
71,12 Feb 2020 21:55:13.540,12 Feb 2020 22:05:23.207,609.667
72,13 Feb 2020 12:57:11.021,13 Feb 2020 13:07:00.394,589.372
73,13 Feb 2020 14:33:05.195,13 Feb 2020 14:43:36.642,631.447
74,13 Feb 2020 16:11:09.440,13 Feb 2020 16:19:53.086,523.647
75,13 Feb 2020 17:49:14.026,13 Feb 2020 17:57:18.037,484.011
76,13 Feb 2020 19:25:51.728,13 Feb 2020 19:35:40.890,589.162
77,13 Feb 2020 21:02:07.406,13 Feb 2020 21:12:44.948,637.542
78,13 Feb 2020 22:40:04.229,13 Feb 2020 22:46:19.825,375.596
79,14 Feb 2020 12:05:06.835,14 Feb 2020 12:13:32.636,505.801
80,14 Feb 2020 13:39:56.653,14 Feb 2020 13:50:40.279,643.625
81,14 Feb 2020 15:17:32.229,14 Feb 2020 15:26:52.670,560.441
82,14 Feb 2020 16:55:52.794,14 Feb 2020 17:03:49.287,476.492
83,14 Feb 2020 18:32:54.625,14 Feb 2020 18:42:07.390,552.765
84,14 Feb 2020 20:09:07.365,14 Feb 2020 20:19:48.340,640.975
85,14 Feb 2020 21:46:08.365,14 Feb 2020 21:54:50.277,521.912
