"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Feb 2020 17:17:52.100,3 Feb 2020 17:28:19.078,626.977
2,3 Feb 2020 18:54:32.232,3 Feb 2020 19:04:35.882,603.649
3,3 Feb 2020 20:32:49.743,3 Feb 2020 20:41:00.524,490.781
4,3 Feb 2020 22:10:26.577,3 Feb 2020 22:18:49.305,502.727
5,3 Feb 2020 23:46:45.047,3 Feb 2020 23:57:00.020,614.974
6,4 Feb 2020 01:23:08.711,4 Feb 2020 01:33:17.304,608.593
7,4 Feb 2020 16:24:40.487,4 Feb 2020 16:34:23.202,582.715
8,4 Feb 2020 18:00:27.854,4 Feb 2020 18:10:57.795,629.941
9,4 Feb 2020 19:38:27.681,4 Feb 2020 19:47:10.145,522.464
10,4 Feb 2020 21:16:30.777,4 Feb 2020 21:24:29.554,478.777
11,4 Feb 2020 22:53:06.464,4 Feb 2020 23:02:49.612,583.148
12,5 Feb 2020 00:29:18.311,5 Feb 2020 00:39:53.692,635.381
13,5 Feb 2020 02:07:06.647,5 Feb 2020 02:13:33.147,386.500
14,5 Feb 2020 15:31:55.501,5 Feb 2020 15:40:07.863,492.362
15,5 Feb 2020 17:06:35.225,5 Feb 2020 17:17:16.458,641.233
16,5 Feb 2020 18:44:04.725,5 Feb 2020 18:53:25.419,560.694
17,5 Feb 2020 20:22:23.245,5 Feb 2020 20:30:15.937,472.692
18,5 Feb 2020 21:59:24.288,5 Feb 2020 22:08:29.713,545.424
19,5 Feb 2020 23:35:33.760,5 Feb 2020 23:46:10.770,637.009
20,6 Feb 2020 01:12:28.081,6 Feb 2020 01:21:16.330,528.249
21,6 Feb 2020 14:40:02.258,6 Feb 2020 14:45:07.301,305.043
22,6 Feb 2020 16:12:57.159,6 Feb 2020 16:23:28.944,631.785
23,6 Feb 2020 17:49:45.875,6 Feb 2020 17:59:43.375,597.500
24,6 Feb 2020 19:28:04.769,6 Feb 2020 19:36:11.158,486.390
25,6 Feb 2020 21:05:35.627,6 Feb 2020 21:14:04.699,509.072
26,6 Feb 2020 22:41:51.576,6 Feb 2020 22:52:11.617,620.042
27,7 Feb 2020 00:18:18.491,7 Feb 2020 00:28:18.449,599.958
28,7 Feb 2020 15:19:37.233,7 Feb 2020 15:29:31.230,593.997
29,7 Feb 2020 16:55:35.168,7 Feb 2020 17:06:01.219,626.051
30,7 Feb 2020 18:33:39.053,7 Feb 2020 18:42:14.963,515.910
31,7 Feb 2020 20:11:37.498,7 Feb 2020 20:19:39.846,482.348
32,7 Feb 2020 21:48:08.988,7 Feb 2020 21:57:58.998,590.011
33,7 Feb 2020 23:24:22.036,7 Feb 2020 23:34:54.668,632.632
34,8 Feb 2020 01:02:26.692,8 Feb 2020 01:08:11.390,344.698
35,8 Feb 2020 14:26:42.037,8 Feb 2020 14:35:16.118,514.081
36,8 Feb 2020 16:01:35.745,8 Feb 2020 16:12:16.311,640.566
37,8 Feb 2020 17:39:11.414,8 Feb 2020 17:48:24.993,553.579
38,8 Feb 2020 19:17:27.784,8 Feb 2020 19:25:20.327,472.543
39,8 Feb 2020 20:54:23.316,8 Feb 2020 21:03:36.136,552.820
40,8 Feb 2020 22:30:32.299,8 Feb 2020 22:41:10.752,638.453
41,9 Feb 2020 00:07:33.658,9 Feb 2020 00:16:02.563,508.905
42,9 Feb 2020 13:34:30.508,9 Feb 2020 13:40:24.010,353.502
43,9 Feb 2020 15:07:50.404,9 Feb 2020 15:18:25.800,635.396
44,9 Feb 2020 16:44:47.036,9 Feb 2020 16:54:38.276,591.241
45,9 Feb 2020 18:23:06.702,9 Feb 2020 18:31:09.402,482.700
46,9 Feb 2020 20:00:31.697,9 Feb 2020 20:09:07.227,515.530
47,9 Feb 2020 21:36:45.518,9 Feb 2020 21:47:10.009,624.491
48,9 Feb 2020 23:13:15.997,9 Feb 2020 23:23:06.356,590.358
49,10 Feb 2020 14:14:22.495,10 Feb 2020 14:24:25.939,603.444
50,10 Feb 2020 15:50:30.175,10 Feb 2020 16:00:51.949,621.774
51,10 Feb 2020 17:28:37.497,10 Feb 2020 17:37:07.337,509.840
52,10 Feb 2020 19:06:31.106,10 Feb 2020 19:14:37.469,486.363
53,10 Feb 2020 20:42:58.820,10 Feb 2020 20:52:55.215,596.395
54,10 Feb 2020 22:19:13.331,10 Feb 2020 22:29:42.450,629.119
55,10 Feb 2020 23:57:37.717,11 Feb 2020 00:02:33.306,295.589
56,11 Feb 2020 13:21:17.805,11 Feb 2020 13:30:10.340,532.535
57,11 Feb 2020 14:56:24.114,11 Feb 2020 15:07:03.345,639.231
58,11 Feb 2020 16:34:05.362,11 Feb 2020 16:43:12.042,546.680
59,11 Feb 2020 18:12:19.144,11 Feb 2020 18:20:12.200,473.056
60,11 Feb 2020 19:49:09.531,11 Feb 2020 19:58:29.475,559.944
61,11 Feb 2020 21:25:18.311,11 Feb 2020 21:35:57.534,639.223
62,11 Feb 2020 23:02:27.352,11 Feb 2020 23:10:35.241,487.889
63,12 Feb 2020 12:28:51.334,12 Feb 2020 12:35:23.352,392.018
64,12 Feb 2020 14:02:31.697,12 Feb 2020 14:13:09.668,637.972
65,12 Feb 2020 15:39:35.629,12 Feb 2020 15:49:20.563,584.934
66,12 Feb 2020 17:17:55.511,12 Feb 2020 17:25:55.177,479.666
67,12 Feb 2020 18:55:14.815,12 Feb 2020 19:03:56.821,522.005
68,12 Feb 2020 20:31:26.845,12 Feb 2020 20:41:55.196,628.351
69,12 Feb 2020 22:08:01.188,12 Feb 2020 22:17:41.027,579.839
70,13 Feb 2020 13:08:56.105,13 Feb 2020 13:19:07.385,611.280
71,13 Feb 2020 14:45:12.768,13 Feb 2020 14:55:29.969,617.201
72,13 Feb 2020 16:23:22.958,13 Feb 2020 16:31:47.218,504.260
73,13 Feb 2020 18:01:11.616,13 Feb 2020 18:09:22.332,490.716
