"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Dec 2019 17:32:12.392,164.580,-0.124,2317.621272
1 Dec 2019 17:32:13.000,164.494,-0.100,2314.952886
1 Dec 2019 17:32:14.000,164.352,-0.061,2310.571934
1 Dec 2019 17:32:15.000,164.210,-0.021,2306.203732
1 Dec 2019 17:32:16.000,164.068,0.018,2301.848355
1 Dec 2019 17:32:17.000,163.925,0.058,2297.505884
1 Dec 2019 17:32:18.000,163.781,0.097,2293.176397
1 Dec 2019 17:32:19.000,163.637,0.136,2288.859975
1 Dec 2019 17:32:20.000,163.492,0.176,2284.556696
1 Dec 2019 17:32:21.000,163.347,0.215,2280.266642
1 Dec 2019 17:32:22.000,163.201,0.254,2275.989892
1 Dec 2019 17:32:23.000,163.054,0.293,2271.726527
1 Dec 2019 17:32:24.000,162.907,0.332,2267.476630
1 Dec 2019 17:32:25.000,162.760,0.371,2263.240280
1 Dec 2019 17:32:26.000,162.612,0.410,2259.017559
1 Dec 2019 17:32:27.000,162.463,0.449,2254.808553
1 Dec 2019 17:32:28.000,162.314,0.488,2250.613340
1 Dec 2019 17:32:29.000,162.164,0.527,2246.432006
1 Dec 2019 17:32:30.000,162.014,0.566,2242.264631
1 Dec 2019 17:32:31.000,161.863,0.605,2238.111302
1 Dec 2019 17:32:32.000,161.711,0.643,2233.972102
1 Dec 2019 17:32:33.000,161.559,0.682,2229.847114
1 Dec 2019 17:32:34.000,161.406,0.720,2225.736424
1 Dec 2019 17:32:35.000,161.253,0.759,2221.640115
1 Dec 2019 17:32:36.000,161.100,0.797,2217.558273
1 Dec 2019 17:32:37.000,160.945,0.836,2213.490986
1 Dec 2019 17:32:38.000,160.790,0.874,2209.438336
1 Dec 2019 17:32:39.000,160.635,0.912,2205.400412
1 Dec 2019 17:32:40.000,160.479,0.951,2201.377300
1 Dec 2019 17:32:41.000,160.322,0.989,2197.369085
1 Dec 2019 17:32:42.000,160.165,1.027,2193.375855
1 Dec 2019 17:32:43.000,160.007,1.065,2189.397699
1 Dec 2019 17:32:44.000,159.849,1.103,2185.434702
1 Dec 2019 17:32:45.000,159.690,1.141,2181.486954
1 Dec 2019 17:32:46.000,159.530,1.178,2177.554543
1 Dec 2019 17:32:47.000,159.370,1.216,2173.637557
1 Dec 2019 17:32:48.000,159.209,1.254,2169.736084
1 Dec 2019 17:32:49.000,159.048,1.291,2165.850216
1 Dec 2019 17:32:50.000,158.886,1.329,2161.980039
1 Dec 2019 17:32:51.000,158.723,1.366,2158.125644
1 Dec 2019 17:32:52.000,158.560,1.403,2154.287122
1 Dec 2019 17:32:53.000,158.397,1.441,2150.464563
1 Dec 2019 17:32:54.000,158.232,1.478,2146.658056
1 Dec 2019 17:32:55.000,158.067,1.515,2142.867692
1 Dec 2019 17:32:56.000,157.902,1.552,2139.093564
1 Dec 2019 17:32:57.000,157.736,1.589,2135.335761
1 Dec 2019 17:32:58.000,157.569,1.626,2131.594374
1 Dec 2019 17:32:59.000,157.402,1.662,2127.869497
1 Dec 2019 17:33:00.000,157.234,1.699,2124.161222
1 Dec 2019 17:33:01.000,157.066,1.736,2120.469638
1 Dec 2019 17:33:02.000,156.897,1.772,2116.794840
1 Dec 2019 17:33:03.000,156.727,1.808,2113.136920
1 Dec 2019 17:33:04.000,156.557,1.845,2109.495970
1 Dec 2019 17:33:05.000,156.386,1.881,2105.872086
1 Dec 2019 17:33:06.000,156.214,1.917,2102.265357
1 Dec 2019 17:33:07.000,156.042,1.953,2098.675879
1 Dec 2019 17:33:08.000,155.870,1.988,2095.103745
1 Dec 2019 17:33:09.000,155.696,2.024,2091.549048
1 Dec 2019 17:33:10.000,155.523,2.060,2088.011885
1 Dec 2019 17:33:11.000,155.348,2.095,2084.492345
1 Dec 2019 17:33:12.000,155.173,2.131,2080.990526
1 Dec 2019 17:33:13.000,154.997,2.166,2077.506522
1 Dec 2019 17:33:14.000,154.821,2.201,2074.040426
1 Dec 2019 17:33:15.000,154.644,2.236,2070.592334
1 Dec 2019 17:33:16.000,154.467,2.271,2067.162343
1 Dec 2019 17:33:17.000,154.289,2.306,2063.750543
