"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
3 Feb 2020 16:59:00.986,201.998,-0.124,2319.225771
3 Feb 2020 16:59:01.000,201.997,-0.123,2319.137237
3 Feb 2020 16:59:02.000,201.936,-0.065,2312.608934
3 Feb 2020 16:59:03.000,201.875,-0.006,2306.083076
3 Feb 2020 16:59:04.000,201.813,0.053,2299.559691
3 Feb 2020 16:59:05.000,201.751,0.112,2293.038807
3 Feb 2020 16:59:06.000,201.688,0.171,2286.520455
3 Feb 2020 16:59:07.000,201.625,0.230,2280.004664
3 Feb 2020 16:59:08.000,201.562,0.290,2273.491462
3 Feb 2020 16:59:09.000,201.498,0.350,2266.980883
3 Feb 2020 16:59:10.000,201.434,0.409,2260.472956
3 Feb 2020 16:59:11.000,201.370,0.469,2253.967713
3 Feb 2020 16:59:12.000,201.305,0.530,2247.465183
3 Feb 2020 16:59:13.000,201.240,0.590,2240.965400
3 Feb 2020 16:59:14.000,201.174,0.650,2234.468393
3 Feb 2020 16:59:15.000,201.109,0.711,2227.974198
3 Feb 2020 16:59:16.000,201.042,0.772,2221.482846
3 Feb 2020 16:59:17.000,200.976,0.832,2214.994369
3 Feb 2020 16:59:18.000,200.908,0.893,2208.508803
3 Feb 2020 16:59:19.000,200.841,0.955,2202.026179
3 Feb 2020 16:59:20.000,200.773,1.016,2195.546531
3 Feb 2020 16:59:21.000,200.705,1.078,2189.069895
3 Feb 2020 16:59:22.000,200.636,1.139,2182.596307
3 Feb 2020 16:59:23.000,200.567,1.201,2176.125799
3 Feb 2020 16:59:24.000,200.497,1.263,2169.658409
3 Feb 2020 16:59:25.000,200.427,1.325,2163.194172
3 Feb 2020 16:59:26.000,200.356,1.388,2156.733123
3 Feb 2020 16:59:27.000,200.286,1.450,2150.275301
3 Feb 2020 16:59:28.000,200.214,1.513,2143.820742
3 Feb 2020 16:59:29.000,200.142,1.576,2137.369484
3 Feb 2020 16:59:30.000,200.070,1.639,2130.921565
3 Feb 2020 16:59:31.000,199.997,1.702,2124.477023
3 Feb 2020 16:59:32.000,199.924,1.766,2118.035896
3 Feb 2020 16:59:33.000,199.851,1.829,2111.598224
3 Feb 2020 16:59:34.000,199.777,1.893,2105.164047
3 Feb 2020 16:59:35.000,199.702,1.957,2098.733406
3 Feb 2020 16:59:36.000,199.627,2.021,2092.306339
3 Feb 2020 16:59:37.000,199.552,2.086,2085.882889
3 Feb 2020 16:59:38.000,199.476,2.150,2079.463097
3 Feb 2020 16:59:39.000,199.399,2.215,2073.047004
3 Feb 2020 16:59:40.000,199.322,2.280,2066.634652
3 Feb 2020 16:59:41.000,199.245,2.345,2060.226086
3 Feb 2020 16:59:42.000,199.167,2.410,2053.821349
3 Feb 2020 16:59:43.000,199.088,2.475,2047.420484
3 Feb 2020 16:59:44.000,199.009,2.541,2041.023535
3 Feb 2020 16:59:45.000,198.930,2.607,2034.630548
3 Feb 2020 16:59:46.000,198.850,2.673,2028.241567
3 Feb 2020 16:59:47.000,198.769,2.739,2021.856638
3 Feb 2020 16:59:48.000,198.688,2.806,2015.475809
3 Feb 2020 16:59:49.000,198.607,2.872,2009.099126
3 Feb 2020 16:59:50.000,198.525,2.939,2002.726636
3 Feb 2020 16:59:51.000,198.442,3.006,1996.358388
3 Feb 2020 16:59:52.000,198.359,3.073,1989.994430
3 Feb 2020 16:59:53.000,198.275,3.141,1983.634812
3 Feb 2020 16:59:54.000,198.191,3.209,1977.279582
3 Feb 2020 16:59:55.000,198.106,3.276,1970.928790
3 Feb 2020 16:59:56.000,198.020,3.344,1964.582490
3 Feb 2020 16:59:57.000,197.934,3.413,1958.240732
3 Feb 2020 16:59:58.000,197.848,3.481,1951.903567
3 Feb 2020 16:59:59.000,197.761,3.550,1945.571049
3 Feb 2020 17:00:00.000,197.673,3.619,1939.243232
3 Feb 2020 17:00:01.000,197.584,3.688,1932.920168
3 Feb 2020 17:00:02.000,197.495,3.757,1926.601912
3 Feb 2020 17:00:03.000,197.406,3.827,1920.288521
3 Feb 2020 17:00:04.000,197.316,3.897,1913.980048
3 Feb 2020 17:00:05.000,197.225,3.967,1907.676553
3 Feb 2020 17:00:06.000,197.133,4.037,1901.378092
3 Feb 2020 17:00:07.000,197.041,4.108,1895.084723
3 Feb 2020 17:00:08.000,196.948,4.178,1888.796504
3 Feb 2020 17:00:09.000,196.855,4.249,1882.513495
3 Feb 2020 17:00:10.000,196.761,4.321,1876.235756
3 Feb 2020 17:00:11.000,196.666,4.392,1869.963348
3 Feb 2020 17:00:12.000,196.571,4.464,1863.696332
3 Feb 2020 17:00:13.000,196.475,4.536,1857.434771
