"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
3 Feb 2020 17:17:32.547,213.635,-0.124,2311.716466
3 Feb 2020 17:17:33.000,213.620,-0.096,2308.629463
3 Feb 2020 17:17:34.000,213.587,-0.035,2301.810139
3 Feb 2020 17:17:35.000,213.554,0.026,2294.991565
3 Feb 2020 17:17:36.000,213.520,0.088,2288.173754
3 Feb 2020 17:17:37.000,213.486,0.150,2281.356726
3 Feb 2020 17:17:38.000,213.453,0.212,2274.540494
3 Feb 2020 17:17:39.000,213.418,0.274,2267.725071
3 Feb 2020 17:17:40.000,213.384,0.336,2260.910476
3 Feb 2020 17:17:41.000,213.350,0.399,2254.096725
3 Feb 2020 17:17:42.000,213.315,0.462,2247.283832
3 Feb 2020 17:17:43.000,213.280,0.525,2240.471811
3 Feb 2020 17:17:44.000,213.245,0.588,2233.660684
3 Feb 2020 17:17:45.000,213.209,0.651,2226.850463
3 Feb 2020 17:17:46.000,213.174,0.715,2220.041167
3 Feb 2020 17:17:47.000,213.138,0.778,2213.232809
3 Feb 2020 17:17:48.000,213.102,0.842,2206.425411
3 Feb 2020 17:17:49.000,213.065,0.906,2199.618988
3 Feb 2020 17:17:50.000,213.029,0.971,2192.813555
3 Feb 2020 17:17:51.000,212.992,1.035,2186.009133
3 Feb 2020 17:17:52.000,212.955,1.100,2179.205739
3 Feb 2020 17:17:53.000,212.917,1.165,2172.403390
3 Feb 2020 17:17:54.000,212.880,1.230,2165.602103
3 Feb 2020 17:17:55.000,212.842,1.295,2158.801899
3 Feb 2020 17:17:56.000,212.804,1.361,2152.002795
3 Feb 2020 17:17:57.000,212.766,1.426,2145.204810
3 Feb 2020 17:17:58.000,212.727,1.492,2138.407961
3 Feb 2020 17:17:59.000,212.688,1.559,2131.612270
3 Feb 2020 17:18:00.000,212.649,1.625,2124.817756
3 Feb 2020 17:18:01.000,212.610,1.692,2118.024438
3 Feb 2020 17:18:02.000,212.570,1.758,2111.232333
3 Feb 2020 17:18:03.000,212.530,1.825,2104.441466
3 Feb 2020 17:18:04.000,212.490,1.893,2097.651854
3 Feb 2020 17:18:05.000,212.450,1.960,2090.863517
3 Feb 2020 17:18:06.000,212.409,2.028,2084.076479
3 Feb 2020 17:18:07.000,212.368,2.096,2077.290759
3 Feb 2020 17:18:08.000,212.327,2.164,2070.506377
3 Feb 2020 17:18:09.000,212.285,2.233,2063.723355
3 Feb 2020 17:18:10.000,212.243,2.301,2056.941716
3 Feb 2020 17:18:11.000,212.201,2.370,2050.161482
3 Feb 2020 17:18:12.000,212.159,2.440,2043.382674
3 Feb 2020 17:18:13.000,212.116,2.509,2036.605313
3 Feb 2020 17:18:14.000,212.073,2.579,2029.829425
3 Feb 2020 17:18:15.000,212.030,2.649,2023.055032
3 Feb 2020 17:18:16.000,211.986,2.719,2016.282157
3 Feb 2020 17:18:17.000,211.942,2.789,2009.510822
3 Feb 2020 17:18:18.000,211.898,2.860,2002.741053
3 Feb 2020 17:18:19.000,211.853,2.931,1995.972874
3 Feb 2020 17:18:20.000,211.808,3.002,1989.206309
3 Feb 2020 17:18:21.000,211.763,3.073,1982.441380
3 Feb 2020 17:18:22.000,211.717,3.145,1975.678117
3 Feb 2020 17:18:23.000,211.672,3.217,1968.916543
3 Feb 2020 17:18:24.000,211.625,3.290,1962.156684
3 Feb 2020 17:18:25.000,211.579,3.362,1955.398563
3 Feb 2020 17:18:26.000,211.532,3.435,1948.642211
3 Feb 2020 17:18:27.000,211.485,3.508,1941.887653
3 Feb 2020 17:18:28.000,211.437,3.582,1935.134915
3 Feb 2020 17:18:29.000,211.389,3.655,1928.384024
3 Feb 2020 17:18:30.000,211.341,3.729,1921.635009
3 Feb 2020 17:18:31.000,211.292,3.803,1914.887898
3 Feb 2020 17:18:32.000,211.243,3.878,1908.142720
3 Feb 2020 17:18:33.000,211.194,3.953,1901.399500
3 Feb 2020 17:18:34.000,211.144,4.028,1894.658271
3 Feb 2020 17:18:35.000,211.094,4.104,1887.919062
3 Feb 2020 17:18:36.000,211.043,4.179,1881.181902
3 Feb 2020 17:18:37.000,210.992,4.255,1874.446820
3 Feb 2020 17:18:38.000,210.941,4.332,1867.713850
3 Feb 2020 17:18:39.000,210.889,4.409,1860.983021
3 Feb 2020 17:18:40.000,210.837,4.486,1854.254364
3 Feb 2020 17:18:41.000,210.785,4.563,1847.527911
3 Feb 2020 17:18:42.000,210.732,4.641,1840.803696
3 Feb 2020 17:18:43.000,210.679,4.719,1834.081751
3 Feb 2020 17:18:44.000,210.625,4.797,1827.362109
3 Feb 2020 17:18:45.000,210.571,4.876,1820.644801
3 Feb 2020 17:18:46.000,210.516,4.955,1813.929867
3 Feb 2020 17:18:47.000,210.461,5.034,1807.217337
3 Feb 2020 17:18:48.000,210.406,5.114,1800.507248
3 Feb 2020 17:18:49.000,210.350,5.194,1793.799633
3 Feb 2020 17:18:50.000,210.293,5.275,1787.094531
3 Feb 2020 17:18:51.000,210.237,5.355,1780.391978
3 Feb 2020 17:18:52.000,210.179,5.436,1773.692010
3 Feb 2020 17:18:53.000,210.122,5.518,1766.994664
3 Feb 2020 17:18:54.000,210.063,5.600,1760.299980
3 Feb 2020 17:18:55.000,210.005,5.682,1753.607996
3 Feb 2020 17:18:56.000,209.946,5.765,1746.918751
3 Feb 2020 17:18:57.000,209.886,5.848,1740.232283
3 Feb 2020 17:18:58.000,209.826,5.931,1733.548635
3 Feb 2020 17:18:59.000,209.765,6.015,1726.867847
3 Feb 2020 17:19:00.000,209.704,6.099,1720.189960
3 Feb 2020 17:19:01.000,209.643,6.184,1713.515017
3 Feb 2020 17:19:02.000,209.580,6.269,1706.843057
3 Feb 2020 17:19:03.000,209.518,6.354,1700.174128
3 Feb 2020 17:19:04.000,209.455,6.440,1693.508272
3 Feb 2020 17:19:05.000,209.391,6.526,1686.845533
3 Feb 2020 17:19:06.000,209.327,6.613,1680.185955
3 Feb 2020 17:19:07.000,209.262,6.700,1673.529588
3 Feb 2020 17:19:08.000,209.196,6.787,1666.876476
