"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
3 Feb 2020 16:56:37.872,192.892,-0.124,2318.143036
3 Feb 2020 16:56:38.000,192.882,-0.117,2317.354299
3 Feb 2020 16:56:39.000,192.798,-0.062,2311.202883
3 Feb 2020 16:56:40.000,192.713,-0.007,2305.056031
3 Feb 2020 16:56:41.000,192.628,0.049,2298.913786
3 Feb 2020 16:56:42.000,192.543,0.104,2292.776193
3 Feb 2020 16:56:43.000,192.457,0.160,2286.643298
3 Feb 2020 16:56:44.000,192.371,0.216,2280.515146
3 Feb 2020 16:56:45.000,192.284,0.272,2274.391783
3 Feb 2020 16:56:46.000,192.197,0.328,2268.273255
3 Feb 2020 16:56:47.000,192.109,0.384,2262.159610
3 Feb 2020 16:56:48.000,192.021,0.440,2256.050894
3 Feb 2020 16:56:49.000,191.932,0.497,2249.947156
3 Feb 2020 16:56:50.000,191.843,0.553,2243.848443
3 Feb 2020 16:56:51.000,191.753,0.610,2237.754805
3 Feb 2020 16:56:52.000,191.663,0.666,2231.666291
3 Feb 2020 16:56:53.000,191.573,0.723,2225.582951
3 Feb 2020 16:56:54.000,191.481,0.780,2219.504834
3 Feb 2020 16:56:55.000,191.390,0.837,2213.431991
3 Feb 2020 16:56:56.000,191.297,0.894,2207.364473
3 Feb 2020 16:56:57.000,191.205,0.952,2201.302333
3 Feb 2020 16:56:58.000,191.111,1.009,2195.245622
3 Feb 2020 16:56:59.000,191.018,1.067,2189.194392
3 Feb 2020 16:57:00.000,190.923,1.124,2183.148698
3 Feb 2020 16:57:01.000,190.829,1.182,2177.108592
3 Feb 2020 16:57:02.000,190.733,1.240,2171.074129
3 Feb 2020 16:57:03.000,190.637,1.298,2165.045364
3 Feb 2020 16:57:04.000,190.541,1.356,2159.022352
3 Feb 2020 16:57:05.000,190.444,1.414,2153.005149
3 Feb 2020 16:57:06.000,190.346,1.472,2146.993811
3 Feb 2020 16:57:07.000,190.248,1.531,2140.988395
3 Feb 2020 16:57:08.000,190.149,1.589,2134.988959
3 Feb 2020 16:57:09.000,190.050,1.648,2128.995561
3 Feb 2020 16:57:10.000,189.950,1.707,2123.008259
3 Feb 2020 16:57:11.000,189.850,1.766,2117.027112
3 Feb 2020 16:57:12.000,189.749,1.825,2111.052182
3 Feb 2020 16:57:13.000,189.647,1.884,2105.083527
3 Feb 2020 16:57:14.000,189.545,1.943,2099.121209
3 Feb 2020 16:57:15.000,189.442,2.003,2093.165290
3 Feb 2020 16:57:16.000,189.338,2.062,2087.215832
3 Feb 2020 16:57:17.000,189.234,2.122,2081.272898
3 Feb 2020 16:57:18.000,189.130,2.182,2075.336551
3 Feb 2020 16:57:19.000,189.025,2.242,2069.406855
3 Feb 2020 16:57:20.000,188.919,2.302,2063.483876
3 Feb 2020 16:57:21.000,188.812,2.362,2057.567679
3 Feb 2020 16:57:22.000,188.705,2.422,2051.658329
3 Feb 2020 16:57:23.000,188.597,2.483,2045.755894
3 Feb 2020 16:57:24.000,188.489,2.543,2039.860441
3 Feb 2020 16:57:25.000,188.380,2.604,2033.972039
3 Feb 2020 16:57:26.000,188.270,2.665,2028.090755
3 Feb 2020 16:57:27.000,188.160,2.726,2022.216661
3 Feb 2020 16:57:28.000,188.049,2.787,2016.349825
3 Feb 2020 16:57:29.000,187.937,2.848,2010.490319
3 Feb 2020 16:57:30.000,187.825,2.909,2004.638214
3 Feb 2020 16:57:31.000,187.712,2.971,1998.793582
3 Feb 2020 16:57:32.000,187.598,3.032,1992.956498
3 Feb 2020 16:57:33.000,187.483,3.094,1987.127035
3 Feb 2020 16:57:34.000,187.368,3.156,1981.305267
3 Feb 2020 16:57:35.000,187.252,3.218,1975.491270
3 Feb 2020 16:57:36.000,187.136,3.280,1969.685119
3 Feb 2020 16:57:37.000,187.019,3.342,1963.886893
3 Feb 2020 16:57:38.000,186.901,3.405,1958.096668
3 Feb 2020 16:57:39.000,186.782,3.467,1952.314523
3 Feb 2020 16:57:40.000,186.663,3.530,1946.540538
3 Feb 2020 16:57:41.000,186.542,3.593,1940.774792
3 Feb 2020 16:57:42.000,186.422,3.656,1935.017366
3 Feb 2020 16:57:43.000,186.300,3.719,1929.268343
3 Feb 2020 16:57:44.000,186.178,3.782,1923.527805
3 Feb 2020 16:57:45.000,186.054,3.845,1917.795834
3 Feb 2020 16:57:46.000,185.930,3.909,1912.072516
3 Feb 2020 16:57:47.000,185.806,3.972,1906.357936
3 Feb 2020 16:57:48.000,185.680,4.036,1900.652180
3 Feb 2020 16:57:49.000,185.554,4.100,1894.955334
3 Feb 2020 16:57:50.000,185.427,4.164,1889.267487
3 Feb 2020 16:57:51.000,185.299,4.228,1883.588727
3 Feb 2020 16:57:52.000,185.170,4.292,1877.919144
3 Feb 2020 16:57:53.000,185.041,4.356,1872.258828
3 Feb 2020 16:57:54.000,184.911,4.421,1866.607871
3 Feb 2020 16:57:55.000,184.780,4.486,1860.966365
3 Feb 2020 16:57:56.000,184.648,4.550,1855.334404
3 Feb 2020 16:57:57.000,184.515,4.615,1849.712081
3 Feb 2020 16:57:58.000,184.381,4.680,1844.099493
3 Feb 2020 16:57:59.000,184.247,4.746,1838.496735
3 Feb 2020 16:58:00.000,184.111,4.811,1832.903905
3 Feb 2020 16:58:01.000,183.975,4.876,1827.321101
3 Feb 2020 16:58:02.000,183.838,4.942,1821.748423
3 Feb 2020 16:58:03.000,183.700,5.008,1816.185969
3 Feb 2020 16:58:04.000,183.561,5.073,1810.633843
3 Feb 2020 16:58:05.000,183.422,5.139,1805.092145
3 Feb 2020 16:58:06.000,183.281,5.206,1799.560980
3 Feb 2020 16:58:07.000,183.140,5.272,1794.040452
3 Feb 2020 16:58:08.000,182.997,5.338,1788.530667
3 Feb 2020 16:58:09.000,182.854,5.405,1783.031730
3 Feb 2020 16:58:10.000,182.710,5.471,1777.543750
3 Feb 2020 16:58:11.000,182.564,5.538,1772.066836
3 Feb 2020 16:58:12.000,182.418,5.605,1766.601097
3 Feb 2020 16:58:13.000,182.271,5.672,1761.146644
3 Feb 2020 16:58:14.000,182.123,5.739,1755.703590
3 Feb 2020 16:58:15.000,181.974,5.807,1750.272047
