"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Dec 2019 17:35:29.435,155.293,-0.124,2318.479793
1 Dec 2019 17:35:30.000,155.205,-0.106,2316.455941
1 Dec 2019 17:35:31.000,155.049,-0.074,2312.888002
1 Dec 2019 17:35:32.000,154.892,-0.042,2309.335645
1 Dec 2019 17:35:33.000,154.734,-0.010,2305.798944
1 Dec 2019 17:35:34.000,154.576,0.022,2302.277978
1 Dec 2019 17:35:35.000,154.418,0.054,2298.772824
1 Dec 2019 17:35:36.000,154.259,0.086,2295.283559
1 Dec 2019 17:35:37.000,154.100,0.118,2291.810262
1 Dec 2019 17:35:38.000,153.940,0.149,2288.353008
1 Dec 2019 17:35:39.000,153.780,0.181,2284.911875
1 Dec 2019 17:35:40.000,153.619,0.212,2281.486941
1 Dec 2019 17:35:41.000,153.458,0.244,2278.078284
1 Dec 2019 17:35:42.000,153.296,0.275,2274.685983
1 Dec 2019 17:35:43.000,153.134,0.306,2271.310114
1 Dec 2019 17:35:44.000,152.971,0.337,2267.950759
1 Dec 2019 17:35:45.000,152.808,0.368,2264.607991
1 Dec 2019 17:35:46.000,152.644,0.399,2261.281890
1 Dec 2019 17:35:47.000,152.480,0.429,2257.972535
1 Dec 2019 17:35:48.000,152.315,0.460,2254.680004
1 Dec 2019 17:35:49.000,152.150,0.490,2251.404375
1 Dec 2019 17:35:50.000,151.984,0.521,2248.145728
1 Dec 2019 17:35:51.000,151.818,0.551,2244.904140
1 Dec 2019 17:35:52.000,151.651,0.581,2241.679690
1 Dec 2019 17:35:53.000,151.484,0.611,2238.472456
1 Dec 2019 17:35:54.000,151.317,0.641,2235.282518
1 Dec 2019 17:35:55.000,151.149,0.671,2232.109953
1 Dec 2019 17:35:56.000,150.980,0.701,2228.954842
1 Dec 2019 17:35:57.000,150.811,0.730,2225.817261
1 Dec 2019 17:35:58.000,150.641,0.760,2222.697289
1 Dec 2019 17:35:59.000,150.471,0.789,2219.595006
1 Dec 2019 17:36:00.000,150.301,0.818,2216.510490
1 Dec 2019 17:36:01.000,150.130,0.847,2213.443819
1 Dec 2019 17:36:02.000,149.958,0.876,2210.395072
1 Dec 2019 17:36:03.000,149.786,0.905,2207.364328
1 Dec 2019 17:36:04.000,149.614,0.934,2204.351666
1 Dec 2019 17:36:05.000,149.441,0.962,2201.357163
1 Dec 2019 17:36:06.000,149.268,0.991,2198.380898
1 Dec 2019 17:36:07.000,149.094,1.019,2195.422950
1 Dec 2019 17:36:08.000,148.919,1.047,2192.483397
1 Dec 2019 17:36:09.000,148.745,1.075,2189.562317
1 Dec 2019 17:36:10.000,148.569,1.103,2186.659789
1 Dec 2019 17:36:11.000,148.394,1.131,2183.775890
1 Dec 2019 17:36:12.000,148.217,1.158,2180.910698
1 Dec 2019 17:36:13.000,148.041,1.186,2178.064292
1 Dec 2019 17:36:14.000,147.864,1.213,2175.236749
1 Dec 2019 17:36:15.000,147.686,1.240,2172.428145
1 Dec 2019 17:36:16.000,147.508,1.267,2169.638562
1 Dec 2019 17:36:17.000,147.329,1.294,2166.868074
1 Dec 2019 17:36:18.000,147.150,1.321,2164.116760
1 Dec 2019 17:36:19.000,146.971,1.348,2161.384696
1 Dec 2019 17:36:20.000,146.791,1.374,2158.671960
