"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
3 Feb 2020 17:17:34.525,206.441,-0.124,2310.844898
3 Feb 2020 17:17:35.000,206.416,-0.096,2307.690948
3 Feb 2020 17:17:36.000,206.364,-0.036,2301.047838
3 Feb 2020 17:17:37.000,206.311,0.024,2294.406548
3 Feb 2020 17:17:38.000,206.258,0.084,2287.767105
3 Feb 2020 17:17:39.000,206.205,0.144,2281.129533
3 Feb 2020 17:17:40.000,206.151,0.204,2274.493857
3 Feb 2020 17:17:41.000,206.097,0.265,2267.860099
3 Feb 2020 17:17:42.000,206.043,0.326,2261.228285
3 Feb 2020 17:17:43.000,205.988,0.386,2254.598443
3 Feb 2020 17:17:44.000,205.933,0.448,2247.970596
3 Feb 2020 17:17:45.000,205.877,0.509,2241.344771
3 Feb 2020 17:17:46.000,205.822,0.570,2234.720991
3 Feb 2020 17:17:47.000,205.766,0.632,2228.099287
3 Feb 2020 17:17:48.000,205.709,0.693,2221.479684
3 Feb 2020 17:17:49.000,205.652,0.755,2214.862208
3 Feb 2020 17:17:50.000,205.595,0.817,2208.246887
3 Feb 2020 17:17:51.000,205.538,0.879,2201.633747
3 Feb 2020 17:17:52.000,205.480,0.942,2195.022818
3 Feb 2020 17:17:53.000,205.422,1.004,2188.414127
3 Feb 2020 17:17:54.000,205.363,1.067,2181.807704
3 Feb 2020 17:17:55.000,205.304,1.130,2175.203576
3 Feb 2020 17:17:56.000,205.245,1.193,2168.601770
3 Feb 2020 17:17:57.000,205.185,1.256,2162.002321
3 Feb 2020 17:17:58.000,205.125,1.320,2155.405255
3 Feb 2020 17:17:59.000,205.065,1.384,2148.810602
3 Feb 2020 17:18:00.000,205.004,1.447,2142.218394
3 Feb 2020 17:18:01.000,204.943,1.511,2135.628659
3 Feb 2020 17:18:02.000,204.881,1.576,2129.041431
3 Feb 2020 17:18:03.000,204.819,1.640,2122.456741
3 Feb 2020 17:18:04.000,204.757,1.705,2115.874620
3 Feb 2020 17:18:05.000,204.694,1.770,2109.295100
3 Feb 2020 17:18:06.000,204.631,1.835,2102.718212
3 Feb 2020 17:18:07.000,204.567,1.900,2096.143992
3 Feb 2020 17:18:08.000,204.503,1.965,2089.572472
3 Feb 2020 17:18:09.000,204.439,2.031,2083.003686
3 Feb 2020 17:18:10.000,204.374,2.097,2076.437666
3 Feb 2020 17:18:11.000,204.309,2.163,2069.874448
3 Feb 2020 17:18:12.000,204.243,2.229,2063.314067
3 Feb 2020 17:18:13.000,204.177,2.295,2056.756558
3 Feb 2020 17:18:14.000,204.110,2.362,2050.201956
3 Feb 2020 17:18:15.000,204.043,2.429,2043.650298
3 Feb 2020 17:18:16.000,203.976,2.496,2037.101620
3 Feb 2020 17:18:17.000,203.908,2.563,2030.555957
3 Feb 2020 17:18:18.000,203.840,2.631,2024.013350
3 Feb 2020 17:18:19.000,203.771,2.698,2017.473834
3 Feb 2020 17:18:20.000,203.701,2.766,2010.937449
3 Feb 2020 17:18:21.000,203.632,2.834,2004.404232
3 Feb 2020 17:18:22.000,203.561,2.903,1997.874221
3 Feb 2020 17:18:23.000,203.491,2.971,1991.347460
3 Feb 2020 17:18:24.000,203.419,3.040,1984.823985
3 Feb 2020 17:18:25.000,203.348,3.109,1978.303839
3 Feb 2020 17:18:26.000,203.275,3.179,1971.787062
3 Feb 2020 17:18:27.000,203.203,3.248,1965.273695
3 Feb 2020 17:18:28.000,203.130,3.318,1958.763779
3 Feb 2020 17:18:29.000,203.056,3.388,1952.257360
