"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Dec 2019 17:33:07.512,145.550,-0.056,2310.363220
1 Dec 2019 17:33:08.000,145.467,-0.044,2309.062362
1 Dec 2019 17:33:09.000,145.298,-0.020,2306.407648
1 Dec 2019 17:33:10.000,145.129,0.004,2303.771059
1 Dec 2019 17:33:11.000,144.959,0.028,2301.152661
1 Dec 2019 17:33:12.000,144.789,0.052,2298.552524
1 Dec 2019 17:33:13.000,144.618,0.076,2295.970710
1 Dec 2019 17:33:14.000,144.447,0.099,2293.407287
1 Dec 2019 17:33:15.000,144.276,0.122,2290.862319
1 Dec 2019 17:33:16.000,144.104,0.146,2288.335872
1 Dec 2019 17:33:17.000,143.932,0.169,2285.828010
1 Dec 2019 17:33:18.000,143.759,0.192,2283.338797
1 Dec 2019 17:33:19.000,143.587,0.214,2280.868302
1 Dec 2019 17:33:20.000,143.413,0.237,2278.416587
1 Dec 2019 17:33:21.000,143.240,0.259,2275.983716
1 Dec 2019 17:33:22.000,143.066,0.282,2273.569753
1 Dec 2019 17:33:23.000,142.891,0.304,2271.174761
1 Dec 2019 17:33:24.000,142.716,0.326,2268.798807
1 Dec 2019 17:33:25.000,142.541,0.348,2266.441952
1 Dec 2019 17:33:26.000,142.366,0.370,2264.104259
1 Dec 2019 17:33:27.000,142.190,0.391,2261.785793
1 Dec 2019 17:33:28.000,142.014,0.413,2259.486612
1 Dec 2019 17:33:29.000,141.837,0.434,2257.206783
1 Dec 2019 17:33:30.000,141.660,0.455,2254.946368
1 Dec 2019 17:33:31.000,141.483,0.476,2252.705426
1 Dec 2019 17:33:32.000,141.305,0.497,2250.484019
1 Dec 2019 17:33:33.000,141.127,0.517,2248.282211
1 Dec 2019 17:33:34.000,140.949,0.538,2246.100061
1 Dec 2019 17:33:35.000,140.770,0.558,2243.937630
1 Dec 2019 17:33:36.000,140.591,0.578,2241.794976
1 Dec 2019 17:33:37.000,140.411,0.598,2239.672164
1 Dec 2019 17:33:38.000,140.231,0.618,2237.569251
1 Dec 2019 17:33:39.000,140.051,0.638,2235.486293
1 Dec 2019 17:33:40.000,139.871,0.657,2233.423355
1 Dec 2019 17:33:41.000,139.690,0.676,2231.380494
1 Dec 2019 17:33:42.000,139.509,0.696,2229.357764
1 Dec 2019 17:33:43.000,139.328,0.715,2227.355229
1 Dec 2019 17:33:44.000,139.146,0.733,2225.372944
1 Dec 2019 17:33:45.000,138.964,0.752,2223.410964
1 Dec 2019 17:33:46.000,138.781,0.771,2221.469350
1 Dec 2019 17:33:47.000,138.598,0.789,2219.548157
1 Dec 2019 17:33:48.000,138.415,0.807,2217.647438
1 Dec 2019 17:33:49.000,138.232,0.825,2215.767253
1 Dec 2019 17:33:50.000,138.048,0.843,2213.907656
1 Dec 2019 17:33:51.000,137.864,0.860,2212.068699
1 Dec 2019 17:33:52.000,137.680,0.878,2210.250442
1 Dec 2019 17:33:53.000,137.495,0.895,2208.452932
1 Dec 2019 17:33:54.000,137.310,0.912,2206.676229
1 Dec 2019 17:33:55.000,137.125,0.929,2204.920384
1 Dec 2019 17:33:56.000,136.940,0.945,2203.185446
1 Dec 2019 17:33:57.000,136.754,0.962,2201.471473
1 Dec 2019 17:33:58.000,136.568,0.978,2199.778512
1 Dec 2019 17:33:59.000,136.381,0.994,2198.106619
1 Dec 2019 17:34:00.000,136.194,1.010,2196.455839
1 Dec 2019 17:34:01.000,136.007,1.026,2194.826228
1 Dec 2019 17:34:02.000,135.820,1.042,2193.217834
1 Dec 2019 17:34:03.000,135.633,1.057,2191.630702
1 Dec 2019 17:34:04.000,135.445,1.072,2190.064888
1 Dec 2019 17:34:05.000,135.257,1.087,2188.520433
1 Dec 2019 17:34:06.000,135.068,1.102,2186.997392
1 Dec 2019 17:34:07.000,134.880,1.117,2185.495806
1 Dec 2019 17:34:08.000,134.691,1.131,2184.015728
1 Dec 2019 17:34:09.000,134.502,1.145,2182.557197
1 Dec 2019 17:34:10.000,134.312,1.159,2181.120266
1 Dec 2019 17:34:11.000,134.123,1.173,2179.704974
1 Dec 2019 17:34:12.000,133.933,1.187,2178.311370
1 Dec 2019 17:34:13.000,133.743,1.200,2176.939495
1 Dec 2019 17:34:14.000,133.552,1.214,2175.589392
1 Dec 2019 17:34:15.000,133.362,1.227,2174.261109
1 Dec 2019 17:34:16.000,133.171,1.239,2172.954683
1 Dec 2019 17:34:17.000,132.980,1.252,2171.670159
1 Dec 2019 17:34:18.000,132.788,1.265,2170.407574
1 Dec 2019 17:34:19.000,132.597,1.277,2169.166975
1 Dec 2019 17:34:20.000,132.405,1.289,2167.948394
1 Dec 2019 17:34:21.000,132.213,1.301,2166.751875
1 Dec 2019 17:34:22.000,132.021,1.312,2165.577459
1 Dec 2019 17:34:23.000,131.828,1.324,2164.425179
