"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Dec 2019 17:35:32.308,148.898,-0.056,2309.964304
1 Dec 2019 17:35:33.000,148.784,-0.037,2307.891928
1 Dec 2019 17:35:34.000,148.618,-0.010,2304.913131
1 Dec 2019 17:35:35.000,148.453,0.017,2301.951668
1 Dec 2019 17:35:36.000,148.287,0.044,2299.007611
1 Dec 2019 17:35:37.000,148.120,0.071,2296.081030
1 Dec 2019 17:35:38.000,147.953,0.097,2293.171996
1 Dec 2019 17:35:39.000,147.785,0.124,2290.280582
1 Dec 2019 17:35:40.000,147.617,0.150,2287.406857
1 Dec 2019 17:35:41.000,147.449,0.176,2284.550893
1 Dec 2019 17:35:42.000,147.280,0.202,2281.712759
1 Dec 2019 17:35:43.000,147.111,0.228,2278.892528
1 Dec 2019 17:35:44.000,146.942,0.254,2276.090270
1 Dec 2019 17:35:45.000,146.772,0.280,2273.306054
1 Dec 2019 17:35:46.000,146.601,0.305,2270.539952
1 Dec 2019 17:35:47.000,146.430,0.331,2267.792034
1 Dec 2019 17:35:48.000,146.259,0.356,2265.062368
1 Dec 2019 17:35:49.000,146.087,0.381,2262.351028
1 Dec 2019 17:35:50.000,145.915,0.406,2259.658081
1 Dec 2019 17:35:51.000,145.743,0.431,2256.983598
1 Dec 2019 17:35:52.000,145.570,0.456,2254.327649
1 Dec 2019 17:35:53.000,145.396,0.481,2251.690301
1 Dec 2019 17:35:54.000,145.223,0.505,2249.071626
1 Dec 2019 17:35:55.000,145.048,0.529,2246.471692
1 Dec 2019 17:35:56.000,144.874,0.553,2243.890568
1 Dec 2019 17:35:57.000,144.699,0.578,2241.328320
1 Dec 2019 17:35:58.000,144.523,0.601,2238.785022
1 Dec 2019 17:35:59.000,144.348,0.625,2236.260740
1 Dec 2019 17:36:00.000,144.171,0.649,2233.755541
1 Dec 2019 17:36:01.000,143.995,0.672,2231.269494
1 Dec 2019 17:36:02.000,143.818,0.695,2228.802667
1 Dec 2019 17:36:03.000,143.640,0.719,2226.355125
1 Dec 2019 17:36:04.000,143.463,0.741,2223.926939
1 Dec 2019 17:36:05.000,143.284,0.764,2221.518174
1 Dec 2019 17:36:06.000,143.106,0.787,2219.128898
1 Dec 2019 17:36:07.000,142.927,0.809,2216.759177
1 Dec 2019 17:36:08.000,142.748,0.832,2214.409075
1 Dec 2019 17:36:09.000,142.568,0.854,2212.078661
1 Dec 2019 17:36:10.000,142.388,0.876,2209.768001
