"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
7 Jan 2020 03:47:04.814,185.767,-0.056,2300.062719
7 Jan 2020 03:47:05.000,185.749,-0.046,2298.981051
7 Jan 2020 03:47:06.000,185.649,0.007,2293.163883
7 Jan 2020 03:47:07.000,185.548,0.059,2287.353129
7 Jan 2020 03:47:08.000,185.447,0.112,2281.548845
7 Jan 2020 03:47:09.000,185.345,0.164,2275.751088
7 Jan 2020 03:47:10.000,185.243,0.217,2269.959915
7 Jan 2020 03:47:11.000,185.140,0.270,2264.175384
7 Jan 2020 03:47:12.000,185.037,0.323,2258.397554
7 Jan 2020 03:47:13.000,184.933,0.376,2252.626483
7 Jan 2020 03:47:14.000,184.828,0.429,2246.862232
7 Jan 2020 03:47:15.000,184.723,0.482,2241.104859
7 Jan 2020 03:47:16.000,184.618,0.535,2235.354425
7 Jan 2020 03:47:17.000,184.512,0.588,2229.610992
7 Jan 2020 03:47:18.000,184.405,0.642,2223.874621
7 Jan 2020 03:47:19.000,184.298,0.695,2218.145374
7 Jan 2020 03:47:20.000,184.190,0.749,2212.423313
7 Jan 2020 03:47:21.000,184.082,0.802,2206.708503
7 Jan 2020 03:47:22.000,183.973,0.856,2201.001006
7 Jan 2020 03:47:23.000,183.863,0.910,2195.300887
7 Jan 2020 03:47:24.000,183.753,0.964,2189.608210
7 Jan 2020 03:47:25.000,183.643,1.018,2183.923043
7 Jan 2020 03:47:26.000,183.532,1.071,2178.245449
7 Jan 2020 03:47:27.000,183.420,1.126,2172.575497
7 Jan 2020 03:47:28.000,183.307,1.180,2166.913252
7 Jan 2020 03:47:29.000,183.194,1.234,2161.258784
7 Jan 2020 03:47:30.000,183.081,1.288,2155.612160
7 Jan 2020 03:47:31.000,182.966,1.343,2149.973450
7 Jan 2020 03:47:32.000,182.852,1.397,2144.342723
7 Jan 2020 03:47:33.000,182.736,1.452,2138.720049
7 Jan 2020 03:47:34.000,182.620,1.506,2133.105500
7 Jan 2020 03:47:35.000,182.503,1.561,2127.499146
7 Jan 2020 03:47:36.000,182.386,1.616,2121.901060
7 Jan 2020 03:47:37.000,182.268,1.670,2116.311314
7 Jan 2020 03:47:38.000,182.150,1.725,2110.729983
7 Jan 2020 03:47:39.000,182.030,1.780,2105.157140
7 Jan 2020 03:47:40.000,181.910,1.835,2099.592859
7 Jan 2020 03:47:41.000,181.790,1.890,2094.037217
7 Jan 2020 03:47:42.000,181.669,1.946,2088.490289
7 Jan 2020 03:47:43.000,181.547,2.001,2082.952152
7 Jan 2020 03:47:44.000,181.424,2.056,2077.422883
7 Jan 2020 03:47:45.000,181.301,2.112,2071.902561
7 Jan 2020 03:47:46.000,181.177,2.167,2066.391264
7 Jan 2020 03:47:47.000,181.053,2.223,2060.889072
7 Jan 2020 03:47:48.000,180.927,2.278,2055.396065
7 Jan 2020 03:47:49.000,180.801,2.334,2049.912324
7 Jan 2020 03:47:50.000,180.675,2.390,2044.437929
7 Jan 2020 03:47:51.000,180.548,2.446,2038.972965
7 Jan 2020 03:47:52.000,180.420,2.502,2033.517513
7 Jan 2020 03:47:53.000,180.291,2.558,2028.071658
7 Jan 2020 03:47:54.000,180.161,2.614,2022.635484
7 Jan 2020 03:47:55.000,180.031,2.670,2017.209076
7 Jan 2020 03:47:56.000,179.900,2.726,2011.792520
7 Jan 2020 03:47:57.000,179.769,2.783,2006.385903
7 Jan 2020 03:47:58.000,179.636,2.839,2000.989313
7 Jan 2020 03:47:59.000,179.503,2.895,1995.602838
7 Jan 2020 03:48:00.000,179.370,2.952,1990.226566
7 Jan 2020 03:48:01.000,179.235,3.009,1984.860588
7 Jan 2020 03:48:02.000,179.100,3.065,1979.504995
7 Jan 2020 03:48:03.000,178.964,3.122,1974.159877
7 Jan 2020 03:48:04.000,178.827,3.179,1968.825327
7 Jan 2020 03:48:05.000,178.689,3.236,1963.501437
7 Jan 2020 03:48:06.000,178.551,3.293,1958.188303
7 Jan 2020 03:48:07.000,178.412,3.350,1952.886018
7 Jan 2020 03:48:08.000,178.272,3.407,1947.594678
7 Jan 2020 03:48:09.000,178.131,3.464,1942.314378
7 Jan 2020 03:48:10.000,177.990,3.521,1937.045217
7 Jan 2020 03:48:11.000,177.847,3.578,1931.787292
7 Jan 2020 03:48:12.000,177.704,3.636,1926.540702
7 Jan 2020 03:48:13.000,177.560,3.693,1921.305546
7 Jan 2020 03:48:14.000,177.416,3.750,1916.081926
7 Jan 2020 03:48:15.000,177.270,3.808,1910.869941
7 Jan 2020 03:48:16.000,177.124,3.866,1905.669695
7 Jan 2020 03:48:17.000,176.976,3.923,1900.481291
7 Jan 2020 03:48:18.000,176.828,3.981,1895.304832
7 Jan 2020 03:48:19.000,176.680,4.039,1890.140424
7 Jan 2020 03:48:20.000,176.530,4.096,1884.988171
7 Jan 2020 03:48:21.000,176.379,4.154,1879.848182
7 Jan 2020 03:48:22.000,176.228,4.212,1874.720563
7 Jan 2020 03:48:23.000,176.076,4.270,1869.605422
7 Jan 2020 03:48:24.000,175.923,4.328,1864.502869
7 Jan 2020 03:48:25.000,175.769,4.386,1859.413015
7 Jan 2020 03:48:26.000,175.614,4.444,1854.335970
7 Jan 2020 03:48:27.000,175.458,4.503,1849.271846
7 Jan 2020 03:48:28.000,175.301,4.561,1844.220757
7 Jan 2020 03:48:29.000,175.144,4.619,1839.182816
7 Jan 2020 03:48:30.000,174.985,4.677,1834.158138
7 Jan 2020 03:48:31.000,174.826,4.736,1829.146840
7 Jan 2020 03:48:32.000,174.666,4.794,1824.149038
7 Jan 2020 03:48:33.000,174.504,4.853,1819.164849
7 Jan 2020 03:48:34.000,174.342,4.911,1814.194392
7 Jan 2020 03:48:35.000,174.179,4.970,1809.237788
7 Jan 2020 03:48:36.000,174.015,5.028,1804.295155
7 Jan 2020 03:48:37.000,173.850,5.087,1799.366617
7 Jan 2020 03:48:38.000,173.684,5.146,1794.452296
7 Jan 2020 03:48:39.000,173.518,5.204,1789.552314
7 Jan 2020 03:48:40.000,173.350,5.263,1784.666798
7 Jan 2020 03:48:41.000,173.181,5.322,1779.795871
7 Jan 2020 03:48:42.000,173.012,5.380,1774.939661
7 Jan 2020 03:48:43.000,172.841,5.439,1770.098295
7 Jan 2020 03:48:44.000,172.669,5.498,1765.271902
7 Jan 2020 03:48:45.000,172.497,5.557,1760.460610
7 Jan 2020 03:48:46.000,172.323,5.616,1755.664551
7 Jan 2020 03:48:47.000,172.148,5.675,1750.883856
7 Jan 2020 03:48:48.000,171.973,5.734,1746.118657
7 Jan 2020 03:48:49.000,171.796,5.793,1741.369087
7 Jan 2020 03:48:50.000,171.619,5.852,1736.635282
7 Jan 2020 03:48:51.000,171.440,5.911,1731.917375
