"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
7 Jan 2020 03:04:31.675,165.633,-0.079,2311.276398
7 Jan 2020 03:04:32.000,165.588,-0.066,2309.828599
7 Jan 2020 03:04:33.000,165.448,-0.026,2305.379212
7 Jan 2020 03:04:34.000,165.307,0.015,2300.942355
7 Jan 2020 03:04:35.000,165.165,0.055,2296.518107
7 Jan 2020 03:04:36.000,165.023,0.095,2292.106545
7 Jan 2020 03:04:37.000,164.881,0.135,2287.707752
7 Jan 2020 03:04:38.000,164.738,0.175,2283.321804
7 Jan 2020 03:04:39.000,164.594,0.215,2278.948783
7 Jan 2020 03:04:40.000,164.450,0.254,2274.588769
7 Jan 2020 03:04:41.000,164.305,0.294,2270.241843
7 Jan 2020 03:04:42.000,164.160,0.334,2265.908086
7 Jan 2020 03:04:43.000,164.014,0.374,2261.587580
7 Jan 2020 03:04:44.000,163.867,0.413,2257.280405
7 Jan 2020 03:04:45.000,163.720,0.453,2252.986644
7 Jan 2020 03:04:46.000,163.573,0.493,2248.706382
7 Jan 2020 03:04:47.000,163.424,0.532,2244.439699
7 Jan 2020 03:04:48.000,163.276,0.572,2240.186680
7 Jan 2020 03:04:49.000,163.126,0.611,2235.947408
7 Jan 2020 03:04:50.000,162.977,0.651,2231.721967
7 Jan 2020 03:04:51.000,162.826,0.690,2227.510441
7 Jan 2020 03:04:52.000,162.675,0.729,2223.312916
7 Jan 2020 03:04:53.000,162.523,0.769,2219.129476
7 Jan 2020 03:04:54.000,162.371,0.808,2214.960207
7 Jan 2020 03:04:55.000,162.218,0.847,2210.805195
7 Jan 2020 03:04:56.000,162.065,0.886,2206.664525
7 Jan 2020 03:04:57.000,161.911,0.925,2202.538285
7 Jan 2020 03:04:58.000,161.757,0.964,2198.426561
7 Jan 2020 03:04:59.000,161.601,1.003,2194.329439
7 Jan 2020 03:05:00.000,161.446,1.042,2190.247008
7 Jan 2020 03:05:01.000,161.289,1.081,2186.179357
7 Jan 2020 03:05:02.000,161.133,1.119,2182.126571
7 Jan 2020 03:05:03.000,160.975,1.158,2178.088742
7 Jan 2020 03:05:04.000,160.817,1.197,2174.065955
7 Jan 2020 03:05:05.000,160.658,1.235,2170.058302
7 Jan 2020 03:05:06.000,160.499,1.273,2166.065872
7 Jan 2020 03:05:07.000,160.339,1.312,2162.088752
7 Jan 2020 03:05:08.000,160.179,1.350,2158.127036
7 Jan 2020 03:05:09.000,160.018,1.388,2154.180811
7 Jan 2020 03:05:10.000,159.856,1.427,2150.250172
7 Jan 2020 03:05:11.000,159.694,1.465,2146.335205
7 Jan 2020 03:05:12.000,159.531,1.503,2142.436004
7 Jan 2020 03:05:13.000,159.367,1.541,2138.552661
7 Jan 2020 03:05:14.000,159.203,1.578,2134.685265
7 Jan 2020 03:05:15.000,159.039,1.616,2130.833911
7 Jan 2020 03:05:16.000,158.873,1.654,2126.998691
7 Jan 2020 03:05:17.000,158.708,1.691,2123.179696
7 Jan 2020 03:05:18.000,158.541,1.729,2119.377019
7 Jan 2020 03:05:19.000,158.374,1.766,2115.590755
7 Jan 2020 03:05:20.000,158.206,1.804,2111.820998
7 Jan 2020 03:05:21.000,158.038,1.841,2108.067839
7 Jan 2020 03:05:22.000,157.869,1.878,2104.331372
7 Jan 2020 03:05:23.000,157.699,1.915,2100.611694
7 Jan 2020 03:05:24.000,157.529,1.952,2096.908898
7 Jan 2020 03:05:25.000,157.358,1.989,2093.223078
7 Jan 2020 03:05:26.000,157.187,2.026,2089.554329
7 Jan 2020 03:05:27.000,157.015,2.063,2085.902747
7 Jan 2020 03:05:28.000,156.842,2.099,2082.268428
7 Jan 2020 03:05:29.000,156.669,2.136,2078.651465
7 Jan 2020 03:05:30.000,156.495,2.172,2075.051955
7 Jan 2020 03:05:31.000,156.321,2.208,2071.469994
7 Jan 2020 03:05:32.000,156.146,2.244,2067.905678
7 Jan 2020 03:05:33.000,155.970,2.280,2064.359105
7 Jan 2020 03:05:34.000,155.794,2.316,2060.830369
7 Jan 2020 03:05:35.000,155.617,2.352,2057.319568
7 Jan 2020 03:05:36.000,155.439,2.388,2053.826798
7 Jan 2020 03:05:37.000,155.261,2.423,2050.352157
7 Jan 2020 03:05:38.000,155.082,2.459,2046.895741
7 Jan 2020 03:05:39.000,154.903,2.494,2043.457650
7 Jan 2020 03:05:40.000,154.723,2.530,2040.037978
7 Jan 2020 03:05:41.000,154.542,2.565,2036.636823
7 Jan 2020 03:05:42.000,154.361,2.600,2033.254284
7 Jan 2020 03:05:43.000,154.179,2.635,2029.890458
7 Jan 2020 03:05:44.000,153.996,2.669,2026.545444
7 Jan 2020 03:05:45.000,153.813,2.704,2023.219338
7 Jan 2020 03:05:46.000,153.629,2.738,2019.912240
7 Jan 2020 03:05:47.000,153.445,2.773,2016.624247
7 Jan 2020 03:05:48.000,153.260,2.807,2013.355459
7 Jan 2020 03:05:49.000,153.074,2.841,2010.105972
7 Jan 2020 03:05:50.000,152.888,2.875,2006.875884
7 Jan 2020 03:05:51.000,152.701,2.909,2003.665295
7 Jan 2020 03:05:52.000,152.514,2.942,2000.474303
7 Jan 2020 03:05:53.000,152.326,2.976,1997.303005
7 Jan 2020 03:05:54.000,152.137,3.009,1994.151502
7 Jan 2020 03:05:55.000,151.948,3.043,1991.019890
7 Jan 2020 03:05:56.000,151.758,3.076,1987.908269
7 Jan 2020 03:05:57.000,151.567,3.109,1984.816737
7 Jan 2020 03:05:58.000,151.376,3.141,1981.745393
