"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
7 Jan 2020 03:06:57.685,167.682,-0.079,2310.822976
7 Jan 2020 03:06:58.000,167.639,-0.066,2309.368420
7 Jan 2020 03:06:59.000,167.502,-0.024,2304.759257
7 Jan 2020 03:07:00.000,167.365,0.018,2300.161993
7 Jan 2020 03:07:01.000,167.227,0.059,2295.576704
7 Jan 2020 03:07:02.000,167.088,0.101,2291.003471
7 Jan 2020 03:07:03.000,166.950,0.142,2286.442369
7 Jan 2020 03:07:04.000,166.810,0.183,2281.893480
7 Jan 2020 03:07:05.000,166.670,0.225,2277.356881
7 Jan 2020 03:07:06.000,166.529,0.266,2272.832653
7 Jan 2020 03:07:07.000,166.388,0.308,2268.320874
7 Jan 2020 03:07:08.000,166.246,0.349,2263.821628
7 Jan 2020 03:07:09.000,166.104,0.390,2259.334992
7 Jan 2020 03:07:10.000,165.961,0.432,2254.861050
7 Jan 2020 03:07:11.000,165.817,0.473,2250.399881
7 Jan 2020 03:07:12.000,165.673,0.514,2245.951571
7 Jan 2020 03:07:13.000,165.529,0.555,2241.516198
7 Jan 2020 03:07:14.000,165.383,0.596,2237.093849
7 Jan 2020 03:07:15.000,165.238,0.637,2232.684604
7 Jan 2020 03:07:16.000,165.091,0.678,2228.288549
7 Jan 2020 03:07:17.000,164.944,0.719,2223.905766
7 Jan 2020 03:07:18.000,164.797,0.760,2219.536342
7 Jan 2020 03:07:19.000,164.648,0.801,2215.180359
7 Jan 2020 03:07:20.000,164.500,0.842,2210.837905
7 Jan 2020 03:07:21.000,164.350,0.883,2206.509063
7 Jan 2020 03:07:22.000,164.200,0.924,2202.193921
7 Jan 2020 03:07:23.000,164.050,0.965,2197.892566
7 Jan 2020 03:07:24.000,163.899,1.005,2193.605083
7 Jan 2020 03:07:25.000,163.747,1.046,2189.331561
7 Jan 2020 03:07:26.000,163.595,1.086,2185.072086
7 Jan 2020 03:07:27.000,163.442,1.127,2180.826747
7 Jan 2020 03:07:28.000,163.288,1.168,2176.595631
7 Jan 2020 03:07:29.000,163.134,1.208,2172.378829
7 Jan 2020 03:07:30.000,162.979,1.248,2168.176430
7 Jan 2020 03:07:31.000,162.824,1.289,2163.988521
7 Jan 2020 03:07:32.000,162.668,1.329,2159.815195
7 Jan 2020 03:07:33.000,162.511,1.369,2155.656540
7 Jan 2020 03:07:34.000,162.354,1.409,2151.512648
7 Jan 2020 03:07:35.000,162.196,1.450,2147.383610
7 Jan 2020 03:07:36.000,162.038,1.490,2143.269517
7 Jan 2020 03:07:37.000,161.878,1.530,2139.170461
7 Jan 2020 03:07:38.000,161.719,1.570,2135.086533
7 Jan 2020 03:07:39.000,161.558,1.609,2131.017827
7 Jan 2020 03:07:40.000,161.397,1.649,2126.964436
7 Jan 2020 03:07:41.000,161.236,1.689,2122.926452
7 Jan 2020 03:07:42.000,161.074,1.729,2118.903968
7 Jan 2020 03:07:43.000,160.911,1.768,2114.897081
7 Jan 2020 03:07:44.000,160.747,1.808,2110.905882
7 Jan 2020 03:07:45.000,160.583,1.847,2106.930467
7 Jan 2020 03:07:46.000,160.418,1.887,2102.970932
7 Jan 2020 03:07:47.000,160.253,1.926,2099.027369
7 Jan 2020 03:07:48.000,160.087,1.965,2095.099876
7 Jan 2020 03:07:49.000,159.920,2.004,2091.188549
7 Jan 2020 03:07:50.000,159.753,2.043,2087.293483
7 Jan 2020 03:07:51.000,159.585,2.082,2083.414774
7 Jan 2020 03:07:52.000,159.417,2.121,2079.552521
7 Jan 2020 03:07:53.000,159.248,2.160,2075.706821
7 Jan 2020 03:07:54.000,159.078,2.199,2071.877769
7 Jan 2020 03:07:55.000,158.907,2.237,2068.065464
7 Jan 2020 03:07:56.000,158.736,2.276,2064.270005
7 Jan 2020 03:07:57.000,158.564,2.314,2060.491488
7 Jan 2020 03:07:58.000,158.392,2.353,2056.730013
7 Jan 2020 03:07:59.000,158.219,2.391,2052.985679
7 Jan 2020 03:08:00.000,158.045,2.429,2049.258586
7 Jan 2020 03:08:01.000,157.871,2.467,2045.548831
7 Jan 2020 03:08:02.000,157.696,2.505,2041.856514
7 Jan 2020 03:08:03.000,157.520,2.543,2038.181736
7 Jan 2020 03:08:04.000,157.344,2.581,2034.524596
7 Jan 2020 03:08:05.000,157.167,2.618,2030.885197
7 Jan 2020 03:08:06.000,156.989,2.656,2027.263636
