"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
3 Feb 2020 17:17:52.100,213.426,-0.078,2306.920268
3 Feb 2020 17:17:53.000,213.395,-0.023,2300.799175
3 Feb 2020 17:17:54.000,213.359,0.038,2293.996458
3 Feb 2020 17:17:55.000,213.324,0.100,2287.194611
3 Feb 2020 17:17:56.000,213.288,0.161,2280.393648
3 Feb 2020 17:17:57.000,213.252,0.223,2273.593583
3 Feb 2020 17:17:58.000,213.215,0.285,2266.794436
3 Feb 2020 17:17:59.000,213.179,0.348,2259.996222
3 Feb 2020 17:18:00.000,213.142,0.410,2253.198958
3 Feb 2020 17:18:01.000,213.105,0.473,2246.402659
3 Feb 2020 17:18:02.000,213.067,0.535,2239.607345
3 Feb 2020 17:18:03.000,213.030,0.598,2232.813031
3 Feb 2020 17:18:04.000,212.992,0.662,2226.019736
3 Feb 2020 17:18:05.000,212.954,0.725,2219.227475
3 Feb 2020 17:18:06.000,212.916,0.789,2212.436269
3 Feb 2020 17:18:07.000,212.877,0.852,2205.646134
3 Feb 2020 17:18:08.000,212.839,0.916,2198.857087
3 Feb 2020 17:18:09.000,212.800,0.981,2192.069150
3 Feb 2020 17:18:10.000,212.760,1.045,2185.282340
3 Feb 2020 17:18:11.000,212.721,1.109,2178.496675
3 Feb 2020 17:18:12.000,212.681,1.174,2171.712173
3 Feb 2020 17:18:13.000,212.641,1.239,2164.928855
3 Feb 2020 17:18:14.000,212.601,1.304,2158.146741
3 Feb 2020 17:18:15.000,212.560,1.370,2151.365849
3 Feb 2020 17:18:16.000,212.520,1.435,2144.586198
3 Feb 2020 17:18:17.000,212.478,1.501,2137.807810
3 Feb 2020 17:18:18.000,212.437,1.567,2131.030706
3 Feb 2020 17:18:19.000,212.395,1.633,2124.254904
3 Feb 2020 17:18:20.000,212.353,1.700,2117.480424
3 Feb 2020 17:18:21.000,212.311,1.767,2110.707291
3 Feb 2020 17:18:22.000,212.269,1.834,2103.935524
3 Feb 2020 17:18:23.000,212.226,1.901,2097.165145
3 Feb 2020 17:18:24.000,212.183,1.968,2090.396172
3 Feb 2020 17:18:25.000,212.140,2.036,2083.628633
3 Feb 2020 17:18:26.000,212.096,2.103,2076.862547
3 Feb 2020 17:18:27.000,212.052,2.171,2070.097937
3 Feb 2020 17:18:28.000,212.008,2.240,2063.334823
3 Feb 2020 17:18:29.000,211.963,2.308,2056.573233
3 Feb 2020 17:18:30.000,211.918,2.377,2049.813187
3 Feb 2020 17:18:31.000,211.873,2.446,2043.054710
3 Feb 2020 17:18:32.000,211.827,2.515,2036.297822
3 Feb 2020 17:18:33.000,211.782,2.585,2029.542553
3 Feb 2020 17:18:34.000,211.736,2.654,2022.788925
3 Feb 2020 17:18:35.000,211.689,2.724,2016.036962
3 Feb 2020 17:18:36.000,211.642,2.795,2009.286687
3 Feb 2020 17:18:37.000,211.595,2.865,2002.538129
3 Feb 2020 17:18:38.000,211.548,2.936,1995.791313
3 Feb 2020 17:18:39.000,211.500,3.007,1989.046262
3 Feb 2020 17:18:40.000,211.452,3.078,1982.303006
3 Feb 2020 17:18:41.000,211.403,3.150,1975.561570
3 Feb 2020 17:18:42.000,211.354,3.222,1968.821980
3 Feb 2020 17:18:43.000,211.305,3.294,1962.084265
3 Feb 2020 17:18:44.000,211.255,3.366,1955.348449
3 Feb 2020 17:18:45.000,211.206,3.439,1948.614564
3 Feb 2020 17:18:46.000,211.155,3.512,1941.882637
3 Feb 2020 17:18:47.000,211.105,3.585,1935.152696
3 Feb 2020 17:18:48.000,211.054,3.658,1928.424769
3 Feb 2020 17:18:49.000,211.002,3.732,1921.698887
3 Feb 2020 17:18:50.000,210.950,3.806,1914.975080
3 Feb 2020 17:18:51.000,210.898,3.880,1908.253378
3 Feb 2020 17:18:52.000,210.846,3.955,1901.533808
3 Feb 2020 17:18:53.000,210.793,4.030,1894.816406
3 Feb 2020 17:18:54.000,210.739,4.105,1888.101201
3 Feb 2020 17:18:55.000,210.685,4.181,1881.388224
3 Feb 2020 17:18:56.000,210.631,4.256,1874.677507
3 Feb 2020 17:18:57.000,210.577,4.333,1867.969084
3 Feb 2020 17:18:58.000,210.522,4.409,1861.262988
3 Feb 2020 17:18:59.000,210.466,4.486,1854.559251
3 Feb 2020 17:19:00.000,210.410,4.563,1847.857906
3 Feb 2020 17:19:01.000,210.354,4.640,1841.158990
3 Feb 2020 17:19:02.000,210.297,4.718,1834.462537
3 Feb 2020 17:19:03.000,210.240,4.796,1827.768581
3 Feb 2020 17:19:04.000,210.182,4.874,1821.077157
3 Feb 2020 17:19:05.000,210.124,4.953,1814.388304
3 Feb 2020 17:19:06.000,210.066,5.032,1807.702057
3 Feb 2020 17:19:07.000,210.007,5.112,1801.018453
3 Feb 2020 17:19:08.000,209.947,5.191,1794.337531
3 Feb 2020 17:19:09.000,209.887,5.271,1787.659325
3 Feb 2020 17:19:10.000,209.827,5.352,1780.983879
3 Feb 2020 17:19:11.000,209.766,5.433,1774.311231
3 Feb 2020 17:19:12.000,209.705,5.514,1767.641419
3 Feb 2020 17:19:13.000,209.643,5.595,1760.974482
3 Feb 2020 17:19:14.000,209.581,5.677,1754.310465
3 Feb 2020 17:19:15.000,209.518,5.760,1747.649408
3 Feb 2020 17:19:16.000,209.454,5.842,1740.991353
3 Feb 2020 17:19:17.000,209.390,5.925,1734.336342
3 Feb 2020 17:19:18.000,209.326,6.009,1727.684416
