Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,UVAGS,VCC-C,44430,2020-03-26 02:22:29.544,2020-03-26 02:31:21.781,532.237,11.209
1,WFF,VCC-C,44430,2020-03-26 02:23:02.659,2020-03-26 02:32:05.294,542.635,12.368
2,ODUGS,VCC-C,44430,2020-03-26 02:23:09.443,2020-03-26 02:31:49.521,520.078,10.218
3,VTGS,VCC-A,44428,2020-03-26 02:59:14.986,2020-03-26 03:08:26.061,551.075,13.129
4,UVAGS,VCC-A,44428,2020-03-26 02:59:19.892,2020-03-26 03:08:57.245,577.353,16.291
5,WFF,VCC-A,44428,2020-03-26 02:59:51.030,2020-03-26 03:09:39.187,588.157,18.626
6,ODUGS,VCC-A,44428,2020-03-26 02:59:56.597,2020-03-26 03:09:28.998,572.401,15.53
7,VTGS,VCC-B,44431,2020-03-26 03:01:15.186,2020-03-26 03:10:29.030,553.844,13.448
8,UVAGS,VCC-B,44431,2020-03-26 03:01:20.119,2020-03-26 03:10:59.850,579.731,16.696
9,WFF,VCC-B,44431,2020-03-26 03:01:51.175,2020-03-26 03:11:41.633,590.458,19.137
10,ODUGS,VCC-B,44431,2020-03-26 03:01:56.659,2020-03-26 03:11:31.776,575.117,15.953
11,VTGS,VCC-C,44430,2020-03-26 03:58:28.027,2020-03-26 04:08:48.304,620.277,34.39
12,UVAGS,VCC-C,44430,2020-03-26 03:58:35.191,2020-03-26 04:09:06.771,631.58,46.521
13,WFF,VCC-C,44430,2020-03-26 03:59:06.071,2020-03-26 04:09:40.453,634.382,61.084
14,ODUGS,VCC-C,44430,2020-03-26 03:59:08.687,2020-03-26 04:09:40.709,632.022,47.712
15,VTGS,VCC-A,44428,2020-03-26 04:35:21.256,2020-03-26 04:45:59.663,638.407,76.864
16,UVAGS,VCC-A,44428,2020-03-26 04:35:30.689,2020-03-26 04:46:10.871,640.182,76.586
17,WFF,VCC-A,44428,2020-03-26 04:36:03.542,2020-03-26 04:46:38.128,634.586,56.011
18,ODUGS,VCC-A,44428,2020-03-26 04:36:04.196,2020-03-26 04:46:43.729,639.533,71.613
19,VTGS,VCC-B,44431,2020-03-26 04:37:21.561,2020-03-26 04:48:00.095,638.534,80.883
20,UVAGS,VCC-B,44431,2020-03-26 04:37:31.152,2020-03-26 04:48:10.846,639.694,72.639
21,WFF,VCC-B,44431,2020-03-26 04:38:04.180,2020-03-26 04:48:37.667,633.487,52.97
22,ODUGS,VCC-B,44431,2020-03-26 04:38:04.694,2020-03-26 04:48:43.596,638.902,67.689
23,VTGS,VCC-C,44430,2020-03-26 05:34:55.247,2020-03-26 05:44:35.659,580.412,19.738
24,UVAGS,VCC-C,44430,2020-03-26 05:35:12.866,2020-03-26 05:44:29.903,557.037,15.085
25,ODUGS,VCC-C,44430,2020-03-26 05:35:50.730,2020-03-26 05:44:56.125,545.395,13.588
26,WFF,VCC-C,44430,2020-03-26 05:35:56.728,2020-03-26 05:44:38.058,521.33,11.337
27,ODUGS,VCC-A,44428,2020-03-26 19:38:13.951,2020-03-26 19:46:41.992,508.041,10.041
28,ODUGS,VCC-B,44431,2020-03-26 19:40:09.283,2020-03-26 19:48:44.437,515.154,10.591
29,WFF,VCC-B,44431,2020-03-26 19:40:29.747,2020-03-26 19:49:01.213,511.466,10.445
30,VTGS,VCC-C,44430,2020-03-26 20:34:57.150,2020-03-26 20:45:03.806,606.656,29.668
31,UVAGS,VCC-C,44430,2020-03-26 20:35:19.465,2020-03-26 20:45:33.773,614.308,32.857
32,ODUGS,VCC-C,44430,2020-03-26 20:35:19.493,2020-03-26 20:45:47.326,627.833,49.324
33,WFF,VCC-C,44430,2020-03-26 20:35:38.822,2020-03-26 20:46:04.012,625.19,46.778
34,VTGS,VCC-A,44428,2020-03-26 21:12:30.952,2020-03-26 21:23:06.457,635.505,76.245
35,UVAGS,VCC-A,44428,2020-03-26 21:12:56.174,2020-03-26 21:23:35.046,638.872,82.925
36,ODUGS,VCC-A,44428,2020-03-26 21:13:06.319,2020-03-26 21:23:44.525,638.206,64.813
37,WFF,VCC-A,44428,2020-03-26 21:13:24.323,2020-03-26 21:24:01.820,637.497,70.036
38,VTGS,VCC-B,44431,2020-03-26 21:14:30.478,2020-03-26 21:25:06.306,635.828,80.389
39,UVAGS,VCC-B,44431,2020-03-26 21:14:55.820,2020-03-26 21:25:34.853,639.033,87.047
40,ODUGS,VCC-B,44431,2020-03-26 21:15:06.521,2020-03-26 21:25:44.139,637.618,61.49
41,WFF,VCC-B,44431,2020-03-26 21:15:24.424,2020-03-26 21:26:01.480,637.056,66.554
42,VTGS,VCC-C,44430,2020-03-26 22:11:15.478,2020-03-26 22:21:19.360,603.882,25.031
43,UVAGS,VCC-C,44430,2020-03-26 22:11:42.514,2020-03-26 22:21:48.518,606.004,24.705
44,ODUGS,VCC-C,44430,2020-03-26 22:12:09.614,2020-03-26 22:21:53.404,583.79,18.282
45,WFF,VCC-C,44430,2020-03-26 22:12:23.112,2020-03-26 22:22:13.012,589.9,20.012
46,VTGS,VCC-A,44428,2020-03-26 22:49:47.397,2020-03-26 22:59:14.605,567.208,15.331
47,UVAGS,VCC-A,44428,2020-03-26 22:50:13.370,2020-03-26 22:59:45.592,572.222,15.625
48,ODUGS,VCC-A,44428,2020-03-26 22:50:48.845,2020-03-26 22:59:49.334,540.489,11.814
49,WFF,VCC-A,44428,2020-03-26 22:50:58.535,2020-03-26 23:00:10.861,552.326,13.206
50,VTGS,VCC-B,44431,2020-03-26 22:51:49.565,2020-03-26 23:01:14.032,564.467,14.943
51,UVAGS,VCC-B,44431,2020-03-26 22:52:15.416,2020-03-26 23:01:45.155,569.739,15.259
52,ODUGS,VCC-B,44431,2020-03-26 22:52:51.351,2020-03-26 23:01:48.858,537.507,11.539
53,WFF,VCC-B,44431,2020-03-26 22:53:00.780,2020-03-26 23:02:10.511,549.731,12.921
54,UVAGS,VCC-A,44428,2020-03-27 02:05:38.843,2020-03-27 02:14:38.528,539.685,11.658
55,WFF,VCC-A,44428,2020-03-27 02:06:11.812,2020-03-27 02:15:22.001,550.189,12.892
56,ODUGS,VCC-A,44428,2020-03-27 02:06:18.441,2020-03-27 02:15:06.740,528.299,10.679
57,UVAGS,VCC-B,44431,2020-03-27 02:07:38.587,2020-03-27 02:16:40.676,542.089,11.888
58,WFF,VCC-B,44431,2020-03-27 02:08:11.401,2020-03-27 02:17:24.110,552.709,13.173
59,ODUGS,VCC-B,44431,2020-03-27 02:08:17.970,2020-03-27 02:17:09.173,531.203,10.921
60,VTGS,VCC-C,44430,2020-03-27 03:03:34.845,2020-03-27 03:13:23.897,589.052,19.928
61,UVAGS,VCC-C,44430,2020-03-27 03:03:40.521,2020-03-27 03:13:48.929,608.408,25.302
62,WFF,VCC-C,44430,2020-03-27 03:04:10.890,2020-03-27 03:14:27.429,616.539,30.468
63,ODUGS,VCC-C,44430,2020-03-27 03:04:15.087,2020-03-27 03:14:22.561,607.474,24.96
64,VTGS,VCC-A,44428,2020-03-27 03:41:42.258,2020-03-27 03:52:08.220,625.962,36.661
65,UVAGS,VCC-A,44428,2020-03-27 03:41:49.615,2020-03-27 03:52:26.100,636.485,49.873
66,WFF,VCC-A,44428,2020-03-27 03:42:20.635,2020-03-27 03:52:59.317,638.682,65.759
67,ODUGS,VCC-A,44428,2020-03-27 03:42:23.094,2020-03-27 03:53:00.025,636.931,51.348
68,VTGS,VCC-B,44431,2020-03-27 03:43:41.557,2020-03-27 03:54:08.863,627.306,38.225
69,UVAGS,VCC-B,44431,2020-03-27 03:43:49.029,2020-03-27 03:54:26.320,637.291,52.279
70,WFF,VCC-B,44431,2020-03-27 03:44:20.130,2020-03-27 03:54:59.186,639.056,69.183
71,ODUGS,VCC-B,44431,2020-03-27 03:44:22.479,2020-03-27 03:55:00.213,637.734,53.983
