Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,VCC-NET,VCC-C,44430,2019-12-16 18:24:24.040,2019-12-16 18:33:53.556,569.516,12.794
1,VCC-NET,VCC-A,44428,2019-12-16 19:01:05.831,2019-12-16 19:11:30.314,624.483,19.877
2,VCC-NET,VCC-B,44431,2019-12-16 19:03:48.504,2019-12-16 19:14:16.429,627.925,20.632
3,VCC-NET,VCC-C,44430,2019-12-16 20:00:32.432,2019-12-16 20:11:52.760,680.328,63.02
4,VCC-NET,VCC-A,44428,2019-12-16 20:37:19.519,2019-12-16 20:48:46.005,686.486,84.76
5,VCC-NET,VCC-B,44431,2019-12-16 20:40:02.506,2019-12-16 20:51:28.196,685.69,89.659
6,VCC-NET,VCC-C,44430,2019-12-16 21:37:09.958,2019-12-16 21:46:57.228,587.27,19.609
7,VCC-NET,VCC-A,44428,2019-12-17 11:41:03.197,2019-12-17 11:50:10.560,547.363,11.632
8,VCC-NET,VCC-B,44431,2019-12-17 11:43:40.723,2019-12-17 11:52:56.632,555.909,12.448
9,VCC-NET,VCC-C,44430,2019-12-17 12:38:37.484,2019-12-17 12:49:53.930,676.446,53.585
10,VCC-NET,VCC-A,44428,2019-12-17 13:15:37.304,2019-12-17 13:27:13.496,696.192,86.879
11,VCC-NET,VCC-B,44431,2019-12-17 13:18:20.182,2019-12-17 13:29:56.334,696.152,87.647
12,VCC-NET,VCC-C,44430,2019-12-17 14:15:09.660,2019-12-17 14:26:11.946,662.286,24.383
13,VCC-NET,VCC-A,44428,2019-12-17 14:53:06.887,2019-12-17 15:03:29.827,622.94,14.976
14,VCC-NET,VCC-B,44431,2019-12-17 14:55:53.224,2019-12-17 15:06:12.870,619.646,14.53
15,VCC-NET,VCC-A,44428,2019-12-17 18:09:00.921,2019-12-17 18:18:47.017,586.096,13.901
16,VCC-NET,VCC-B,44431,2019-12-17 18:11:44.004,2019-12-17 18:21:33.748,589.744,14.329
17,VCC-NET,VCC-C,44430,2019-12-17 19:07:55.038,2019-12-17 19:18:53.435,658.397,32.818
18,VCC-NET,VCC-A,44428,2019-12-17 19:45:15.513,2019-12-17 19:56:40.611,685.098,75.593
19,VCC-NET,VCC-B,44431,2019-12-17 19:47:58.166,2019-12-17 19:59:24.221,686.055,80.765
20,VCC-NET,VCC-C,44430,2019-12-17 20:44:14.430,2019-12-17 20:55:03.014,648.584,40.49
21,VCC-NET,VCC-A,44428,2019-12-17 21:22:01.775,2019-12-17 21:31:49.187,587.412,16.644
22,VCC-NET,VCC-B,44431,2019-12-17 21:24:47.011,2019-12-17 21:34:26.306,579.295,15.631
23,VCC-NET,VCC-C,44430,2019-12-18 11:46:30.732,2019-12-18 11:57:01.061,630.329,24.691
24,VCC-NET,VCC-A,44428,2019-12-18 12:23:41.415,2019-12-18 12:35:06.260,684.845,66.732
25,VCC-NET,VCC-B,44431,2019-12-18 12:26:22.765,2019-12-18 12:37:49.507,686.742,71.918
26,VCC-NET,VCC-C,44430,2019-12-18 13:22:07.341,2019-12-18 13:33:32.732,685.391,42.803
27,VCC-NET,VCC-A,44428,2019-12-18 14:00:28.622,2019-12-18 14:11:24.848,656.226,21.711
28,VCC-NET,VCC-B,44431,2019-12-18 14:03:14.225,2019-12-18 14:14:07.558,653.333,20.856
29,VCC-NET,VCC-C,44430,2019-12-18 15:00:10.325,2019-12-18 15:09:25.249,554.924,10.824
30,VCC-NET,VCC-A,44428,2019-12-18 17:17:30.597,2019-12-18 17:26:17.187,526.59,10.408
31,VCC-NET,VCC-B,44431,2019-12-18 17:20:13.902,2019-12-18 17:29:03.736,529.834,10.663
32,VCC-NET,VCC-C,44430,2019-12-18 18:15:16.231,2019-12-18 18:25:41.372,625.141,20.412
33,VCC-NET,VCC-A,44428,2019-12-18 18:53:13.240,2019-12-18 19:04:20.430,667.19,38.302
34,VCC-NET,VCC-B,44431,2019-12-18 18:55:55.774,2019-12-18 19:07:05.245,669.471,40.491
