Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,VCC-NET,VCC-C,44430,2019-12-16 18:24:24.040,2019-12-16 18:33:53.556,569.516,11.604
1,VCC-NET,VCC-A,44428,2019-12-16 19:01:05.831,2019-12-16 19:11:30.314,624.483,17.324
2,VCC-NET,VCC-B,44431,2019-12-16 19:03:48.504,2019-12-16 19:14:16.429,627.925,17.92
3,VCC-NET,VCC-C,44430,2019-12-16 20:00:32.432,2019-12-16 20:11:52.760,680.328,49.386
4,VCC-NET,VCC-A,44428,2019-12-16 20:37:19.519,2019-12-16 20:48:46.005,686.486,84.76
5,VCC-NET,VCC-B,44431,2019-12-16 20:40:02.506,2019-12-16 20:51:28.196,685.69,89.659
6,VCC-NET,VCC-C,44430,2019-12-16 21:37:09.958,2019-12-16 21:47:15.488,605.53,19.609
7,VCC-NET,VCC-A,44428,2019-12-17 11:41:03.197,2019-12-17 11:49:53.922,530.725,11.632
8,VCC-NET,VCC-B,44431,2019-12-17 11:43:40.723,2019-12-17 11:52:39.995,539.272,12.448
9,VCC-NET,VCC-C,44430,2019-12-17 12:38:37.484,2019-12-17 12:49:37.405,659.921,53.585
10,VCC-NET,VCC-A,44428,2019-12-17 13:15:37.304,2019-12-17 13:26:56.222,678.918,86.879
11,VCC-NET,VCC-B,44431,2019-12-17 13:18:20.182,2019-12-17 13:29:38.981,678.799,87.647
12,VCC-NET,VCC-C,44430,2019-12-17 14:15:09.660,2019-12-17 14:25:52.435,642.775,24.383
13,VCC-NET,VCC-A,44428,2019-12-17 14:53:06.887,2019-12-17 15:03:08.204,601.317,14.976
14,VCC-NET,VCC-B,44431,2019-12-17 14:55:53.224,2019-12-17 15:05:51.065,597.841,14.53
15,VCC-NET,VCC-A,44428,2019-12-17 18:09:00.921,2019-12-17 18:18:47.017,586.096,12.517
16,VCC-NET,VCC-B,44431,2019-12-17 18:11:44.004,2019-12-17 18:21:33.748,589.744,12.864
17,VCC-NET,VCC-C,44430,2019-12-17 19:07:55.038,2019-12-17 19:18:53.435,658.397,27.124
18,VCC-NET,VCC-A,44428,2019-12-17 19:45:15.513,2019-12-17 19:56:40.611,685.098,59.274
19,VCC-NET,VCC-B,44431,2019-12-17 19:47:58.166,2019-12-17 19:59:24.221,686.055,63.538
20,VCC-NET,VCC-C,44430,2019-12-17 20:44:14.430,2019-12-17 20:55:14.942,660.512,40.49
21,VCC-NET,VCC-A,44428,2019-12-17 21:22:01.775,2019-12-17 21:31:49.187,587.412,16.644
22,VCC-NET,VCC-B,44431,2019-12-17 21:24:47.011,2019-12-17 21:34:26.306,579.295,15.631
23,VCC-NET,VCC-C,44430,2019-12-18 11:46:30.732,2019-12-18 11:56:26.491,595.759,24.691
24,VCC-NET,VCC-A,44428,2019-12-18 12:23:41.415,2019-12-18 12:34:49.581,668.166,66.732
25,VCC-NET,VCC-B,44431,2019-12-18 12:26:22.765,2019-12-18 12:37:32.795,670.03,71.918
26,VCC-NET,VCC-C,44430,2019-12-18 13:22:07.341,2019-12-18 13:33:14.625,667.284,42.803
27,VCC-NET,VCC-A,44428,2019-12-18 14:00:28.622,2019-12-18 14:11:04.892,636.27,21.711
28,VCC-NET,VCC-B,44431,2019-12-18 14:03:14.225,2019-12-18 14:13:47.465,633.24,20.856
29,VCC-NET,VCC-C,44430,2019-12-18 15:00:10.325,2019-12-18 15:09:25.249,554.924,10.824
30,VCC-NET,VCC-C,44430,2019-12-18 18:15:16.231,2019-12-18 18:25:41.372,625.141,17.736
31,VCC-NET,VCC-A,44428,2019-12-18 18:53:13.240,2019-12-18 19:04:20.430,667.19,31.085
32,VCC-NET,VCC-B,44431,2019-12-18 18:55:55.774,2019-12-18 19:07:05.245,669.471,32.672
33,VCC-NET,VCC-C,44430,2019-12-18 19:51:27.422,2019-12-18 20:02:51.015,683.593,89.57
34,VCC-NET,VCC-A,44428,2019-12-18 20:29:38.800,2019-12-18 20:40:30.117,651.317,33.17
35,VCC-NET,VCC-B,44431,2019-12-18 20:32:22.744,2019-12-18 20:43:09.857,647.113,31.024
36,VCC-NET,VCC-C,44430,2019-12-19 10:54:42.136,2019-12-19 11:03:37.206,535.07,12.14
37,VCC-NET,VCC-A,44428,2019-12-19 11:32:03.578,2019-12-19 11:42:18.866,615.288,30.287
38,VCC-NET,VCC-B,44431,2019-12-19 11:34:42.999,2019-12-19 11:45:03.350,620.351,32.391
39,VCC-NET,VCC-C,44430,2019-12-19 12:29:17.367,2019-12-19 12:40:34.537,677.17,89.356
40,VCC-NET,VCC-A,44428,2019-12-19 13:07:59.338,2019-12-19 13:19:02.620,663.282,35.992
41,VCC-NET,VCC-B,44431,2019-12-19 13:10:43.935,2019-12-19 13:21:45.124,661.189,34.114
42,VCC-NET,VCC-C,44430,2019-12-19 14:06:46.813,2019-12-19 14:16:43.687,596.874,14.585
43,VCC-NET,VCC-A,44428,2019-12-19 14:46:34.114,2019-12-19 14:55:18.661,524.547,10.149
44,VCC-NET,VCC-C,44430,2019-12-19 17:22:33.450,2019-12-19 17:32:19.441,585.991,12.648
45,VCC-NET,VCC-A,44428,2019-12-19 18:01:10.461,2019-12-19 18:11:47.646,637.185,19.881
46,VCC-NET,VCC-B,44431,2019-12-19 18:03:53.067,2019-12-19 18:14:33.451,640.384,20.625
47,VCC-NET,VCC-C,44430,2019-12-19 18:58:44.918,2019-12-19 19:10:08.439,683.521,61.793
48,VCC-NET,VCC-A,44428,2019-12-19 19:37:25.630,2019-12-19 19:48:47.009,681.379,73.054
49,VCC-NET,VCC-B,44431,2019-12-19 19:40:08.823,2019-12-19 19:51:28.605,679.782,67.869
50,VCC-NET,VCC-C,44430,2019-12-19 20:35:30.192,2019-12-19 20:45:10.171,579.979,15.904
51,VCC-NET,VCC-A,44428,2019-12-20 10:40:46.927,2019-12-20 10:49:45.281,538.354,15.152
52,VCC-NET,VCC-B,44431,2019-12-20 10:43:25.497,2019-12-20 10:52:31.477,545.98,16.147
53,VCC-NET,VCC-C,44430,2019-12-20 11:36:42.288,2019-12-20 11:47:49.676,667.388,69.003
54,VCC-NET,VCC-A,44428,2019-12-20 12:15:41.510,2019-12-20 12:26:59.075,677.565,71.663
55,VCC-NET,VCC-B,44431,2019-12-20 12:18:24.892,2019-12-20 12:29:41.716,676.824,66.853
56,VCC-NET,VCC-C,44430,2019-12-20 13:13:28.834,2019-12-20 13:24:01.857,633.023,21.224
57,VCC-NET,VCC-A,44428,2019-12-20 13:53:24.447,2019-12-20 14:03:11.609,587.162,13.308
58,VCC-NET,VCC-B,44431,2019-12-20 13:56:10.987,2019-12-20 14:05:50.864,579.877,12.94
59,VCC-NET,VCC-A,44428,2019-12-20 17:09:04.831,2019-12-20 17:19:04.793,599.962,13.979
60,VCC-NET,VCC-B,44431,2019-12-20 17:11:47.739,2019-12-20 17:21:51.319,603.58,14.399
61,VCC-NET,VCC-C,44430,2019-12-20 18:06:04.117,2019-12-20 18:17:10.002,665.885,31.533
62,VCC-NET,VCC-A,44428,2019-12-20 18:45:17.948,2019-12-20 18:56:45.263,687.315,78.212
63,VCC-NET,VCC-B,44431,2019-12-20 18:48:00.697,2019-12-20 18:59:28.355,687.658,83.671
64,VCC-NET,VCC-C,44430,2019-12-20 19:42:27.512,2019-12-20 19:53:15.003,647.491,32.18
65,VCC-NET,VCC-A,44428,2019-12-20 20:22:15.286,2019-12-20 20:31:16.905,541.619,12.864
66,VCC-NET,VCC-B,44431,2019-12-20 20:25:01.241,2019-12-20 20:33:54.545,533.304,12.035
67,VCC-NET,VCC-C,44430,2019-12-21 10:44:25.635,2019-12-21 10:54:40.358,614.723,30.627
68,VCC-NET,VCC-A,44428,2019-12-21 11:23:37.456,2019-12-21 11:34:51.979,674.523,88.575
69,VCC-NET,VCC-B,44431,2019-12-21 11:26:19.390,2019-12-21 11:37:34.963,675.573,85.752
70,VCC-NET,VCC-C,44430,2019-12-21 12:20:19.852,2019-12-21 12:31:20.924,661.072,35.466
71,VCC-NET,VCC-A,44428,2019-12-21 13:00:41.121,2019-12-21 13:11:04.891,623.77,18.706
72,VCC-NET,VCC-B,44431,2019-12-21 13:03:27.020,2019-12-21 13:13:47.505,620.485,18.067
73,VCC-NET,VCC-C,44430,2019-12-21 13:58:52.455,2019-12-21 14:07:34.246,521.791,10.034
74,VCC-NET,VCC-A,44428,2019-12-21 16:16:59.170,2019-12-21 16:25:48.952,529.782,10.536
75,VCC-NET,VCC-B,44431,2019-12-21 16:19:42.535,2019-12-21 16:28:35.395,532.86,10.784
76,VCC-NET,VCC-C,44430,2019-12-21 17:13:22.620,2019-12-21 17:23:58.036,635.416,19.881
77,VCC-NET,VCC-A,44428,2019-12-21 17:53:12.895,2019-12-21 18:04:27.826,674.931,38.389
78,VCC-NET,VCC-B,44431,2019-12-21 17:55:55.427,2019-12-21 18:07:12.184,676.757,40.689
79,VCC-NET,VCC-C,44430,2019-12-21 18:49:35.078,2019-12-21 19:00:54.073,678.995,72.208
80,VCC-NET,VCC-A,44428,2019-12-21 19:29:44.485,2019-12-21 19:40:16.520,632.035,25.532
81,VCC-NET,VCC-B,44431,2019-12-21 19:32:28.802,2019-12-21 19:42:55.380,626.578,23.963
82,VCC-NET,VCC-C,44430,2019-12-22 09:52:30.790,2019-12-22 10:01:27.180,536.39,15.057
83,VCC-NET,VCC-A,44428,2019-12-22 10:31:50.050,2019-12-22 10:42:23.869,633.819,39.853
84,VCC-NET,VCC-B,44431,2019-12-22 10:34:30.212,2019-12-22 10:45:07.900,637.688,42.838
85,VCC-NET,VCC-C,44430,2019-12-22 11:27:22.546,2019-12-22 11:38:38.413,675.867,71.751
86,VCC-NET,VCC-A,44428,2019-12-22 12:08:05.728,2019-12-22 12:19:00.135,654.407,29.364
87,VCC-NET,VCC-B,44431,2019-12-22 12:10:50.692,2019-12-22 12:21:42.578,651.886,27.996
