"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Dec 2019 17:07:19.094,1 Dec 2019 17:08:35.108,76.014
2,1 Dec 2019 18:38:23.230,1 Dec 2019 18:48:46.708,623.478
3,1 Dec 2019 20:15:00.242,1 Dec 2019 20:25:10.302,610.060
4,1 Dec 2019 21:53:31.048,1 Dec 2019 22:01:31.488,480.441
5,1 Dec 2019 23:31:29.642,1 Dec 2019 23:39:21.472,471.830
6,2 Dec 2019 01:07:54.886,2 Dec 2019 01:17:56.538,601.652
7,2 Dec 2019 02:44:14.262,2 Dec 2019 02:54:47.813,633.551
8,2 Dec 2019 04:23:06.271,2 Dec 2019 04:27:19.781,253.509
9,2 Dec 2019 17:46:30.580,2 Dec 2019 17:56:03.061,572.481
10,2 Dec 2019 19:22:12.710,2 Dec 2019 19:32:47.717,635.007
11,2 Dec 2019 21:00:21.308,2 Dec 2019 21:08:59.642,518.334
12,2 Dec 2019 22:38:46.020,2 Dec 2019 22:46:16.657,450.638
13,3 Dec 2019 00:15:32.135,3 Dec 2019 00:24:55.179,563.044
14,3 Dec 2019 01:51:43.383,3 Dec 2019 02:02:29.164,645.781
15,3 Dec 2019 03:29:08.030,3 Dec 2019 03:36:58.139,470.109
16,3 Dec 2019 16:55:05.475,3 Dec 2019 17:02:58.519,473.044
17,3 Dec 2019 18:29:37.235,3 Dec 2019 18:40:21.435,644.200
18,3 Dec 2019 20:07:12.409,3 Dec 2019 20:16:32.645,560.236
19,3 Dec 2019 21:45:50.220,3 Dec 2019 21:53:20.075,449.855
20,3 Dec 2019 23:23:05.372,3 Dec 2019 23:31:46.034,520.663
21,4 Dec 2019 00:59:16.789,4 Dec 2019 01:09:53.743,636.954
22,4 Dec 2019 02:36:02.211,4 Dec 2019 02:45:33.680,571.470
23,4 Dec 2019 16:04:38.943,4 Dec 2019 16:09:01.425,262.482
24,4 Dec 2019 17:37:16.227,4 Dec 2019 17:47:48.762,632.535
25,4 Dec 2019 19:14:08.839,4 Dec 2019 19:24:07.594,598.755
26,4 Dec 2019 20:52:43.770,4 Dec 2019 21:00:33.477,469.706
27,4 Dec 2019 22:30:31.713,4 Dec 2019 22:38:33.535,481.822
28,5 Dec 2019 00:06:51.787,5 Dec 2019 00:17:03.890,612.103
29,5 Dec 2019 01:43:15.498,5 Dec 2019 01:53:39.049,623.551
30,5 Dec 2019 16:45:12.959,5 Dec 2019 16:55:05.886,592.927
31,5 Dec 2019 18:21:14.022,5 Dec 2019 18:31:41.963,627.940
32,5 Dec 2019 19:59:31.026,5 Dec 2019 20:07:55.608,504.582
33,5 Dec 2019 21:37:48.107,5 Dec 2019 21:45:23.038,454.931
34,5 Dec 2019 23:14:26.054,5 Dec 2019 23:24:01.997,575.943
35,6 Dec 2019 00:50:38.703,6 Dec 2019 01:01:22.753,644.050
36,6 Dec 2019 02:28:22.796,6 Dec 2019 02:35:21.857,419.061
37,6 Dec 2019 15:53:33.742,6 Dec 2019 16:02:05.871,512.129
38,6 Dec 2019 17:28:30.562,6 Dec 2019 17:39:13.399,642.838
39,6 Dec 2019 19:06:17.425,6 Dec 2019 19:15:23.615,546.190
40,6 Dec 2019 20:44:52.455,6 Dec 2019 20:52:19.583,447.128
41,6 Dec 2019 22:21:57.157,6 Dec 2019 22:30:51.071,533.914
42,6 Dec 2019 23:58:07.286,7 Dec 2019 00:08:48.713,641.427
43,7 Dec 2019 01:35:02.631,7 Dec 2019 01:44:07.701,545.069
44,7 Dec 2019 15:02:36.825,7 Dec 2019 15:08:29.794,352.969
45,7 Dec 2019 16:36:00.805,7 Dec 2019 16:46:39.367,638.562
46,7 Dec 2019 18:13:07.838,7 Dec 2019 18:22:54.490,586.652
47,7 Dec 2019 19:51:45.229,7 Dec 2019 19:59:25.965,460.736
48,7 Dec 2019 21:29:22.313,7 Dec 2019 21:37:35.215,492.902
49,7 Dec 2019 23:05:38.286,7 Dec 2019 23:15:59.454,621.169
50,8 Dec 2019 00:42:07.336,8 Dec 2019 00:52:17.787,610.451
51,8 Dec 2019 15:43:47.626,8 Dec 2019 15:53:56.523,608.898
52,8 Dec 2019 17:20:06.046,8 Dec 2019 17:30:25.560,619.514
53,8 Dec 2019 18:58:30.052,8 Dec 2019 19:06:41.785,491.733
54,8 Dec 2019 20:36:38.435,8 Dec 2019 20:44:19.596,461.161
55,8 Dec 2019 22:13:09.297,8 Dec 2019 22:22:57.281,587.985
56,8 Dec 2019 23:49:24.191,9 Dec 2019 00:00:04.151,639.959
57,9 Dec 2019 01:27:33.669,9 Dec 2019 01:33:27.841,354.172
58,9 Dec 2019 14:51:55.992,9 Dec 2019 15:00:59.278,543.286
59,9 Dec 2019 16:27:14.880,9 Dec 2019 16:37:54.436,639.556
60,9 Dec 2019 18:05:12.261,9 Dec 2019 18:14:04.507,532.246
61,9 Dec 2019 19:43:42.920,9 Dec 2019 19:51:09.590,446.671
62,9 Dec 2019 21:20:37.944,9 Dec 2019 21:29:44.973,547.029
63,9 Dec 2019 22:56:47.665,9 Dec 2019 23:07:31.676,644.011
64,10 Dec 2019 00:33:54.868,10 Dec 2019 00:42:28.160,513.293
65,10 Dec 2019 14:00:38.165,10 Dec 2019 14:07:34.709,416.544
66,10 Dec 2019 15:34:36.720,10 Dec 2019 15:45:18.690,641.970
67,10 Dec 2019 17:11:57.058,10 Dec 2019 17:21:31.037,573.979
68,10 Dec 2019 18:50:35.260,10 Dec 2019 18:58:08.935,453.675
69,10 Dec 2019 20:28:01.563,10 Dec 2019 20:36:26.285,504.722
70,10 Dec 2019 22:04:14.420,10 Dec 2019 22:14:43.181,628.762
71,10 Dec 2019 23:40:49.909,10 Dec 2019 23:50:43.937,594.028
72,11 Dec 2019 14:42:14.173,11 Dec 2019 14:52:35.295,621.123
73,11 Dec 2019 16:18:48.608,11 Dec 2019 16:28:58.570,609.961
74,11 Dec 2019 17:57:18.174,11 Dec 2019 18:05:18.220,480.046
75,11 Dec 2019 19:35:17.092,11 Dec 2019 19:43:06.110,469.018
76,11 Dec 2019 21:11:41.930,11 Dec 2019 21:21:40.962,599.033
77,11 Dec 2019 22:47:59.916,11 Dec 2019 22:58:33.341,633.425
78,12 Dec 2019 00:26:45.639,12 Dec 2019 00:31:11.130,265.491
79,12 Dec 2019 13:50:11.308,12 Dec 2019 13:59:39.600,568.292
80,12 Dec 2019 15:25:50.017,12 Dec 2019 15:36:24.640,634.622
81,12 Dec 2019 17:03:56.711,12 Dec 2019 17:12:35.362,518.652
82,12 Dec 2019 18:42:21.599,12 Dec 2019 18:49:49.972,448.373
83,12 Dec 2019 20:19:07.837,12 Dec 2019 20:28:27.606,559.769
84,12 Dec 2019 21:55:17.965,12 Dec 2019 22:06:02.627,644.661
85,12 Dec 2019 23:32:39.478,12 Dec 2019 23:40:34.546,475.068
86,13 Dec 2019 12:58:36.999,13 Dec 2019 13:06:22.065,465.066
87,13 Dec 2019 14:33:03.752,13 Dec 2019 14:43:46.854,643.102
88,13 Dec 2019 16:10:36.321,13 Dec 2019 16:19:57.287,560.966
89,13 Dec 2019 17:49:13.729,13 Dec 2019 17:56:42.372,448.643
90,13 Dec 2019 19:26:29.571,13 Dec 2019 19:35:06.544,516.973
91,13 Dec 2019 21:02:40.233,13 Dec 2019 21:13:15.040,634.807
92,13 Dec 2019 22:39:23.356,13 Dec 2019 22:48:57.368,574.012
93,14 Dec 2019 12:08:06.605,14 Dec 2019 12:12:06.700,240.095
94,14 Dec 2019 13:40:32.286,14 Dec 2019 13:51:02.431,630.145
95,14 Dec 2019 15:17:21.537,14 Dec 2019 15:27:21.046,599.510
96,14 Dec 2019 16:55:55.204,14 Dec 2019 17:03:44.939,469.735
97,14 Dec 2019 18:33:44.166,14 Dec 2019 18:41:42.368,478.202
98,14 Dec 2019 20:10:04.008,14 Dec 2019 20:20:12.967,608.959
99,14 Dec 2019 21:46:25.927,14 Dec 2019 21:56:50.275,624.348
100,14 Dec 2019 23:26:23.294,14 Dec 2019 23:28:07.153,103.858
101,15 Dec 2019 12:48:19.052,15 Dec 2019 12:58:07.387,588.335
102,15 Dec 2019 14:24:15.795,15 Dec 2019 14:34:44.069,628.275
103,15 Dec 2019 16:02:30.591,15 Dec 2019 16:10:56.229,505.637
104,15 Dec 2019 17:40:48.505,15 Dec 2019 17:48:20.564,452.059
105,15 Dec 2019 19:17:26.911,15 Dec 2019 19:26:58.852,571.941
106,15 Dec 2019 20:53:38.225,15 Dec 2019 21:04:21.543,643.318
107,15 Dec 2019 22:31:17.302,15 Dec 2019 22:38:26.024,428.721
108,16 Dec 2019 11:56:30.828,16 Dec 2019 12:04:54.291,503.463
109,16 Dec 2019 13:31:21.715,16 Dec 2019 13:42:03.971,642.256
110,16 Dec 2019 15:09:05.446,16 Dec 2019 15:18:13.281,547.835
111,16 Dec 2019 16:47:40.541,16 Dec 2019 16:55:06.217,445.676
112,16 Dec 2019 18:24:46.453,16 Dec 2019 18:33:35.828,529.375
113,16 Dec 2019 20:00:55.761,16 Dec 2019 20:11:35.026,639.265
114,16 Dec 2019 21:37:47.894,16 Dec 2019 21:46:57.915,550.021
115,17 Dec 2019 11:05:28.291,17 Dec 2019 11:11:01.801,333.511
116,17 Dec 2019 12:38:41.700,17 Dec 2019 12:49:18.130,636.430
117,17 Dec 2019 14:15:44.682,17 Dec 2019 14:25:33.037,588.355
118,17 Dec 2019 15:54:20.977,17 Dec 2019 16:00:00.000,339.023

