"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Dec 2019 17:07:19.094,127.520,-0.124,2317.734161
1 Dec 2019 17:07:20.000,127.356,-0.118,2317.047989
1 Dec 2019 17:07:21.000,127.175,-0.111,2316.310708
1 Dec 2019 17:07:22.000,126.993,-0.104,2315.594346
1 Dec 2019 17:07:23.000,126.812,-0.098,2314.898918
1 Dec 2019 17:07:24.000,126.630,-0.091,2314.224448
1 Dec 2019 17:07:25.000,126.448,-0.085,2313.570954
1 Dec 2019 17:07:26.000,126.266,-0.079,2312.938457
1 Dec 2019 17:07:27.000,126.084,-0.073,2312.326978
1 Dec 2019 17:07:28.000,125.902,-0.068,2311.736529
1 Dec 2019 17:07:29.000,125.720,-0.062,2311.167131
1 Dec 2019 17:07:30.000,125.538,-0.057,2310.618800
1 Dec 2019 17:07:31.000,125.356,-0.052,2310.091554
1 Dec 2019 17:07:32.000,125.173,-0.047,2309.585411
1 Dec 2019 17:07:33.000,124.991,-0.042,2309.100379
1 Dec 2019 17:07:34.000,124.808,-0.038,2308.636478
1 Dec 2019 17:07:35.000,124.626,-0.034,2308.193720
1 Dec 2019 17:07:36.000,124.443,-0.029,2307.772119
1 Dec 2019 17:07:37.000,124.260,-0.025,2307.371688
1 Dec 2019 17:07:38.000,124.077,-0.022,2306.992443
1 Dec 2019 17:07:39.000,123.895,-0.018,2306.634388
1 Dec 2019 17:07:40.000,123.712,-0.015,2306.297538
1 Dec 2019 17:07:41.000,123.529,-0.012,2305.981903
1 Dec 2019 17:07:42.000,123.346,-0.009,2305.687493
1 Dec 2019 17:07:43.000,123.162,-0.006,2305.414317
1 Dec 2019 17:07:44.000,122.979,-0.003,2305.162383
1 Dec 2019 17:07:45.000,122.796,-0.001,2304.931701
1 Dec 2019 17:07:46.000,122.613,0.001,2304.722277
1 Dec 2019 17:07:47.000,122.430,0.003,2304.534117
1 Dec 2019 17:07:48.000,122.247,0.005,2304.367229
1 Dec 2019 17:07:49.000,122.063,0.007,2304.221617
1 Dec 2019 17:07:50.000,121.880,0.008,2304.097289
1 Dec 2019 17:07:51.000,121.697,0.010,2303.994244
1 Dec 2019 17:07:52.000,121.513,0.011,2303.912489
1 Dec 2019 17:07:53.000,121.330,0.012,2303.852026
1 Dec 2019 17:07:54.000,121.147,0.012,2303.812858
1 Dec 2019 17:07:55.000,120.963,0.013,2303.794986
1 Dec 2019 17:07:56.000,120.780,0.013,2303.798413
1 Dec 2019 17:07:57.000,120.596,0.013,2303.823138
1 Dec 2019 17:07:58.000,120.413,0.013,2303.869162
1 Dec 2019 17:07:59.000,120.230,0.013,2303.936483
1 Dec 2019 17:08:00.000,120.046,0.012,2304.025102
1 Dec 2019 17:08:01.000,119.863,0.012,2304.135015
1 Dec 2019 17:08:02.000,119.680,0.011,2304.266220
1 Dec 2019 17:08:03.000,119.497,0.010,2304.418712
1 Dec 2019 17:08:04.000,119.313,0.009,2304.592492
1 Dec 2019 17:08:05.000,119.130,0.007,2304.787553
1 Dec 2019 17:08:06.000,118.947,0.006,2305.003891
1 Dec 2019 17:08:07.000,118.764,0.004,2305.241500
1 Dec 2019 17:08:08.000,118.581,0.002,2305.500373
1 Dec 2019 17:08:09.000,118.398,-0.000,2305.780503
1 Dec 2019 17:08:10.000,118.214,-0.003,2306.081884
1 Dec 2019 17:08:11.000,118.032,-0.005,2306.404508
1 Dec 2019 17:08:12.000,117.849,-0.008,2306.748365
1 Dec 2019 17:08:13.000,117.666,-0.011,2307.113447
1 Dec 2019 17:08:14.000,117.483,-0.014,2307.499740
1 Dec 2019 17:08:15.000,117.300,-0.017,2307.907241
1 Dec 2019 17:08:16.000,117.118,-0.021,2308.335935
1 Dec 2019 17:08:17.000,116.935,-0.025,2308.785810
1 Dec 2019 17:08:18.000,116.752,-0.029,2309.256855
1 Dec 2019 17:08:19.000,116.570,-0.033,2309.749057
1 Dec 2019 17:08:20.000,116.388,-0.037,2310.262402
1 Dec 2019 17:08:21.000,116.205,-0.041,2310.796872
1 Dec 2019 17:08:22.000,116.023,-0.046,2311.352461
1 Dec 2019 17:08:23.000,115.841,-0.051,2311.929148
1 Dec 2019 17:08:24.000,115.659,-0.056,2312.526920
1 Dec 2019 17:08:25.000,115.477,-0.061,2313.145758
1 Dec 2019 17:08:26.000,115.295,-0.066,2313.785643
1 Dec 2019 17:08:27.000,115.113,-0.072,2314.446565
1 Dec 2019 17:08:28.000,114.932,-0.078,2315.128500
1 Dec 2019 17:08:29.000,114.750,-0.084,2315.831432
1 Dec 2019 17:08:30.000,114.569,-0.090,2316.555340
1 Dec 2019 17:08:31.000,114.388,-0.096,2317.300201
1 Dec 2019 17:08:32.000,114.207,-0.103,2318.066002
1 Dec 2019 17:08:33.000,114.026,-0.109,2318.852719
1 Dec 2019 17:08:34.000,113.845,-0.116,2319.660325
1 Dec 2019 17:08:35.000,113.664,-0.123,2320.488807
1 Dec 2019 17:08:35.108,113.644,-0.124,2320.579316
1 Dec 2019 18:38:23.230,209.329,-0.124,2314.077640
1 Dec 2019 18:38:24.000,209.295,-0.078,2308.890704
1 Dec 2019 18:38:25.000,209.251,-0.017,2302.157864
1 Dec 2019 18:38:26.000,209.208,0.044,2295.426307
1 Dec 2019 18:38:27.000,209.163,0.105,2288.696050
1 Dec 2019 18:38:28.000,209.119,0.166,2281.967117
1 Dec 2019 18:38:29.000,209.074,0.227,2275.239526
1 Dec 2019 18:38:30.000,209.029,0.289,2268.513297
1 Dec 2019 18:38:31.000,208.984,0.350,2261.788448
1 Dec 2019 18:38:32.000,208.938,0.412,2255.065004
1 Dec 2019 18:38:33.000,208.892,0.474,2248.342983
1 Dec 2019 18:38:34.000,208.846,0.536,2241.622407
1 Dec 2019 18:38:35.000,208.800,0.599,2234.903296
1 Dec 2019 18:38:36.000,208.753,0.661,2228.185671
1 Dec 2019 18:38:37.000,208.706,0.724,2221.469557
1 Dec 2019 18:38:38.000,208.659,0.787,2214.754973
1 Dec 2019 18:38:39.000,208.611,0.850,2208.041942
1 Dec 2019 18:38:40.000,208.563,0.913,2201.330484
1 Dec 2019 18:38:41.000,208.515,0.977,2194.620627
1 Dec 2019 18:38:42.000,208.467,1.040,2187.912390
1 Dec 2019 18:38:43.000,208.418,1.104,2181.205796
1 Dec 2019 18:38:44.000,208.369,1.168,2174.500868
1 Dec 2019 18:38:45.000,208.319,1.233,2167.797633
1 Dec 2019 18:38:46.000,208.269,1.297,2161.096113
1 Dec 2019 18:38:47.000,208.219,1.362,2154.396331
1 Dec 2019 18:38:48.000,208.169,1.427,2147.698311
1 Dec 2019 18:38:49.000,208.118,1.492,2141.002080
1 Dec 2019 18:38:50.000,208.067,1.557,2134.307663
1 Dec 2019 18:38:51.000,208.016,1.622,2127.615084
1 Dec 2019 18:38:52.000,207.964,1.688,2120.924367
1 Dec 2019 18:38:53.000,207.912,1.754,2114.235541
1 Dec 2019 18:38:54.000,207.859,1.820,2107.548631
1 Dec 2019 18:38:55.000,207.807,1.886,2100.863663
1 Dec 2019 18:38:56.000,207.754,1.953,2094.180664
1 Dec 2019 18:38:57.000,207.700,2.019,2087.499660
1 Dec 2019 18:38:58.000,207.646,2.086,2080.820680
1 Dec 2019 18:38:59.000,207.592,2.154,2074.143751
1 Dec 2019 18:39:00.000,207.537,2.221,2067.468902
1 Dec 2019 18:39:01.000,207.483,2.289,2060.796158
