"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Dec 2019 17:33:00.533,152.563,-0.124,2318.760477
1 Dec 2019 17:33:01.000,152.488,-0.110,2317.205098
1 Dec 2019 17:33:02.000,152.328,-0.080,2313.884826
1 Dec 2019 17:33:03.000,152.168,-0.050,2310.580875
1 Dec 2019 17:33:04.000,152.007,-0.020,2307.293320
1 Dec 2019 17:33:05.000,151.845,0.009,2304.022236
1 Dec 2019 17:33:06.000,151.683,0.039,2300.767700
1 Dec 2019 17:33:07.000,151.521,0.068,2297.529782
1 Dec 2019 17:33:08.000,151.358,0.098,2294.308559
1 Dec 2019 17:33:09.000,151.195,0.127,2291.104107
1 Dec 2019 17:33:10.000,151.031,0.156,2287.916500
1 Dec 2019 17:33:11.000,150.867,0.185,2284.745813
1 Dec 2019 17:33:12.000,150.702,0.214,2281.592122
1 Dec 2019 17:33:13.000,150.537,0.243,2278.455501
1 Dec 2019 17:33:14.000,150.371,0.272,2275.336025
1 Dec 2019 17:33:15.000,150.205,0.301,2272.233769
1 Dec 2019 17:33:16.000,150.039,0.329,2269.148809
1 Dec 2019 17:33:17.000,149.872,0.357,2266.081219
1 Dec 2019 17:33:18.000,149.704,0.386,2263.031074
1 Dec 2019 17:33:19.000,149.536,0.414,2259.998449
1 Dec 2019 17:33:20.000,149.368,0.442,2256.983419
1 Dec 2019 17:33:21.000,149.199,0.470,2253.986060
1 Dec 2019 17:33:22.000,149.030,0.498,2251.006445
1 Dec 2019 17:33:23.000,148.860,0.525,2248.044649
1 Dec 2019 17:33:24.000,148.690,0.553,2245.100748
1 Dec 2019 17:33:25.000,148.519,0.580,2242.174817
1 Dec 2019 17:33:26.000,148.348,0.607,2239.266928
1 Dec 2019 17:33:27.000,148.177,0.634,2236.377158
1 Dec 2019 17:33:28.000,148.005,0.661,2233.505580
1 Dec 2019 17:33:29.000,147.832,0.688,2230.652270
1 Dec 2019 17:33:30.000,147.659,0.715,2227.817300
1 Dec 2019 17:33:31.000,147.486,0.742,2225.000746
1 Dec 2019 17:33:32.000,147.312,0.768,2222.202681
1 Dec 2019 17:33:33.000,147.138,0.794,2219.423180
1 Dec 2019 17:33:34.000,146.963,0.820,2216.662316
1 Dec 2019 17:33:35.000,146.788,0.847,2213.920162
1 Dec 2019 17:33:36.000,146.613,0.872,2211.196794
1 Dec 2019 17:33:37.000,146.437,0.898,2208.492281
1 Dec 2019 17:33:38.000,146.260,0.924,2205.806701
1 Dec 2019 17:33:39.000,146.083,0.949,2203.140125
1 Dec 2019 17:33:40.000,145.906,0.975,2200.492627
1 Dec 2019 17:33:41.000,145.728,1.000,2197.864279
1 Dec 2019 17:33:42.000,145.550,1.025,2195.255153
1 Dec 2019 17:33:43.000,145.372,1.050,2192.665322
1 Dec 2019 17:33:44.000,145.193,1.074,2190.094858
1 Dec 2019 17:33:45.000,145.013,1.099,2187.543832
1 Dec 2019 17:33:46.000,144.834,1.123,2185.012319
1 Dec 2019 17:33:47.000,144.653,1.147,2182.500388
1 Dec 2019 17:33:48.000,144.473,1.172,2180.008111
1 Dec 2019 17:33:49.000,144.291,1.195,2177.535559
1 Dec 2019 17:33:50.000,144.110,1.219,2175.082804
1 Dec 2019 17:33:51.000,143.928,1.243,2172.649913
1 Dec 2019 17:33:52.000,143.746,1.266,2170.236961
1 Dec 2019 17:33:53.000,143.563,1.290,2167.844016
1 Dec 2019 17:33:54.000,143.380,1.313,2165.471149
1 Dec 2019 17:33:55.000,143.196,1.336,2163.118428
1 Dec 2019 17:33:56.000,143.012,1.358,2160.785921
1 Dec 2019 17:33:57.000,142.828,1.381,2158.473701
1 Dec 2019 17:33:58.000,142.643,1.403,2156.181834
1 Dec 2019 17:33:59.000,142.458,1.426,2153.910390
1 Dec 2019 17:34:00.000,142.272,1.448,2151.659433
1 Dec 2019 17:34:01.000,142.086,1.470,2149.429037
1 Dec 2019 17:34:02.000,141.900,1.492,2147.219266
1 Dec 2019 17:34:03.000,141.713,1.513,2145.030187
1 Dec 2019 17:34:04.000,141.526,1.535,2142.861865
1 Dec 2019 17:34:05.000,141.338,1.556,2140.714370
1 Dec 2019 17:34:06.000,141.150,1.577,2138.587767
1 Dec 2019 17:34:07.000,140.962,1.598,2136.482121
1 Dec 2019 17:34:08.000,140.773,1.618,2134.397494
1 Dec 2019 17:34:09.000,140.584,1.639,2132.333957
1 Dec 2019 17:34:10.000,140.395,1.659,2130.291571
1 Dec 2019 17:34:11.000,140.205,1.679,2128.270399
1 Dec 2019 17:34:12.000,140.015,1.699,2126.270507
1 Dec 2019 17:34:13.000,139.825,1.719,2124.291958
1 Dec 2019 17:34:14.000,139.634,1.738,2122.334811
1 Dec 2019 17:34:15.000,139.442,1.758,2120.399134
1 Dec 2019 17:34:16.000,139.251,1.777,2118.484986
1 Dec 2019 17:34:17.000,139.059,1.796,2116.592426
1 Dec 2019 17:34:18.000,138.867,1.815,2114.721520
1 Dec 2019 17:34:19.000,138.674,1.833,2112.872322
1 Dec 2019 17:34:20.000,138.481,1.852,2111.044899
1 Dec 2019 17:34:21.000,138.288,1.870,2109.239307
1 Dec 2019 17:34:22.000,138.094,1.888,2107.455603
1 Dec 2019 17:34:23.000,137.900,1.906,2105.693849
1 Dec 2019 17:34:24.000,137.706,1.923,2103.954100
1 Dec 2019 17:34:25.000,137.511,1.941,2102.236417
1 Dec 2019 17:34:26.000,137.316,1.958,2100.540854
1 Dec 2019 17:34:27.000,137.121,1.975,2098.867466
1 Dec 2019 17:34:28.000,136.925,1.992,2097.216313
1 Dec 2019 17:34:29.000,136.729,2.008,2095.587445
1 Dec 2019 17:34:30.000,136.533,2.025,2093.980923
1 Dec 2019 17:34:31.000,136.336,2.041,2092.396795
1 Dec 2019 17:34:32.000,136.140,2.057,2090.835119
1 Dec 2019 17:34:33.000,135.942,2.073,2089.295943
1 Dec 2019 17:34:34.000,135.745,2.088,2087.779326
1 Dec 2019 17:34:35.000,135.547,2.103,2086.285313
1 Dec 2019 17:34:36.000,135.349,2.119,2084.813960
1 Dec 2019 17:34:37.000,135.151,2.133,2083.365313
1 Dec 2019 17:34:38.000,134.952,2.148,2081.939427
1 Dec 2019 17:34:39.000,134.754,2.163,2080.536346
1 Dec 2019 17:34:40.000,134.554,2.177,2079.156124
1 Dec 2019 17:34:41.000,134.355,2.191,2077.798802
1 Dec 2019 17:34:42.000,134.155,2.205,2076.464434
1 Dec 2019 17:34:43.000,133.955,2.218,2075.153061
1 Dec 2019 17:34:44.000,133.755,2.231,2073.864735
1 Dec 2019 17:34:45.000,133.555,2.245,2072.599494
1 Dec 2019 17:34:46.000,133.354,2.258,2071.357386
1 Dec 2019 17:34:47.000,133.153,2.270,2070.138458
1 Dec 2019 17:34:48.000,132.952,2.283,2068.942747
1 Dec 2019 17:34:49.000,132.751,2.295,2067.770301
1 Dec 2019 17:34:50.000,132.549,2.307,2066.621156
1 Dec 2019 17:34:51.000,132.347,2.319,2065.495357
1 Dec 2019 17:34:52.000,132.145,2.330,2064.392945
1 Dec 2019 17:34:53.000,131.943,2.341,2063.313955
1 Dec 2019 17:34:54.000,131.740,2.353,2062.258429
1 Dec 2019 17:34:55.000,131.538,2.363,2061.226406
1 Dec 2019 17:34:56.000,131.335,2.374,2060.217920
1 Dec 2019 17:34:57.000,131.132,2.384,2059.233009
1 Dec 2019 17:34:58.000,130.928,2.395,2058.271711
1 Dec 2019 17:34:59.000,130.725,2.404,2057.334055
1 Dec 2019 17:35:00.000,130.521,2.414,2056.420080
1 Dec 2019 17:35:01.000,130.317,2.424,2055.529821
1 Dec 2019 17:35:02.000,130.113,2.433,2054.663304
1 Dec 2019 17:35:03.000,129.909,2.442,2053.820565
1 Dec 2019 17:35:04.000,129.704,2.450,2053.001637
1 Dec 2019 17:35:05.000,129.500,2.459,2052.206545
1 Dec 2019 17:35:06.000,129.295,2.467,2051.435320
1 Dec 2019 17:35:07.000,129.090,2.475,2050.687992
1 Dec 2019 17:35:08.000,128.885,2.483,2049.964591
1 Dec 2019 17:35:09.000,128.680,2.490,2049.265138
1 Dec 2019 17:35:10.000,128.475,2.498,2048.589662
1 Dec 2019 17:35:11.000,128.269,2.505,2047.938188
1 Dec 2019 17:35:12.000,128.063,2.512,2047.310744
1 Dec 2019 17:35:13.000,127.858,2.518,2046.707346
1 Dec 2019 17:35:14.000,127.652,2.524,2046.128022
1 Dec 2019 17:35:15.000,127.446,2.531,2045.572792
1 Dec 2019 17:35:16.000,127.240,2.536,2045.041677
1 Dec 2019 17:35:17.000,127.034,2.542,2044.534698
1 Dec 2019 17:35:18.000,126.827,2.547,2044.051876
1 Dec 2019 17:35:19.000,126.621,2.552,2043.593225
1 Dec 2019 17:35:20.000,126.414,2.557,2043.158764
1 Dec 2019 17:35:21.000,126.208,2.562,2042.748511
1 Dec 2019 17:35:22.000,126.001,2.566,2042.362480
1 Dec 2019 17:35:23.000,125.795,2.570,2042.000688
1 Dec 2019 17:35:24.000,125.588,2.574,2041.663147
1 Dec 2019 17:35:25.000,125.381,2.578,2041.349874
1 Dec 2019 17:35:26.000,125.174,2.581,2041.060875
1 Dec 2019 17:35:27.000,124.967,2.584,2040.796164
1 Dec 2019 17:35:28.000,124.760,2.587,2040.555753
1 Dec 2019 17:35:29.000,124.553,2.590,2040.339649
1 Dec 2019 17:35:30.000,124.346,2.592,2040.147863
1 Dec 2019 17:35:31.000,124.138,2.594,2039.980401
1 Dec 2019 17:35:32.000,123.931,2.596,2039.837271
1 Dec 2019 17:35:33.000,123.724,2.598,2039.718479
1 Dec 2019 17:35:34.000,123.517,2.599,2039.624029
1 Dec 2019 17:35:35.000,123.309,2.600,2039.553926
1 Dec 2019 17:35:36.000,123.102,2.601,2039.508172
1 Dec 2019 17:35:37.000,122.895,2.601,2039.486772
1 Dec 2019 17:35:38.000,122.688,2.602,2039.489724
1 Dec 2019 17:35:39.000,122.480,2.602,2039.517031
1 Dec 2019 17:35:40.000,122.273,2.602,2039.568692
1 Dec 2019 17:35:41.000,122.066,2.601,2039.644706
1 Dec 2019 17:35:42.000,121.858,2.601,2039.745070
1 Dec 2019 17:35:43.000,121.651,2.600,2039.869782
1 Dec 2019 17:35:44.000,121.444,2.599,2040.018837
