Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,ODUGS,VCC-C,44430,2019-12-01 18:38:23.230,2019-12-01 18:48:46.708,623.478,33.787
1,UVAGS,VCC-A,44428,2019-12-01 19:06:06.597,2019-12-01 19:16:43.174,636.577,47.042
2,VTGS,VCC-B,44431,2019-12-01 19:08:23.467,2019-12-01 19:18:56.542,633.075,45.659
3,ODUGS,VCC-C,44430,2019-12-01 20:15:00.242,2019-12-01 20:25:10.302,610.06,23.333
4,UVAGS,VCC-A,44428,2019-12-01 20:43:02.265,2019-12-01 20:53:06.078,603.813,20.901
5,VTGS,VCC-B,44431,2019-12-01 20:45:20.059,2019-12-01 20:55:17.962,597.903,20.124
6,ODUGS,VCC-C,44430,2019-12-02 01:07:54.886,2019-12-02 01:17:56.538,601.652,20.51
7,UVAGS,VCC-A,44428,2019-12-02 01:35:25.916,2019-12-02 01:45:56.966,631.05,32.873
8,VTGS,VCC-B,44431,2019-12-02 01:38:01.200,2019-12-02 01:48:19.222,618.022,26.598
9,ODUGS,VCC-C,44430,2019-12-02 02:44:14.262,2019-12-02 02:54:47.813,633.551,42.426
10,UVAGS,VCC-A,44428,2019-12-02 03:12:02.037,2019-12-02 03:22:06.926,604.889,23.383
11,VTGS,VCC-B,44431,2019-12-02 03:14:30.825,2019-12-02 03:24:47.011,616.186,29.009
12,ODUGS,VCC-C,44430,2019-12-02 17:46:30.580,2019-12-02 17:56:03.061,572.481,16.667
13,UVAGS,VCC-A,44428,2019-12-02 18:14:34.754,2019-12-02 18:24:37.073,602.319,23.063
14,VTGS,VCC-B,44431,2019-12-02 18:16:53.335,2019-12-02 18:26:49.921,596.586,22.165
15,ODUGS,VCC-C,44430,2019-12-02 19:22:12.710,2019-12-02 19:32:47.717,635.007,40.36
16,UVAGS,VCC-A,44428,2019-12-02 19:50:43.672,2019-12-02 20:01:13.611,629.939,33.01
17,VTGS,VCC-B,44431,2019-12-02 19:53:00.745,2019-12-02 20:03:26.987,626.242,32.314
18,ODUGS,VCC-C,44430,2019-12-03 00:15:32.135,2019-12-03 00:24:55.179,563.044,13.762
19,UVAGS,VCC-A,44428,2019-12-03 00:43:33.417,2019-12-03 00:53:37.828,604.411,20.842
20,VTGS,VCC-B,44431,2019-12-03 00:46:10.175,2019-12-03 00:55:55.684,585.509,17.303
21,ODUGS,VCC-C,44430,2019-12-03 01:51:43.383,2019-12-03 02:02:29.164,645.781,86.161
22,UVAGS,VCC-A,44428,2019-12-03 02:19:55.905,2019-12-03 02:30:34.281,638.376,47.66
23,VTGS,VCC-B,44431,2019-12-03 02:22:27.769,2019-12-03 02:33:09.073,641.304,62.377
24,UVAGS,VCC-A,44428,2019-12-03 17:23:24.109,2019-12-03 17:32:16.807,532.698,11.736
