Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,ODUGS,VCC-C,44430,2019-12-01 18:38:23.230,2019-12-01 18:48:46.708,623.478,33.787
1,ODUGS,VCC-C,44430,2019-12-01 20:15:00.242,2019-12-01 20:25:10.302,610.06,23.333
2,ODUGS,VCC-C,44430,2019-12-02 01:07:54.886,2019-12-02 01:17:56.538,601.652,20.51
3,ODUGS,VCC-C,44430,2019-12-02 02:44:14.262,2019-12-02 02:54:47.813,633.551,42.426
4,ODUGS,VCC-C,44430,2019-12-02 17:46:30.580,2019-12-02 17:56:03.061,572.481,16.667
5,ODUGS,VCC-C,44430,2019-12-02 19:22:12.710,2019-12-02 19:32:47.717,635.007,40.36
6,ODUGS,VCC-C,44430,2019-12-03 00:15:32.135,2019-12-03 00:24:55.179,563.044,13.762
7,ODUGS,VCC-C,44430,2019-12-03 01:51:43.383,2019-12-03 02:02:29.164,645.781,86.161
8,ODUGS,VCC-C,44430,2019-12-03 18:29:37.235,2019-12-03 18:40:21.435,644.2,83.726
9,ODUGS,VCC-C,44430,2019-12-03 20:07:12.409,2019-12-03 20:16:32.645,560.236,13.518
10,ODUGS,VCC-C,44430,2019-12-04 00:59:16.789,2019-12-04 01:09:53.743,636.954,41.498
11,ODUGS,VCC-C,44430,2019-12-04 02:36:02.211,2019-12-04 02:45:33.680,571.469,16.301
12,ODUGS,VCC-C,44430,2019-12-04 17:37:16.227,2019-12-04 17:47:48.762,632.535,43.604
13,ODUGS,VCC-C,44430,2019-12-04 19:14:08.839,2019-12-04 19:24:07.594,598.755,20.086
14,ODUGS,VCC-C,44430,2019-12-05 00:06:51.787,2019-12-05 00:17:03.890,612.103,23.807
15,ODUGS,VCC-C,44430,2019-12-05 01:43:15.498,2019-12-05 01:53:39.049,623.551,32.939
16,ODUGS,VCC-C,44430,2019-12-05 16:45:12.959,2019-12-05 16:55:05.886,592.927,20.867
17,ODUGS,VCC-C,44430,2019-12-05 18:21:14.022,2019-12-05 18:31:41.963,627.941,33.054
18,ODUGS,VCC-C,44430,2019-12-05 23:14:26.054,2019-12-05 23:24:01.997,575.943,15.533
19,ODUGS,VCC-C,44430,2019-12-06 00:50:38.703,2019-12-06 01:01:22.753,644.05,73.801
20,ODUGS,VCC-C,44430,2019-12-06 15:53:33.742,2019-12-06 16:02:05.871,512.129,10.142
21,ODUGS,VCC-C,44430,2019-12-06 17:28:30.562,2019-12-06 17:39:13.399,642.837,65.426
22,ODUGS,VCC-C,44430,2019-12-06 19:06:17.425,2019-12-06 19:15:23.615,546.19,12.04
23,ODUGS,VCC-C,44430,2019-12-06 22:21:57.157,2019-12-06 22:30:51.071,533.914,10.882
