Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,UVAGS,VCC-A,44428,2019-12-01 19:06:06.597,2019-12-01 19:16:43.174,636.577,47.042
1,UVAGS,VCC-A,44428,2019-12-01 20:43:02.265,2019-12-01 20:53:06.078,603.813,20.901
2,UVAGS,VCC-A,44428,2019-12-02 01:35:25.916,2019-12-02 01:45:56.966,631.05,32.873
3,UVAGS,VCC-A,44428,2019-12-02 03:12:02.037,2019-12-02 03:22:06.926,604.889,23.383
4,UVAGS,VCC-A,44428,2019-12-02 18:14:34.754,2019-12-02 18:24:37.073,602.319,23.063
5,UVAGS,VCC-A,44428,2019-12-02 19:50:43.672,2019-12-02 20:01:13.611,629.939,33.01
6,UVAGS,VCC-A,44428,2019-12-03 00:43:33.417,2019-12-03 00:53:37.828,604.411,20.842
7,UVAGS,VCC-A,44428,2019-12-03 02:19:55.905,2019-12-03 02:30:34.281,638.376,47.66
8,UVAGS,VCC-A,44428,2019-12-03 17:23:24.109,2019-12-03 17:32:16.807,532.698,11.736
9,UVAGS,VCC-A,44428,2019-12-03 18:58:34.925,2019-12-03 19:09:19.300,644.375,61.693
10,UVAGS,VCC-A,44428,2019-12-03 20:36:20.685,2019-12-03 20:45:37.437,556.752,12.953
11,UVAGS,VCC-A,44428,2019-12-03 23:51:38.698,2019-12-04 00:01:09.582,570.884,14.583
12,UVAGS,VCC-A,44428,2019-12-04 01:27:56.348,2019-12-04 01:38:43.753,647.405,80.779
13,UVAGS,VCC-A,44428,2019-12-04 18:06:38.372,2019-12-04 18:17:20.817,642.445,63.929
14,UVAGS,VCC-A,44428,2019-12-04 19:43:49.618,2019-12-04 19:53:40.638,591.02,17.996
15,UVAGS,VCC-A,44428,2019-12-04 22:59:39.460,2019-12-04 23:08:35.554,536.094,10.938
16,UVAGS,VCC-A,44428,2019-12-05 00:36:00.070,2019-12-05 00:46:38.251,638.181,40.879
17,UVAGS,VCC-A,44428,2019-12-05 02:12:44.196,2019-12-05 02:22:27.188,582.992,18.085
18,UVAGS,VCC-A,44428,2019-12-05 17:14:56.628,2019-12-05 17:25:15.258,618.63,29.978
19,UVAGS,VCC-A,44428,2019-12-05 18:51:24.574,2019-12-05 19:01:45.066,620.492,27.19
20,UVAGS,VCC-A,44428,2019-12-05 23:44:04.626,2019-12-05 23:54:20.071,615.445,24.479
21,UVAGS,VCC-A,44428,2019-12-06 01:20:30.967,2019-12-06 01:30:59.412,628.445,35.639
22,UVAGS,VCC-A,44428,2019-12-06 16:23:33.722,2019-12-06 16:32:58.132,564.41,15.329
23,UVAGS,VCC-A,44428,2019-12-06 17:59:08.445,2019-12-06 18:09:48.498,640.053,47.323
24,UVAGS,VCC-A,44428,2019-12-06 19:37:04.795,2019-12-06 19:46:07.781,542.986,11.6
25,UVAGS,VCC-A,44428,2019-12-06 22:52:07.809,2019-12-06 23:01:51.673,583.864,16.566
26,UVAGS,VCC-A,44428,2019-12-07 00:28:26.089,2019-12-07 00:39:12.144,646.055,76.914
27,UVAGS,VCC-A,44428,2019-12-07 17:07:03.655,2019-12-07 17:17:48.687,645.032,85.304
28,UVAGS,VCC-A,44428,2019-12-07 18:44:29.015,2019-12-07 18:54:06.656,577.641,15.708
29,UVAGS,VCC-A,44428,2019-12-07 22:00:07.366,2019-12-07 22:09:16.083,548.717,12.1
30,UVAGS,VCC-A,44428,2019-12-07 23:36:25.640,2019-12-07 23:47:08.840,643.2,52.218
31,UVAGS,VCC-A,44428,2019-12-08 01:13:19.778,2019-12-08 01:22:35.085,555.307,13.977
32,UVAGS,VCC-A,44428,2019-12-08 16:15:12.633,2019-12-08 16:25:42.999,630.366,39.458
33,UVAGS,VCC-A,44428,2019-12-08 17:51:57.965,2019-12-08 18:02:07.656,609.691,22.91
34,UVAGS,VCC-A,44428,2019-12-08 22:44:26.914,2019-12-08 22:54:51.945,625.031,29.197
35,UVAGS,VCC-A,44428,2019-12-09 00:20:58.464,2019-12-09 00:31:13.051,614.587,27.254
36,UVAGS,VCC-A,44428,2019-12-09 15:23:38.697,2019-12-09 15:33:27.717,589.02,19.726
37,UVAGS,VCC-A,44428,2019-12-09 16:59:34.828,2019-12-09 17:10:08.503,633.675,37.464
38,UVAGS,VCC-A,44428,2019-12-09 18:37:40.107,2019-12-09 18:46:30.029,529.922,10.506
39,UVAGS,VCC-A,44428,2019-12-09 21:52:27.649,2019-12-09 22:02:23.801,596.152,18.993
40,UVAGS,VCC-A,44428,2019-12-09 23:28:47.728,2019-12-09 23:39:29.464,641.736,57.228
41,UVAGS,VCC-A,44428,2019-12-10 16:07:22.185,2019-12-10 16:18:06.966,644.781,73.122
42,UVAGS,VCC-A,44428,2019-12-10 17:45:00.195,2019-12-10 17:54:24.230,564.035,13.876
43,UVAGS,VCC-A,44428,2019-12-10 21:00:25.631,2019-12-10 21:09:47.195,561.564,13.499
44,UVAGS,VCC-A,44428,2019-12-10 22:36:42.713,2019-12-10 22:47:28.660,645.947,68.155
45,UVAGS,VCC-A,44428,2019-12-11 00:13:49.335,2019-12-11 00:22:30.123,520.788,10.658
46,UVAGS,VCC-A,44428,2019-12-11 15:15:22.393,2019-12-11 15:26:00.610,638.217,52.764
47,UVAGS,VCC-A,44428,2019-12-11 16:52:23.616,2019-12-11 17:02:21.486,597.87,19.651
48,UVAGS,VCC-A,44428,2019-12-11 20:08:18.482,2019-12-11 20:17:05.685,527.203,10.274
49,UVAGS,VCC-A,44428,2019-12-11 21:44:40.383,2019-12-11 21:55:13.340,632.957,35.502
50,UVAGS,VCC-A,44428,2019-12-11 23:21:18.626,2019-12-11 23:31:15.019,596.393,21.17
51,UVAGS,VCC-A,44428,2019-12-12 14:23:38.316,2019-12-12 14:33:46.230,607.914,25.312
52,UVAGS,VCC-A,44428,2019-12-12 15:59:53.863,2019-12-12 16:10:19.425,625.562,30.577
53,UVAGS,VCC-A,44428,2019-12-12 20:52:38.352,2019-12-12 21:02:45.812,607.46,22.001
54,UVAGS,VCC-A,44428,2019-12-12 22:29:01.383,2019-12-12 22:39:35.645,634.262,42.701
55,UVAGS,VCC-A,44428,2019-12-13 13:32:14.702,2019-12-13 13:41:18.584,543.882,12.897
56,UVAGS,VCC-A,44428,2019-12-13 15:07:33.730,2019-12-13 15:18:15.812,642.082,55.914
57,UVAGS,VCC-A,44428,2019-12-13 16:45:22.912,2019-12-13 16:54:33.469,550.557,12.392
58,UVAGS,VCC-A,44428,2019-12-13 20:00:34.404,2019-12-13 20:10:08.678,574.274,15.181
59,UVAGS,VCC-A,44428,2019-12-13 21:36:51.404,2019-12-13 21:47:37.657,646.253,88.475
60,UVAGS,VCC-A,44428,2019-12-14 14:15:25.600,2019-12-14 14:26:08.332,642.732,70.817
61,UVAGS,VCC-A,44428,2019-12-14 15:52:41.307,2019-12-14 16:02:26.647,585.34,17.101
62,UVAGS,VCC-A,44428,2019-12-14 19:08:26.214,2019-12-14 19:17:25.189,538.975,11.258
63,UVAGS,VCC-A,44428,2019-12-14 20:44:45.140,2019-12-14 20:55:24.175,639.035,44.184
64,UVAGS,VCC-A,44428,2019-12-14 22:21:31.746,2019-12-14 22:31:05.075,573.329,16.544
65,UVAGS,VCC-A,44428,2019-12-15 13:23:32.058,2019-12-15 13:33:54.130,622.072,32.693
66,UVAGS,VCC-A,44428,2019-12-15 15:00:05.348,2019-12-15 15:10:21.373,616.025,25.583
67,UVAGS,VCC-A,44428,2019-12-15 19:52:40.023,2019-12-15 20:02:57.586,617.563,25.801
68,UVAGS,VCC-A,44428,2019-12-15 21:29:07.211,2019-12-15 21:39:30.572,623.361,32.528
69,UVAGS,VCC-A,44428,2019-12-16 12:31:56.930,2019-12-16 12:41:28.941,572.011,16.575
70,UVAGS,VCC-A,44428,2019-12-16 14:07:38.078,2019-12-16 14:18:15.366,637.288,43.739
71,UVAGS,VCC-A,44428,2019-12-16 15:45:36.922,2019-12-16 15:54:34.449,537.527,11.185
72,UVAGS,VCC-A,44428,2019-12-16 19:00:33.808,2019-12-16 19:10:20.335,586.527,17.21
73,UVAGS,VCC-A,44428,2019-12-16 20:36:51.799,2019-12-16 20:47:35.759,643.96,70.251
74,UVAGS,VCC-A,44428,2019-12-17 13:15:21.993,2019-12-17 13:26:06.363,644.37,87.931
75,UVAGS,VCC-A,44428,2019-12-17 14:52:50.813,2019-12-17 15:02:23.234,572.421,15.065
