Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
0,VTGS,VCC-B,44431,2019-12-01 19:08:23.467,2019-12-01 19:18:56.542,633.075,45.659
1,VTGS,VCC-B,44431,2019-12-01 20:45:20.059,2019-12-01 20:55:17.962,597.903,20.124
2,VTGS,VCC-B,44431,2019-12-02 01:38:01.200,2019-12-02 01:48:19.222,618.022,26.598
3,VTGS,VCC-B,44431,2019-12-02 03:14:30.825,2019-12-02 03:24:47.011,616.186,29.009
4,VTGS,VCC-B,44431,2019-12-02 18:16:53.335,2019-12-02 18:26:49.921,596.586,22.165
5,VTGS,VCC-B,44431,2019-12-02 19:53:00.745,2019-12-02 20:03:26.987,626.242,32.314
6,VTGS,VCC-B,44431,2019-12-03 00:46:10.175,2019-12-03 00:55:55.684,585.509,17.303
7,VTGS,VCC-B,44431,2019-12-03 02:22:27.769,2019-12-03 02:33:09.073,641.304,62.377
8,VTGS,VCC-B,44431,2019-12-03 17:25:45.579,2019-12-03 17:34:27.993,522.414,11.096
9,VTGS,VCC-B,44431,2019-12-03 19:00:52.093,2019-12-03 19:11:33.706,641.613,61.629
10,VTGS,VCC-B,44431,2019-12-03 20:38:42.498,2019-12-03 20:47:47.929,545.431,12.109
11,VTGS,VCC-B,44431,2019-12-03 23:54:16.607,2019-12-04 00:03:23.315,546.708,12.171
12,VTGS,VCC-B,44431,2019-12-04 01:30:30.597,2019-12-04 01:41:13.844,643.247,61.986
13,VTGS,VCC-B,44431,2019-12-04 03:07:36.159,2019-12-04 03:16:20.376,524.217,11.136
14,VTGS,VCC-B,44431,2019-12-04 18:08:56.355,2019-12-04 18:19:35.761,639.406,62.527
15,VTGS,VCC-B,44431,2019-12-04 19:46:09.560,2019-12-04 19:55:53.388,583.828,17.197
16,VTGS,VCC-B,44431,2019-12-05 00:38:36.324,2019-12-05 00:49:03.893,627.569,32.486
17,VTGS,VCC-B,44431,2019-12-05 02:15:13.094,2019-12-05 02:25:11.231,598.137,22.196
18,VTGS,VCC-B,44431,2019-12-05 17:17:16.151,2019-12-05 17:27:30.148,613.997,28.934
